rxn,flux,lb,ub
ADPh_m,-1.9979896833296962e-16,0.0,1000.0
13GS_c,0.018008736132927243,0.0,1000.0
16GS_c,0.00473914790381851,0.0,1000.0
PRMICI_c,0.000809061849364914,0.0,1000.0
P5CD2_m,0.01029616120782753,0.0,1000.0
DHPPDA2_c,2.5901583088951564e-06,0.0,1000.0
DRAPPRy_c,2.590158308895157e-06,0.0,1000.0
ACHBS_m,0.0024690943095325847,0.0,1000.0
AATA_c,0.0025386143340122365,-1000.0,1000.0
IPPMIb_c,-0.0033578035268958697,-1000.0,1000.0
UNK3_c,1.2950791544450536e-06,0.0,1000.0
HCITR_m,0.0025386143340122365,-1000.0,1000.0
OMCDC_c,0.0033578035268958693,0.0,1000.0
BPNT_c,0.0004072043587596336,0.0,1000.0
DB4PS_c,5.180316617790314e-06,0.0,1000.0
DHQTi_c,0.0024418365952715636,0.0,1000.0
DHQS_c,0.0024418365952715636,0.0,1000.0
3DSPHR_r,7.424688792433496e-05,0.0,1000.0
DDPA_c,0.0024418365952715636,0.0,1000.0
IPPMIa_c,-0.0033578035268958693,-1000.0,1000.0
IPMD_c,0.0033578035268958697,0.0,1000.0
PSCIT_c,0.002441836595271563,0.0,1000.0
MTAP_c,1.2950791544450545e-06,0.0,1000.0
PRFGS_c,0.0012674421652879104,0.0,1000.0
MTHFR3_c,0.0012896065406407607,0.0,1000.0
ALAS_m,1.036063323556044e-05,0.0,1000.0
MDRPD_c,1.2950791544450545e-06,0.0,1000.0
MTRI_c,1.2950791544450545e-06,-1000.0,1000.0
KARA1i_m,0.005968271994755765,0.0,1000.0
ACLS_m,0.005968271994755766,0.0,1000.0
ACACT40ir_c,0.010678108939481085,0.0,1000.0
ADPT_c,1.2950791544450545e-06,0.0,1000.0
ADNK1_c,0.0009423902483150324,0.0,1000.0
AHCi_c,0.0009423902483150325,0.0,1000.0
ADMDC_c,1.2950791544450543e-06,0.0,1000.0
ADK1_c,0.13814593875046052,0.0,1000.0
ADSL2i_c,0.0012674421652879104,0.0,1000.0
ADSL1r_c,0.0013122389532401588,-1000.0,1000.0
ADSS_c,0.0013122389532401588,0.0,1000.0
ADSK_c,0.00040720435875963353,0.0,1000.0
ALATRS_c,0.004095597170391672,0.0,1000.0
ANPRT_c,0.00027248465409523937,0.0,1000.0
ANS_c,0.0002724846540952394,0.0,1000.0
ARGN_c,0.011306302579186715,0.0,1000.0
ARGTRS_c,0.001618110747938284,0.0,1000.0
ASNS1_c,0.0019450923328525706,0.0,1000.0
ASNTRS_c,0.001945092332852571,0.0,1000.0
ASPCT_c,0.0013152046845051257,0.0,1000.0
ASPK_c,0.004875733881017341,0.0,1000.0
ASPTA_c,1.0553737183983676,-1000.0,1000.0
ASAD_c,0.004875733881017341,0.0,1000.0
ASPTRS_c,0.001945092332852571,0.0,1000.0
ATPPRT_c,0.0008090618493649141,0.0,1000.0
ATPASEP2e_c,0.2012688865750677,0.0,1000.0
C14STR_c,0.0009423902483150323,0.0,1000.0
C3STDH2_c,0.0009423902483150325,0.0,1000.0
C3STDH1_c,0.0009423902483150324,0.0,1000.0
C4STMO1_c,0.0009423902483150325,0.0,1000.0
C4STMO2_c,0.0009423902483150325,0.0,1000.0
C4STMO3_c,0.0009423902483150325,0.0,1000.0
C4STMO4_c,0.0009423902483150323,0.0,1000.0
C8STI_c,0.0009423902483150325,0.0,1000.0
CBPS_c,0.0013152046845051257,0.0,1000.0
CERH124A_r,1.856172198108374e-05,0.0,1000.0
CERH126A_r,1.8561721981083737e-05,0.0,1000.0
CHTNS_c,0.000425770222815356,0.0,1000.0
CHOLK_c,0.0003782149162641337,0.0,1000.0
CHLPCTD_c,0.0003782149162641336,0.0,1000.0
CHORM_c,0.002169351941176324,0.0,1000.0
CHORS_c,0.0024418365952715636,0.0,1000.0
FRTT_l,0.0002788823451181973,0.0,1000.0
GGTT_l,0.0002788823451181973,0.0,1000.0
PPTT_l,0.0002788823451181973,0.0,1000.0
PRENT6_l,0.0002788823451181973,0.0,1000.0
PRENT7_l,0.0002788823451181973,0.0,1000.0
PRENT8_l,0.0002788823451181973,0.0,1000.0
PRENT9_l,0.0002788823451181973,0.0,1000.0
PRENT10_l,0.0002788823451181973,0.0,1000.0
PRENT11_l,0.0002788823451181973,0.0,1000.0
PRENT12_l,0.0002788823451181973,0.0,1000.0
PRENT13_l,0.0002788823451181973,0.0,1000.0
PRENT14_l,0.00024789541788284203,0.0,1000.0
PRENT15_l,0.00021690849064748678,0.0,1000.0
PRENT16_l,0.00018592156341213154,-1000.0,1000.0
PRENT17_l,0.0001549346361767763,-1000.0,1000.0
PRENT18_l,0.00012394770894142104,0.0,1000.0
PRENT19_l,9.29607817060658e-05,0.0,1000.0
PRENT20_l,6.197385447071052e-05,0.0,1000.0
PRENT21_l,3.098692723535526e-05,0.0,1000.0
CS_m,0.00843736630428835,0.0,1000.0
CPPPGO_c,1.2950791544450545e-06,0.0,1000.0
CTPS2_c,0.0008553609291363254,0.0,1000.0
CYSTS_c,5.9988066433905356e-05,0.0,1000.0
CYSTGL_c,5.998806643390382e-05,0.0,1000.0
