rxn,flux,lb,ub
ADPh_m,1.1987938099978176e-15,0.0,1000.0
BTDDH_c,-0.062010977858087735,-1000.0,1000.0
13GS_c,0.13905510000000001,0.0,1000.0
16GS_c,0.03659350000000001,0.0,1000.0
PRMICI_c,0.0062472000000000005,0.0,1000.0
DHPPDA2_c,2e-05,0.0,1000.0
DRAPPRy_c,2.0000000000000005e-05,0.0,1000.0
ACHBS_m,0.019065200000000004,0.0,1000.0
AATA_c,0.021266299999999995,-1000.0,1000.0
IPPMIb_c,-0.025927399999999996,-1000.0,1000.0
UNK3_c,1e-05,0.0,1000.0
HCITR_m,0.0212663,-1000.0,1000.0
OMCDC_c,0.0259274,0.0,1000.0
BPNT_c,0.004163300000000081,0.0,1000.0
DB4PS_c,4.000000000000001e-05,0.0,1000.0
DHQTi_c,0.020619000000000005,0.0,1000.0
DHQS_c,0.02061900000000001,0.0,1000.0
3DSPHR_r,0.0005733000000000002,0.0,1000.0
DDPA_c,0.02061900000000001,0.0,1000.0
IPPMIa_c,-0.0259274,-1000.0,1000.0
IPMD_c,0.0259274,0.0,1000.0
PSCIT_c,0.020619000000000002,0.0,1000.0
MTAP_c,1.0000000000000003e-05,0.0,1000.0
PRFGS_c,0.00978660000002668,0.0,1000.0
MTHFR3_c,0.019738000000000006,0.0,1000.0
ALAS_m,7.999999999999999e-05,0.0,1000.0
MDRPD_c,1.0000000000000003e-05,0.0,1000.0
MTRI_c,1e-05,-1000.0,1000.0
KARA1i_m,0.0496537,0.0,1000.0
ACLS_m,0.04965370000000026,0.0,1000.0
ACACT40ir_c,0.08245140000004625,0.0,1000.0
ACGK_m,0.026164000000000007,0.0,1000.0
ACOTAi_m,0.026164000000000003,0.0,1000.0
ADPT_c,1.0000000000000003e-05,0.0,1000.0
ADNK1_c,0.016037899999999997,0.0,1000.0
AHCi_c,0.0160379,0.0,1000.0
ADMDC_c,1e-05,0.0,1000.0
ADK1_c,2.935444746939989,0.0,1000.0
ADSL2i_c,0.00978660000002668,0.0,1000.0
ADSL1r_c,0.010132500000026667,-1000.0,1000.0
ADSS_c,0.010132500000026669,0.0,1000.0
ADSK_c,0.004163300000000081,0.0,1000.0
ALATRS_c,0.0316243,0.0,1000.0
ANPRT_c,0.002104,0.0,1000.0
ANS_c,0.0021040000000000004,0.0,1000.0
ARGSL_c,0.012494300000000002,-1000.0,1000.0
ARGSS_c,0.012494300000000002,-1000.0,1000.0
ARGTRS_c,0.012494300000000002,0.0,1000.0
ASNS1_c,0.0150191,0.0,1000.0
ASNTRS_c,0.015019100000000002,0.0,1000.0
ASPCT_c,0.010155399999999993,0.0,1000.0
ASPK_c,0.040794700000000024,0.0,1000.0
ASPTA_c,7.02330223548139,-1000.0,1000.0
ASAD_c,0.040794700000000024,0.0,1000.0
ASPTRS_c,0.015019100000000002,0.0,1000.0
ATPPRT_c,0.006247200000000001,0.0,1000.0
ATPASEP2e_c,2.2368268147525288,0.0,1000.0
C14STR_c,0.0072767,0.0,1000.0
C3STDH2_c,0.0072767,0.0,1000.0
C3STDH1_c,0.0072767,0.0,1000.0
C4STMO1_c,0.0072767,0.0,1000.0
C4STMO2_c,0.0072767,0.0,1000.0
C4STMO3_c,0.0072767,0.0,1000.0
C4STMO4_c,0.0072767,0.0,1000.0
C8STI_c,0.0072767,0.0,1000.0
CBPS_c,0.02264969999999999,0.0,1000.0
CERH124A_r,0.00014332500000000006,0.0,1000.0
CERH126A_r,0.00014332500000000006,0.0,1000.0
CHTNS_c,0.0032876,0.0,1000.0
CHORM_c,0.018515,0.0,1000.0
CHORS_c,0.020619000000000005,0.0,1000.0
FRTT_l,0.0021534000000000037,0.0,1000.0
GGTT_l,0.0021534000000000037,0.0,1000.0
PPTT_l,0.0021534000000000037,0.0,1000.0
PRENT6_l,0.0021534000000000037,0.0,1000.0
PRENT7_l,0.0021534000000000037,0.0,1000.0
PRENT8_l,0.0021534000000000037,0.0,1000.0
PRENT9_l,0.0021534000000000032,0.0,1000.0
PRENT10_l,0.0021534000000000032,0.0,1000.0
PRENT11_l,0.0021534000000000032,0.0,1000.0
PRENT12_l,0.0021534000000000032,0.0,1000.0
PRENT13_l,0.0021534000000000032,0.0,1000.0
PRENT14_l,0.0019141333333333361,0.0,1000.0
PRENT15_l,0.001674866666666669,0.0,1000.0
PRENT16_l,0.0014356000000000022,-1000.0,1000.0
PRENT17_l,0.001196333333333335,-1000.0,1000.0
PRENT18_l,0.0009570666666666681,0.0,1000.0
PRENT19_l,0.000717800000000001,0.0,1000.0
PRENT20_l,0.00047853333333333403,0.0,1000.0
PRENT21_l,0.00023926666666666702,0.0,1000.0
CS_m,0.09761710000000003,0.0,1000.0
CPPPGO_c,1.0000000000000003e-05,0.0,1000.0
CTPS2_c,0.006604700000000005,0.0,1000.0
CYSTS_c,0.00046320000000056876,0.0,1000.0
CYSTGL_c,0.0004632000000005676,0.0,1000.0
CYSTRS_c,0.00045320000000000007,0.0,1000.0
LNS14DMy_c,0.007276699999999999,0.0,1000.0
DHFRi_c,0.000497400000001885,0.0,1000.0
DHORTS_c,-0.010155399999999993,-1000.0,1000.0
DHAD1_m,0.0496537,0.0,1000.0
DHAD2_m,0.0190652,0.0,1000.0
DMATT_c,0.016716800000015405,0.0,1000.0
DOLPMT_c,0.016076900000000005,0.0,1000.0
DTMPK_c,0.00048740000000000003,0.0,1000.0
DUTPDP_c,0.0004874,0.0,1000.0
ENO_c,0.6106416557161747,-1000.0,1000.0
AFAT_c,1.0000000000000003e-05,0.0,1000.0
FDH_c,3.319262298785006,0.0,1000.0
FBA_c,0.05850053794309127,-1000.0,1000.0
FUM_c,0.032413400000052564,-1000.0,1000.0
DHORDfum_c,0.010155399999999995,0.0,1000.0
GRTT_c,0.016716800000015408,0.0,1000.0
G6PDH2i_c,1.7757329048090378,0.0,1000.0
PGI_c,0.6254349210739466,-1000.0,1000.0
GLUDy_c,2.113262899392596,0.0,1000.0
GLNS_c,0.11313680000005619,0.0,1000.0
GF6PTA_c,0.009954199999999998,0.0,1000.0
GLNTRS_c,0.025053399999999997,0.0,1000.0
GLUTRS_c,0.025053399999999997,0.0,1000.0
GAPD_c,2.3404200551087175,-1000.0,1000.0
G3PD1r_c,0.009001208717284489,-1000.0,1000.0
GARFT_c,0.00978660000002668,0.0,1000.0
GLYCL_m,1.6596594993925171,-1000.0,1000.0
GHMT2r_c,3.3579613987850596,-1000.0,1000.0
GLYTRS_c,0.028775800000000004,0.0,1000.0
GMPS2_c,0.0059013000000000095,0.0,1000.0
GTPCII2_c,2.0000000000000005e-05,0.0,1000.0
GK1_c,0.00638870000000001,0.0,1000.0
GK2_c,-0.00048740000000000003,-1000.0,1000.0
HOMOX_m,1e-05,0.0,1000.0
HEMEOS_m,1.0000000000000003e-05,0.0,1000.0
HEX1_c,2.576816425882984,0.0,1000.0
HISTD_c,0.0062472,0.0,1000.0
HISTP_c,0.0062472000000000005,0.0,1000.0
HSTPT_c,0.0062472000000000005,0.0,1000.0
HISTRS_c,0.0062472,0.0,1000.0
HACNH_m,0.021266299999999995,-1000.0,1000.0
HICITD_m,0.021266299999999995,0.0,1000.0
HSK_c,0.03663139999999944,0.0,1000.0
HSERTA_c,0.00416330000000008,0.0,1000.0
PPBNGD_c,9.999999999999999e-06,0.0,1000.0
