"rxn"	"flux"	"slack"
"RXN-EX_mg2_e_REV-SPONT"	0.000891317808898	1.000000000000000000E+13
"RXN-EX_thm_e_REV-SPONT"	0.000001432178707	1.000000000000000000E+13
"RXN-EX_ca2_e_REV-SPONT"	0.000018011409571	1.000000000000000000E+13
"RXN-EX_btn_c_REV-SPONT"	0.000001423306787	1.000000000000000000E+13
"RXN-EX_nac_e_REV-SPONT"	0.000000000000000	1.000000000000000000E+13
"RXN-EX_cobalt2_e_REV-SPONT"	0.000000000000000	1.000000000000000000E+13
"RXN-EX_h_e_REV-SPONT"	0.000000000000000	1.000000000000000000E+13
"RXN-EX_pnto__R_e_REV-SPONT"	0.014948329194875	1.000000000000000000E+13
"RXN-EX_pi_e_REV-SPONT"	0.050748022737691	1.000000000000000000E+13
"RXN-EX_xyl__D_e_REV-SPONT"	0.000000000000000	1.000000000000000000E+13
"RXN-EX_fol_e_REV-SPONT"	0.000001402785408	1.000000000000000000E+13
"RXN-EX_h2o_e_REV-SPONT"	0.237763669518402	1.000000000000000000E+13
"RXN-EX_cu2_e_REV-SPONT"	0.000001598095325	1.000000000000000000E+13
"RXN-EX_ribflv_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_so4_e_REV-SPONT"	0.015843555861968	1.000000000000000000E+13
"RXN-EX_k_e_REV-SPONT"	0.008454721043988	1.000000000000000000E+13
"RXN-EX_na1_e_REV-SPONT"	0.000000000000000	1.000000000000000000E+13
"RXN-EX_inost_e_REV-SPONT"	0.000000000000000	1.000000000000000000E+13
"RXN-EX_glc__D_e_REV-SPONT"	0.677176732853502	1.000000000000000000E+13
"RXN-EX_ni2_e_REV-SPONT"	0.000000000534180	1.000000000000000000E+13
"RXN-EX_cl_e_REV-SPONT"	0.000000000000000	1.000000000000000000E+13
"RXN-EX_fe2_e_REV-SPONT"	0.000010765305640	1.000000000000000000E+13
"RXN-EX_mn2_e_REV-SPONT"	0.000001328247589	1.000000000000000000E+13
"RXN-EX_4abz_e_REV-SPONT"	0.000000000000000	1.000000000000000000E+13
"RXN-EX_o2_e_REV-SPONT"	0.411213459374901	1.000000000000000000E+13
"RXN-EX_zn2_e_REV-SPONT"	0.000022175858494	1.000000000000000000E+13
"RXN-EX_pydxn_e_REV-SPONT"	0.000000000000000	1.000000000000000000E+13
"RXN-EX_nh4_e_REV-SPONT"	0.123336464186826	1.000000000000000000E+13
"RXN-EX_fe3_e_REV-SPONT"	0.000000000000000	1.000000000000000000E+13
