rxn,flux,lb,ub
BTDDH_c,-0.6370922041310288,-1000.0,1000.0
13GS_c,0.004718247015921779,0.0,1000.0
16GS_c,0.0012416457373885146,0.0,1000.0
PRMICI_c,0.00021197232433665887,0.0,1000.0
P5CD2_m,0.00029670880208205216,0.0,1000.0
DHPPDA2_c,6.786154576023145e-07,0.0,1000.0
DRAPPRy_c,6.786154576023144e-07,0.0,1000.0
ACHBS_m,0.0006468969711139822,0.0,1000.0
AATA_c,0.0005060421470951559,-1000.0,1000.0
IPPMIb_c,-0.0008797367207719122,-1000.0,1000.0
UNK3_c,3.393077288011575e-07,0.0,1000.0
HCITR_m,0.000506042147095156,-1000.0,1000.0
OMCDC_c,0.0008797367207719123,0.0,1000.0
BPNT_c,9.288041121302904e-06,0.0,1000.0
DB4PS_c,1.3572309152046293e-06,0.0,1000.0
DHQTi_c,0.0004711314927364121,0.0,1000.0
DHQS_c,0.0004711314927364121,0.0,1000.0
3DSPHR_r,1.9452512092170344e-05,0.0,1000.0
DDPA_c,0.00047113149273641207,0.0,1000.0
IPPMIa_c,-0.0008797367207719123,-1000.0,1000.0
IPMD_c,0.0008797367207719122,0.0,1000.0
PSCIT_c,0.000471131492736412,0.0,1000.0
MTAP_c,3.393077288011572e-07,0.0,1000.0
PRFGS_c,0.00033206690186865495,0.0,1000.0
MTHFR3_c,0.00024047536213996876,0.0,1000.0
ALAS_m,2.714461830409258e-06,0.0,1000.0
MDRPD_c,3.393077288011573e-07,0.0,1000.0
MTRI_c,3.3930772880115717e-07,-1000.0,1000.0
ACALDCD_c,0.6370922041310288,0.0,1000.0
KARA1i_m,0.001222513231006329,0.0,1000.0
ACLS_m,0.0012225132310063295,0.0,1000.0
ACACT40ir_c,0.0027976397270475704,0.0,1000.0
ACACT120i_x,-2.8847722855021913e-19,0.0,1000.0
ACGK_m,0.00018856682218984681,0.0,1000.0
ACOTAi_m,0.00018856682218985134,0.0,1000.0
ADPT_c,3.393077288011573e-07,0.0,1000.0
ADNK1_c,0.00024690405501673926,0.0,1000.0
AHCi_c,0.00024690405501673937,0.0,1000.0
