rxn,flux,lb,ub
13GS_c,0.13905510000000001,0.0,1000.0
16GS_c,0.03659350000000001,0.0,1000.0
PRMICI_c,0.0062472,0.0,1000.0
DHPPDA2_c,2e-05,0.0,1000.0
DRAPPRy_c,2.0000000000000005e-05,0.0,1000.0
ACHBS_m,0.0190652,0.0,1000.0
AATA_c,0.021266299999999995,-1000.0,1000.0
DPR_c,37.4915005269526,0.0,1000.0
IPPMIb_c,-0.025927400000000003,-1000.0,1000.0
UNK3_c,37.49151052695259,0.0,1000.0
HCITR_m,0.0212663,-1000.0,1000.0
OMCDC_c,0.025927400000000003,0.0,1000.0
BPNT_c,0.0041632999999988065,0.0,1000.0
DB4PS_c,4.000000000000001e-05,0.0,1000.0
DHQTi_c,74.74335354227493,0.0,1000.0
DHQS_c,74.74335354227495,0.0,1000.0
3DSPHR_r,0.0005733000000000002,0.0,1000.0
DDPA_c,74.74335354227493,0.0,1000.0
IPPMIa_c,-0.025927400000000003,-1000.0,1000.0
IPMD_c,0.025927400000000003,0.0,1000.0
MTMOHT_m,37.4915005269526,0.0,1000.0
PSCIT_c,74.74335354227493,0.0,1000.0
ADCS_c,74.72273454227492,0.0,1000.0
ADCL_c,74.72273454227492,0.0,1000.0
ABTA_c,-1.0426004154464349e-18,0.0,1000.0
MTAP_c,37.49151052695259,0.0,1000.0
PRFGS_c,0.009786599999302613,0.0,1000.0
MTHFR3_c,0.019738000000000006,0.0,1000.0
ALAS_m,8e-05,0.0,1000.0
MDRPD_c,37.49151052695259,0.0,1000.0
MTRI_c,37.49151052695258,-1000.0,1000.0
KARA1i_m,37.54115422695261,0.0,1000.0
ACLS_m,37.54115422695261,0.0,1000.0
ACACT40ir_c,0.08245139999999991,0.0,1000.0
ACGK_m,0.02616400000000123,0.0,1000.0
ACOTAi_m,0.026164000000001235,0.0,1000.0
ADPT_c,37.49151052695258,0.0,1000.0
ADNK1_c,0.016037900000000008,0.0,1000.0
AHCi_c,0.016037900000000004,0.0,1000.0
ADMDC_c,37.49151052695259,0.0,1000.0
ADK1_c,113.39813940432614,0.0,1000.0
ADK1_m,5.5038372057972726e-14,0.0,1000.0
ADSL2i_c,0.009786599999302613,0.0,1000.0
ADSL1r_c,0.010132499999302614,-1000.0,1000.0
ADSS_c,0.010132499999302614,0.0,1000.0
ADSK_c,0.0041632999999988065,0.0,1000.0
ALATRS_c,0.0316243,0.0,1000.0
ANPRT_c,0.002104,0.0,1000.0
ANS_c,0.0021040000000000004,0.0,1000.0
ARGSL_c,0.012494300000000002,-1000.0,1000.0
ARGSS_c,0.012494300000000002,-1000.0,1000.0
ARGTRS_c,0.012494300000000002,0.0,1000.0
ASNS1_c,0.015019099999999997,0.0,1000.0
ASNTRS_c,0.015019099999999999,0.0,1000.0
ASPCT_c,0.010155400000000028,0.0,1000.0
ASPK_c,0.5214262060357768,0.0,1000.0
ASPTA_c,224.1426383067858,-1000.0,1000.0
ASAD_c,0.5214262060357768,0.0,1000.0
ASPTRS_c,0.015019099999999999,0.0,1000.0
ATPPRT_c,0.0062472,0.0,1000.0
ATPASEP2e_c,187.15769421149523,0.0,1000.0
C14STR_c,0.007276699999999997,0.0,1000.0
C3STDH2_c,0.007276699999999999,0.0,1000.0
C3STDH1_c,0.0072767,0.0,1000.0
C4STMO1_c,0.007276699999999999,0.0,1000.0
C4STMO2_c,0.007276699999999999,0.0,1000.0
C4STMO3_c,0.007276699999999999,0.0,1000.0
C4STMO4_c,0.007276699999999998,0.0,1000.0
C8STI_c,0.007276699999999999,0.0,1000.0
CBPS_c,0.02264970000000003,0.0,1000.0
CAT_c,18.7457502634763,0.0,1000.0
CERH124A_r,0.00014332500000000003,0.0,1000.0
CERH126A_r,0.00014332500000000006,0.0,1000.0
CHTNS_c,0.0032876,0.0,1000.0
CHORM_c,0.018515000000014076,0.0,1000.0
CHORS_c,74.74335354227495,0.0,1000.0
FRTT_l,0.002153399999999996,0.0,1000.0
GGTT_l,0.002153399999999996,0.0,1000.0
PPTT_l,0.002153399999999996,0.0,1000.0
PRENT6_l,0.002153399999999996,0.0,1000.0
PRENT7_l,0.002153399999999996,0.0,1000.0
PRENT8_l,0.0021533999999999954,0.0,1000.0
PRENT9_l,0.0021533999999999946,0.0,1000.0
PRENT10_l,0.0021533999999999946,0.0,1000.0
PRENT11_l,0.0021533999999999946,0.0,1000.0
PRENT12_l,0.0021533999999999946,0.0,1000.0
PRENT13_l,0.0021533999999999946,0.0,1000.0
PRENT14_l,0.0019141333333333285,0.0,1000.0
PRENT15_l,0.0016748666666666623,0.0,1000.0
PRENT16_l,0.0014355999999999963,-1000.0,1000.0
PRENT17_l,0.0011963333333333303,-1000.0,1000.0
PRENT18_l,0.0009570666666666643,0.0,1000.0
PRENT19_l,0.0007177999999999981,0.0,1000.0
PRENT20_l,0.00047853333333333214,0.0,1000.0
PRENT21_l,0.00023926666666666607,0.0,1000.0
CS_m,0.09761710000005433,0.0,1000.0
CPPPGO_c,1.0000000000000003e-05,0.0,1000.0
CTPS2_c,0.007092100000000002,0.0,1000.0
CYSTS_c,0.0004631999999987385,0.0,1000.0
CYSTGL_c,0.00046319999999873846,0.0,1000.0
CYSTRS_c,0.00045320000000000007,0.0,1000.0
LNS14DMy_c,0.007276699999999997,0.0,1000.0
DCMPDA_c,0.0004874,0.0,1000.0
DHFRi_c,0.0004974000003258773,0.0,1000.0
DHORTS_c,-0.010155400000000026,-1000.0,1000.0
DHAD1_m,37.5411542269526,0.0,1000.0
DHAD2_m,0.0190652,0.0,1000.0
DMATT_c,0.01671679999999999,0.0,1000.0
DOLPMT_c,0.016076899999999998,0.0,1000.0
DTMPK_c,0.0004874000000000001,0.0,1000.0
ENO_c,150.67298680221595,-1000.0,1000.0
AFAT_c,1.0000000000000003e-05,0.0,1000.0
FDH_c,37.47302682695366,0.0,1000.0
FBA_c,101.6334124603583,-1000.0,1000.0
FUM_m,0.010155400000078398,-1000.0,1000.0
FUM_c,0.022257999998561026,-1000.0,1000.0
DHORDfum_c,0.010155400000000026,0.0,1000.0
GRTT_c,0.01671679999999999,0.0,1000.0
G6PDH2i_c,84.94427078737202,0.0,1000.0
PGI_c,94.99494783416984,-1000.0,1000.0
GLU5K_c,-1.2331514425924045e-15,0.0,1000.0
GLUDy_c,56.90830174344506,0.0,1000.0
GLNS_c,74.83635874227345,0.0,1000.0
GF6PTA_c,0.009954199999999998,0.0,1000.0
GLNTRS_c,0.0250534,0.0,1000.0
GLUTRS_c,0.0250534,0.0,1000.0
GAPD_c,169.2393317126741,-1000.0,1000.0
GLYK_c,0.00012267247818965575,0.0,1000.0
G3PD1r_c,0.008817199999265399,-1000.0,1000.0
GARFT_c,0.009786599999302611,0.0,1000.0
GLYCL_m,18.976857516494416,-1000.0,1000.0
GHMT2r_c,0.020225400000000004,-1000.0,1000.0
GLYTRS_c,0.02877580000000001,0.0,1000.0
GMPS2_c,0.005901299999999998,0.0,1000.0
GTPCII2_c,2.0000000000000005e-05,0.0,1000.0
GK1_c,0.006388699999999998,0.0,1000.0
GK2_c,-0.00048740000000000003,-1000.0,1000.0
HOMOX_m,1e-05,0.0,1000.0
HEMEOS_m,1.0000000000000003e-05,0.0,1000.0
HEX1_c,180.11935652154185,0.0,1000.0
HISTD_c,0.006247199999999999,0.0,1000.0
HISTP_c,0.0062472,0.0,1000.0
HSTPT_c,0.0062472000000000005,0.0,1000.0
HISTRS_c,0.0062472,0.0,1000.0
HACNH_m,0.021266299999999995,-1000.0,1000.0
HICITD_m,0.021266299999999995,0.0,1000.0
HSK_c,0.5172629060357781,0.0,1000.0
HSERTA_c,0.004163299999998806,0.0,1000.0
HETZK_c,1.0000000000002266e-05,0.0,1000.0
PPBNGD_c,1e-05,0.0,1000.0
HMGCOAR_c,0.08245139999999992,0.0,1000.0
HMGCOAS_c,0.08245139999999991,0.0,1000.0
HMPK1_c,1.0000000000002266e-05,0.0,1000.0
IG3PS_c,0.0062472,0.0,1000.0
IGPDH_c,0.0062472000000000005,0.0,1000.0
IGPS_c,0.0021040000000000004,0.0,1000.0
PPA_c,113.7491019043268,0.0,1000.0
ILETA_m,-0.019065199999999997,-1000.0,1000.0
ILETRS_c,0.0190652,0.0,1000.0
IPDDI_c,0.01671679999999999,-1000.0,1000.0
KARA2i_m,0.0190652,0.0,1000.0
AASADy_c,0.021266299999999995,0.0,1000.0
THRD_L_m,0.018602000000001322,0.0,1000.0
LNSTLS_c,0.007276699999999997,0.0,1000.0
LEUTA_c,-0.025927400000000003,-1000.0,1000.0
LEUTRS_c,0.0259274,0.0,1000.0
LYSTRS_c,0.0212663,0.0,1000.0
MDH_m,224.83428861282005,-1000.0,1000.0
MAN1PT_c,0.053394699999999996,0.0,1000.0
MAN6PI_c,-0.053394699999999996,-1000.0,1000.0
METAT_c,37.507558426952585,0.0,1000.0
METS_c,0.019738000000000002,0.0,1000.0
METTRS_c,0.003690100000000001,0.0,1000.0
MEVK4_c,0.08245139999999991,0.0,1000.0
DPMVD_c,0.08245139999999991,0.0,1000.0
MI1PP_c,0.004489300000000605,0.0,1000.0
M1PS_c,0.004489300000000606,0.0,1000.0
AGPRi_m,0.02616400000000123,0.0,1000.0
ACGAM6PS_c,0.009954199999999998,-1000.0,1000.0
