rxn,flux,lb,ub
RLFC2O_c,0.0,0.0,1000.0
RLFC2O_m,0.0,0.0,1000.0
BTDDH_c,0.0,-1000.0,1000.0
LLFC2O_c,0.0,0.0,1000.0
13GS_c,1.0389458547797286,0.0,1000.0
16GS_c,0.27340674741241205,0.0,1000.0
PRMICI_c,0.08270392329523263,0.0,1000.0
P5CD_m,0.0,-1000.0,1000.0
DKMPPD_c,0.0,0.0,1000.0
DHPPDA2_c,0.0,0.0,1000.0
DRAPPRy_c,0.0,0.0,1000.0
ACHBS_m,0.25239893257390533,0.0,1000.0
HPPK2_m,0.0,0.0,1000.0
AATA_c,0.2815376233469041,-1000.0,1000.0
DPR_c,0.0,0.0,1000.0
Q6MT1_m,0.0,0.0,1000.0
Q6MO_m,0.0,0.0,1000.0
IPPMIb_c,-0.34324428293034465,-1000.0,1000.0
IPPS_c,0.0,0.0,1000.0
IPPS_m,0.3432442829303446,0.0,1000.0
UNK3_c,0.0,0.0,1000.0
HCITR_m,0.2815376233469041,-1000.0,1000.0
MCITS_m,0.0,0.0,1000.0
OMCDC_c,0.34324428293034465,0.0,1000.0
OMCDC_m,0.0,0.0,1000.0
BPNT_c,0.05505904957724677,0.0,1000.0
PDE1_c,0.0,0.0,1000.0
PDE2_c,0.0,0.0,1000.0
PDE3_c,0.0,0.0,1000.0
PDE4_c,0.0,0.0,1000.0
PDE5_c,0.0,0.0,1000.0
DB4PS_c,0.0,0.0,1000.0
DHQTi_c,0.2729678191017187,0.0,1000.0
DHQS_c,0.2729678191017187,0.0,1000.0
3DSPHR_r,0.004864523880143938,0.0,1000.0
DDPA_c,0.2729678191017187,0.0,1000.0
3HXPHBH_c,0.0,0.0,1000.0
3HPH5MBDC_m,0.0,0.0,1000.0
HKYNH_c,0.0,0.0,1000.0
HACD140i_x,1.1854182951581615e-12,0.0,1000.0
3HAO_c,0.0,0.0,1000.0
3IPM3MT_c,0.0,0.0,1000.0
IPPMIa_c,-0.34324428293034465,-1000.0,1000.0
IPMD_c,0.3432442829303446,0.0,1000.0
3MOBDC_c,0.0,0.0,1000.0
MTMOHT_m,0.0,0.0,1000.0
PSCIT_c,0.27296781910171874,0.0,1000.0
ADCS_c,0.0,0.0,1000.0
ADCL_c,0.0,0.0,1000.0
ABTA_c,0.0,0.0,1000.0
4HTHRS_c,0.0,0.0,1000.0
4HBZF_m,0.0,0.0,1000.0
4DPMIPPH_c,0.0,-1000.0,1000.0
IPPYP1_c,0.0,0.0,1000.0
MTAP_c,0.0,0.0,1000.0
NTD4pp_c,0.0,0.0,1000.0
NTD11_c,6.773628689098052e-15,0.0,1000.0
NTD2pp_c,0.0,0.0,1000.0
PRFGS_c,0.10958968842348586,0.0,1000.0
MTHFR3_c,0.18891923182166112,0.0,1000.0
ALAS_m,0.0,0.0,1000.0
5DPMIPPH_c,0.0,0.0,1000.0
PMI12346PS_c,0.0,0.0,1000.0
MHPGLUT_c,0.0,0.0,1000.0
MDRPD_c,0.0,0.0,1000.0
MTRI_c,0.0,-1000.0,1000.0
IPPYP2_c,0.0,0.0,1000.0
IPPYP3_c,0.0,0.0,1000.0
PFK_4_c,0.0,0.0,1000.0
PGL_c,19.474124177111793,0.0,1000.0
6DPMIPPH_c,0.0,-1000.0,1000.0
IPPYP4_c,0.0,0.0,1000.0
AOXS_c,0.0,0.0,1000.0
ACALDCD_c,0.0,0.0,1000.0
KARA1i_m,0.6573498750876904,0.0,1000.0
ACLS_m,0.6573498750876905,0.0,1000.0
ACOATA_m,0.0,-1000.0,1000.0
ACACT180i_x,0.0,0.0,1000.0
ACACT260i_x,0.0,0.0,1000.0
ACACT160i_x,4.256953423781518e-13,0.0,1000.0
ACACT40ir_c,0.0,0.0,1000.0
ACACT40ir_m,0.25339853370380566,-1000.0,1000.0
ACACT140i_x,1.1854128596428787e-12,0.0,1000.0
ACACT100i_x,-3.331107367073219e-14,0.0,1000.0
ACACT120i_x,-3.3402759135651707e-13,0.0,1000.0
ACCOAC_m,0.0,0.0,1000.0
ACCOAC_c,1.1915268453491248,0.0,1000.0
ACOAHi_m,0.0,0.0,1000.0
ACS_c,1.4326650754988763,0.0,1000.0
ACGK_m,0.3462440535010018,0.0,1000.0
