rxn,flux,lb,ub
13GS_c,0.09682060000000002,0.0,1000.0
16GS_c,0.0254791,0.0,1000.0
PRMICI_c,0.007317100000000001,0.0,1000.0
P5CD_m,0.5111976429227623,-1000.0,1000.0
ACHBS_m,0.02233060000000001,0.0,1000.0
AATA_c,0.024908600000000006,-1000.0,1000.0
IPPMIb_c,-0.030367999999999996,-1000.0,1000.0
IPPS_m,0.03036799999999999,0.0,1000.0
HCITR_m,0.024908600000000003,-1000.0,1000.0
OMCDC_c,0.030368,0.0,1000.0
BPNT_c,0.004871800000000514,0.0,1000.0
DHQTi_c,0.0241504,0.0,1000.0
DHQS_c,0.024150400000000002,0.0,1000.0
3DSPHR_r,0.0004754000000000003,0.0,1000.0
DDPA_c,0.024150400000000002,0.0,1000.0
HACD140i_x,-1.951727270080012e-17,0.0,1000.0
IPPMIa_c,-0.030367999999999996,-1000.0,1000.0
IPMD_c,0.030367999999999992,0.0,1000.0
PSCIT_c,0.024150400000000006,0.0,1000.0
PRFGS_c,0.00968709999998243,0.0,1000.0
MTHFR3_c,0.018010599999999998,0.0,1000.0
PGL_c,-4.455791314661337e-16,0.0,1000.0
KARA1i_m,0.05815799999999999,0.0,1000.0
ACLS_m,0.058157999999999994,0.0,1000.0
ACACT160i_x,-4.477294848216692e-18,0.0,1000.0
ACACT40ir_c,0.37085143226103484,0.0,1000.0
ACACT40ir_m,8.188005641247983,-1000.0,1000.0
ACACT140i_x,-1.9517272700800117e-17,0.0,1000.0
ACACT100i_x,-1.63189111838275e-18,0.0,1000.0
ACCOAC_c,0.11644548906240003,0.0,1000.0
ACS_c,1.251945285845557,0.0,1000.0
ACGK_m,0.5418310429227623,0.0,1000.0
ACOTAi_m,0.5418310429227622,0.0,1000.0
ACOAO120_x,-1.9517272700800117e-17,0.0,1000.0
ACOAO160_x,-2.6304447514467744e-18,0.0,1000.0
ACOAO140_x,-2.6190777344541326e-18,0.0,1000.0
STATg181_rm,0.00022580000000000004,-1000.0,1000.0
STATg161_rm,0.0006154999999999999,-1000.0,1000.0
ADNK1_c,0.0136886,0.0,1000.0
