rxn,flux,lb,ub
RLFC2O_c,5.817133846869662e-16,0.0,1000.0
13GS_c,0.09682060000000002,0.0,1000.0
16GS_c,0.0254791,0.0,1000.0
PRMICI_c,0.007317100000000001,0.0,1000.0
ACHBS_m,0.02233060000000001,0.0,1000.0
AATA_c,0.024908600000000006,-1000.0,1000.0
IPPMIb_c,-0.030367999999999996,-1000.0,1000.0
IPPS_m,0.03036799999999999,0.0,1000.0
HCITR_m,0.024908600000000003,-1000.0,1000.0
OMCDC_c,0.030368,0.0,1000.0
BPNT_c,0.004871799999999899,0.0,1000.0
DHQTi_c,0.0241504,0.0,1000.0
DHQS_c,0.024150400000000002,0.0,1000.0
3DSPHR_r,0.00047539999999999974,0.0,1000.0
DDPA_c,0.024150400000000002,0.0,1000.0
HACD140i_x,4.897041240237007e-19,0.0,1000.0
IPPMIa_c,-0.030367999999999996,-1000.0,1000.0
IPMD_c,0.030367999999999992,0.0,1000.0
PSCIT_c,0.024150400000000006,0.0,1000.0
NTD11_c,1.3306237168008883e-14,0.0,1000.0
PRFGS_c,0.009687099999980268,0.0,1000.0
MTHFR3_c,0.018010599999999887,0.0,1000.0
PGL_c,4.0040128208107655,0.0,1000.0
KARA1i_m,0.05815799999999999,0.0,1000.0
ACLS_m,0.058157999999999994,0.0,1000.0
ACACT160i_x,4.8970412402370065e-19,0.0,1000.0
ACACT40ir_c,-4.187929725375642e-17,0.0,1000.0
ACACT40ir_m,0.024763799999999326,-1000.0,1000.0
ACACT140i_x,4.8970412402370065e-19,0.0,1000.0
ACACT100i_x,1.9544318465131064e-19,0.0,1000.0
ACACT120i_x,4.897041240237007e-19,0.0,1000.0
ACCOAC_c,0.11644548906239921,0.0,1000.0
ACS_c,0.13939098906239983,0.0,1000.0
ACGK_m,0.030633400000000012,0.0,1000.0
ACOTAi_m,0.03063340000000001,0.0,1000.0
ACOAO100_x,4.897041240237007e-19,0.0,1000.0
ACOAO120_x,4.910770752101499e-19,0.0,1000.0
ACOAO260_x,4.0923089600845815e-20,0.0,1000.0
ACOAO160_x,3.6328274684290583e-19,0.0,1000.0
ACOAO180_x,-5.177912321380988e-35,0.0,1000.0
ACOAO140_x,4.8970412402370065e-19,0.0,1000.0
STATg181_rm,0.00022580000000000004,-1000.0,1000.0
STATg161_rm,0.0006154999999998861,-1000.0,1000.0
STATl161_rm,-4.3502143196877e-08,-1000.0,1000.0
ADNK1_c,0.013688599999995726,0.0,1000.0
AHCi_c,0.013688599999999888,0.0,1000.0
ADK1_c,0.6412697434064213,0.0,1000.0
ADK1_m,-8.718507602201199e-18,0.0,1000.0
ADSL2i_c,0.009687099999980265,0.0,1000.0
ADSL1r_c,0.012534199999965297,-1000.0,1000.0
ADSS_c,0.012534199999965296,0.0,1000.0
ADSK_c,0.004871800000000853,0.0,1000.0
ALATRS_c,0.0370407,0.0,1000.0
ALDD2y_c,0.13451918906239899,0.0,1000.0
TRE6PS_c,0.0023398,0.0,1000.0
ANPRT_c,0.0024643000000000004,0.0,1000.0
ANS_c,0.002464300000000001,0.0,1000.0
ARGSL_c,0.014634300000000003,-1000.0,1000.0
ARGSS_c,0.014634300000000003,-1000.0,1000.0
ARGTRS_c,0.0146343,0.0,1000.0
ASNS1_c,0.0175915,0.0,1000.0
ASNTRS_c,0.0175915,0.0,1000.0
ASPCT_c,0.01020439999999995,0.0,1000.0
ASPK_c,4.20962692238884,0.0,1000.0
ASPTA_c,-4.291869922388785,-1000.0,1000.0
ASAD_c,4.20962692238884,0.0,1000.0
ASPTRS_c,0.017591499999999996,0.0,1000.0
ATPPRT_c,0.0073171,0.0,1000.0
ATPS_m,5.573459887139949,0.0,1000.0
ATPASEP2e_c,0.3030860999998101,0.0,1000.0
C14STR_c,0.004127299999999885,0.0,1000.0
C3STDH2_c,0.004127299999999884,0.0,1000.0
C3STDH1_c,0.004127299999999884,0.0,1000.0
C3STKR1_c,0.004127299999999884,0.0,1000.0
C3STKR2_c,0.004127299999999884,0.0,1000.0
C4STMO1_c,0.004127299999999884,0.0,1000.0
C4STMO2_c,0.004127299999999884,0.0,1000.0
C4STMO3_c,0.004127299999999884,0.0,1000.0
C4STMO4_c,0.004127299999999884,0.0,1000.0
C24STR_r,0.004127299999999885,0.0,1000.0
CBPS_c,0.024838699999999957,0.0,1000.0
CAT_x,5.370001793972281e-20,0.0,1000.0
CERH124A_r,0.00014261999999999996,0.0,1000.0
CERH124B_r,4.753999999999998e-05,0.0,1000.0
CERH126A_r,0.00014261999999999993,0.0,1000.0
CERH126B_r,4.753999999999998e-05,0.0,1000.0
CERS124_r,0.00023769999999999981,0.0,1000.0
CERS126_r,0.00023769999999999987,0.0,1000.0
CERH2A24_r,9.507999999999996e-05,0.0,1000.0
CERH2A26_r,9.507999999999996e-05,0.0,1000.0
CERH324_r,4.753999999999998e-05,0.0,1000.0
CERH326_r,4.753999999999998e-05,0.0,1000.0
CHTNS_c,0.0022891000000000005,0.0,1000.0
CHORM_c,0.0216861,0.0,1000.0
CHORS_c,0.024150400000000002,0.0,1000.0
CS_m,0.11423710000000072,0.0,1000.0
ACONTa_c,0.11423709999996057,-1000.0,1000.0
CTPS2_c,0.0047339,0.0,1000.0
CYSTS_c,0.000549799999996641,0.0,1000.0
CYSTGL_c,0.0005497999999998386,0.0,1000.0
CYSS_c,1.012763143487115e-15,0.0,1000.0
CYSTRS_c,0.0005308000000000001,0.0,1000.0
LNS14DMy_c,0.004127299999999884,0.0,1000.0
DCMPDA_c,0.0003889999999999999,0.0,1000.0
DPCOAK_m,-4.247797954999716e-16,0.0,1000.0
DHCRD126_r,-1.9289031954582338e-20,-1000.0,1000.0
DHFRi_c,0.00039530000000167234,0.0,1000.0
DHFRi_m,1.2295071600452742e-19,0.0,1000.0
DHFS_1_c,6.300000001672512e-06,0.0,1000.0
DHNPA2i_m,6.300000001672512e-06,0.0,1000.0
DNMPPA_c,6.300000001673024e-06,0.0,1000.0
DHORTS_c,-0.01020439999999995,-1000.0,1000.0
DHPTS_m,6.300000001672512e-06,0.0,1000.0
DHAD1_m,0.05815799999999999,0.0,1000.0
DHAD2_m,0.022330600000000006,0.0,1000.0
DHAK_c,1.056137152218502,0.0,1000.0
DMATT_c,0.008254599999999765,0.0,1000.0
DOLPMT_c,0.06239299999999999,0.0,1000.0
DOLPMMT_r,0.062393,0.0,1000.0
DTMPK_c,0.00038899999999999997,0.0,1000.0
ENO_c,9.130956433840069,-1000.0,1000.0
FCLT_m,1.0000000000000001e-07,0.0,1000.0
FECOOR_m,4.2160107035987044,0.0,1000.0
FECRq6_m,8.432021407197407,0.0,1000.0
AFAT_c,9.99999999583939e-07,0.0,1000.0
FTHFL_c,0.004133600000002043,-1000.0,1000.0
FBA_c,3.9485731801182324,-1000.0,1000.0
FUM_m,-7.746916526698783e-16,-1000.0,1000.0
FUM_c,0.03685559999994556,-1000.0,1000.0
DHORDfum_c,0.01020439999999995,0.0,1000.0
FRD_c,8.421817007197406,0.0,1000.0
