rxn,flux,lb,ub
13GS_c,0.09682060000000002,0.0,1000.0
16GS_c,0.0254791,0.0,1000.0
PRMICI_c,0.0071121000000000005,0.0,1000.0
ACHBS_m,0.022077600000000013,0.0,1000.0
AATA_c,0.024692600000000006,-1000.0,1000.0
IPPMIb_c,-0.029658999999999994,-1000.0,1000.0
IPPS_m,0.029658999999999987,0.0,1000.0
HCITR_m,0.024692600000000002,-1000.0,1000.0
OMCDC_c,0.029658999999999998,0.0,1000.0
BPNT_c,0.00473979999999998,0.0,1000.0
DHQTi_c,0.023804399999999993,0.0,1000.0
DHQS_c,0.02380439999999999,0.0,1000.0
3DSPHR_r,0.0004754000000000003,0.0,1000.0
DDPA_c,0.023804399999999996,0.0,1000.0
HACD140i_x,0.12127748292453973,0.0,1000.0
IPPMIa_c,-0.029658999999999994,-1000.0,1000.0
IPMD_c,0.02965899999999999,0.0,1000.0
PSCIT_c,0.0238044,0.0,1000.0
PRFGS_c,0.00968709999999132,0.0,1000.0
MTHFR3_c,0.008317299999999998,0.0,1000.0
PGL_c,0.0016508953152738984,0.0,1000.0
KARA1i_m,0.05698599999999998,0.0,1000.0
ACLS_m,0.05698599999999999,0.0,1000.0
ACACT160i_x,0.12127748292453971,0.0,1000.0
ACACT40ir_m,0.024764099999999987,-1000.0,1000.0
ACACT140i_x,0.12127748292453971,0.0,1000.0
ACACT100i_x,0.12127748292453974,0.0,1000.0
ACACT120i_x,0.12127748292453971,0.0,1000.0
ACCOAC_c,0.03597901249920002,0.0,1000.0
ACS_c,0.04729730156159999,0.0,1000.0
ACGK_m,0.029636400000000004,0.0,1000.0
ACOTAi_m,0.029636400000000007,0.0,1000.0
ACOAO100_x,0.12127748292453971,0.0,1000.0
ACOAO120_x,0.12127748292453969,0.0,1000.0
ACOAO160_x,0.1212774829245397,0.0,1000.0
ACOAO140_x,0.12127748292453969,0.0,1000.0
STATg181_rm,0.00022580000000000004,-1000.0,1000.0
STATl181_rm,3.190710846785568e-07,-1000.0,1000.0
STATe161_rm,9.803058623619281e-07,-1000.0,1000.0
