rxn,flux,lb,ub
RLFC2O_c,0.0,0.0,1000.0
RLFC2O_m,0.0,0.0,1000.0
BTDDH_c,0.0,-1000.0,1000.0
LLFC2O_c,0.0,0.0,1000.0
13GS_c,0.09682060000000002,0.0,1000.0
16GS_c,0.0254791,0.0,1000.0
PRMICI_c,0.007317100000000001,0.0,1000.0
P5CD_m,0.0,-1000.0,1000.0
DKMPPD_c,0.0,0.0,1000.0
DHPPDA2_c,0.0,0.0,1000.0
DRAPPRy_c,0.0,0.0,1000.0
ACHBS_m,0.02233060000000001,0.0,1000.0
HPPK2_m,0.0,0.0,1000.0
AATA_c,0.024908600000000006,-1000.0,1000.0
DPR_c,0.0,0.0,1000.0
Q6MT1_m,1.381092000144042e-18,0.0,1000.0
Q6MO_m,1.3225382302844898e-18,0.0,1000.0
IPPMIb_c,-0.030367999999999996,-1000.0,1000.0
IPPS_c,0.0,0.0,1000.0
IPPS_m,0.03036799999999999,0.0,1000.0
UNK3_c,0.0,0.0,1000.0
HCITR_m,0.024908600000000003,-1000.0,1000.0
MCITS_m,0.0,0.0,1000.0
OMCDC_c,0.030368,0.0,1000.0
OMCDC_m,0.0,0.0,1000.0
BPNT_c,0.004871799999999833,0.0,1000.0
PDE1_c,0.0,0.0,1000.0
PDE2_c,0.0,0.0,1000.0
PDE3_c,0.0,0.0,1000.0
PDE4_c,0.0,0.0,1000.0
PDE5_c,0.0,0.0,1000.0
DB4PS_c,0.0,0.0,1000.0
DHQTi_c,0.024150399999999995,0.0,1000.0
DHQS_c,0.0241504,0.0,1000.0
3DSPHR_r,0.00047540000000000017,0.0,1000.0
DDPA_c,0.024150399999999992,0.0,1000.0
3HXPHBH_c,1.9754833788880106e-18,0.0,1000.0
3HPH5MBDC_m,1.3225382302844896e-18,0.0,1000.0
HKYNH_c,0.0,0.0,1000.0
HACD140i_x,-3.7159736768514064e-17,0.0,1000.0
3HAO_c,0.0,0.0,1000.0
3IPM3MT_c,0.0,0.0,1000.0
IPPMIa_c,-0.030367999999999996,-1000.0,1000.0
IPMD_c,0.030367999999999992,0.0,1000.0
3MOBDC_c,0.0,0.0,1000.0
MTMOHT_m,0.0,0.0,1000.0
PSCIT_c,0.0241504,0.0,1000.0
ADCS_c,0.0,0.0,1000.0
ADCL_c,0.0,0.0,1000.0
ABTA_c,0.0,0.0,1000.0
4HTHRS_c,0.0,0.0,1000.0
4HBZF_m,0.0,0.0,1000.0
4DPMIPPH_c,0.0,-1000.0,1000.0
IPPYP1_c,0.0,0.0,1000.0
MTAP_c,0.0,0.0,1000.0
NTD4pp_c,0.0,0.0,1000.0
NTD11_c,0.0,0.0,1000.0
NTD2pp_c,0.0,0.0,1000.0
PRFGS_c,0.00968709999990349,0.0,1000.0
MTHFR3_c,0.018010599999999995,0.0,1000.0
ALAS_m,0.0,0.0,1000.0
5DPMIPPH_c,0.0,0.0,1000.0
PMI12346PS_c,0.0,0.0,1000.0
MHPGLUT_c,0.0,0.0,1000.0
MDRPD_c,0.0,0.0,1000.0
MTRI_c,0.0,-1000.0,1000.0
IPPYP2_c,0.0,0.0,1000.0
IPPYP3_c,0.0,0.0,1000.0
PFK_4_c,0.0,0.0,1000.0
PGL_c,-6.377383783255942e-15,0.0,1000.0
6DPMIPPH_c,0.0,-1000.0,1000.0
IPPYP4_c,0.0,0.0,1000.0
AOXS_c,0.0,0.0,1000.0
ACALDCD_c,0.0,0.0,1000.0
KARA1i_m,0.05815799999999999,0.0,1000.0
ACLS_m,0.058157999999999994,0.0,1000.0
ACOATA_m,0.0,-1000.0,1000.0
ACACT180i_x,0.0,0.0,1000.0
ACACT260i_x,0.0,0.0,1000.0
ACACT160i_x,-3.715973676851406e-17,0.0,1000.0
ACACT40ir_c,12.489371088802292,0.0,1000.0
ACACT40ir_m,0.024764100000002138,-1000.0,1000.0
ACACT140i_x,-3.715973676851406e-17,0.0,1000.0
ACACT100i_x,1.5649708884615175e-17,0.0,1000.0
ACACT120i_x,-2.072620783176092e-17,0.0,1000.0
ACCOAC_m,0.0,0.0,1000.0
ACCOAC_c,0.11644548906240029,0.0,1000.0
ACOAHi_m,0.0,0.0,1000.0
ACS_c,25.118133166666986,0.0,1000.0
