rxn,flux,lb,ub
13GS_c,0.09682060000000002,0.0,1000.0
16GS_c,0.0254791,0.0,1000.0
PRMICI_c,0.0071121000000000005,0.0,1000.0
ACHBS_m,0.022077600000000003,0.0,1000.0
AATA_c,0.024692600000000006,-1000.0,1000.0
HCITR_m,0.024692600000000002,-1000.0,1000.0
BPNT_c,0.004739800000000005,0.0,1000.0
3DSPHR_r,0.0004754000000000003,0.0,1000.0
PRFGS_c,0.009687099999998021,0.0,1000.0
MTHFR3_c,0.008317299999999998,0.0,1000.0
PGL_c,0.2968609328128178,0.0,1000.0
KARA1i_m,0.027326999999999994,0.0,1000.0
ACLS_m,0.027326999999999997,0.0,1000.0
ACACT40ir_m,0.024764099999999983,-1000.0,1000.0
ACCOAC_c,0.11644548906240006,0.0,1000.0
ACS_c,0.13925898906240006,0.0,1000.0
ACGK_m,0.02963640000000001,0.0,1000.0
ACOTAi_m,0.029636400000000007,0.0,1000.0
STATe181_rm,-5.656665079113296e-08,-1000.0,1000.0
STATg181_rm,0.00022580000000000004,-1000.0,1000.0
STATg161_rm,0.0006154999999999999,-1000.0,1000.0
ADNK1_c,0.0041272999999999995,0.0,1000.0
AHCi_c,0.0041272999999999995,0.0,1000.0
ADK1_c,0.6281181303419648,0.0,1000.0
ADSL2i_c,0.00968709999999802,0.0,1000.0
ADSL1r_c,0.012329199999997957,-1000.0,1000.0
ADSS_c,0.012329199999997955,0.0,1000.0
ADSK_c,0.0047398,0.0,1000.0
AGTi_c,0.1921823499999953,0.0,1000.0
ALATRS_c,0.0370407,0.0,1000.0
ALDD2y_c,0.13451918906240004,0.0,1000.0
TRE6PS_c,0.0023398,0.0,1000.0
ANS_c,-0.22804404999999536,0.0,1000.0
ARGSL_c,0.014398300000000004,-1000.0,1000.0
ARGSS_c,0.014398300000000001,-1000.0,1000.0
ARGTRS_c,0.0146343,0.0,1000.0
ASNS1_c,0.0175915,0.0,1000.0
ASNTRS_c,0.0175915,0.0,1000.0
ASPCT_c,0.010204399999999952,0.0,1000.0
ASPK_c,0.047109,0.0,1000.0
