rxn,flux,lb,ub
13GS_c,0.02971375674533156,0.0,1000.0
16GS_c,0.007819408054587322,0.0,1000.0
PRMICI_c,0.0022455813068837163,0.0,1000.0
ACHBS_m,0.00685314918909097,0.0,1000.0
AATA_c,0.007644324464698276,-1000.0,1000.0
IPPMIb_c,-0.009319786954865272,-1000.0,1000.0
IPPS_m,0.009319786954865272,0.0,1000.0
HCITR_m,0.007644324464698276,-1000.0,1000.0
OMCDC_c,0.009319786954865274,0.0,1000.0
BPNT_c,0.0014951309960066395,0.0,1000.0
DHQTi_c,0.007411636685813301,0.0,1000.0
DHQS_c,0.007411636685813301,0.0,1000.0
3DSPHR_r,0.00014589787665776318,0.0,1000.0
DDPA_c,0.007411636685813301,0.0,1000.0
HACD140i_x,-6.582670024219093e-17,0.0,1000.0
IPPMIa_c,-0.009319786954865274,-1000.0,1000.0
IPMD_c,0.009319786954865274,0.0,1000.0
PSCIT_c,0.007411636685813303,0.0,1000.0
PRFGS_c,0.002970988986847778,0.0,1000.0
MTHFR3_c,0.005527362846723409,0.0,1000.0
PGL_c,1.6613854538098864,0.0,1000.0
KARA1i_m,0.017848398634123238,0.0,1000.0
ACLS_m,0.01784839863412324,0.0,1000.0
ACACT40ir_m,0.00759988607063002,-1000.0,1000.0
ACACT140i_x,-6.582670024219093e-17,0.0,1000.0
ACACT100i_x,-6.582670024219091e-17,0.0,1000.0
ACACT120i_x,-6.582670024219091e-17,0.0,1000.0
ACCOAC_c,2.8840622051321687,0.0,1000.0
ACS_c,3.2836276842018783,0.0,1000.0
ACGK_m,0.009401236884324468,0.0,1000.0
ACOTAi_m,0.009401236884324468,0.0,1000.0
ACOAO100_x,-6.582670024219093e-17,0.0,1000.0
ACOAO120_x,-6.582670024219091e-17,0.0,1000.0
ACOAO140_x,-6.582670024219093e-17,0.0,1000.0
STATg181_rm,6.929688798763761e-05,-1000.0,1000.0
STATg161_rm,0.00018889386428871103,-1000.0,1000.0
STATl161_rm,-1.3350589656189174e-08,-1000.0,1000.0
ADNK1_c,0.004200962714382533,0.0,1000.0
AHCi_c,0.004200962714382533,0.0,1000.0
ADK1_c,3.4376478909439765,0.0,1000.0
ADSL2i_c,0.0029709889868477775,0.0,1000.0
ADSL1r_c,0.0038466831417810184,-1000.0,1000.0
ADSS_c,0.0038466831417810175,0.0,1000.0
ADSK_c,0.0014951309960066395,0.0,1000.0
ALATRS_c,0.011367605132345832,0.0,1000.0
ALDD2y_c,3.2821325532058716,0.0,1000.0
TRE6PS_c,0.0007180728897850953,0.0,1000.0
ANPRT_c,0.0007562813156241604,0.0,1000.0
ANS_c,0.0007562813156241605,0.0,1000.0
ARGSL_c,0.004491193303266098,-1000.0,1000.0
ARGSS_c,0.004491193303266098,-1000.0,1000.0
ARGTRS_c,0.004491193303266098,0.0,1000.0
ASNS1_c,0.0053987431578145575,0.0,1000.0
ASNTRS_c,0.0053987431578145575,0.0,1000.0
ASPCT_c,0.0031316792018646926,0.0,1000.0
ASPK_c,0.014660373512707922,0.0,1000.0
ASPTA_c,-0.03989840446209662,-1000.0,1000.0
ASPTA_x,4.775114458786144e-18,-1000.0,1000.0
ASAD_c,0.01466037351270792,0.0,1000.0
ASPTRS_c,0.005398743157814557,0.0,1000.0
ATPPRT_c,0.0022455813068837163,0.0,1000.0
ATPS_m,3.2254127404791277,0.0,1000.0
ATPASEP2e_c,0.09300207054714557,0.0,1000.0
C14STR_c,0.0012666476784383375,0.0,1000.0
C3STDH2_c,0.0012666476784383373,0.0,1000.0
C3STDH1_c,0.0012666476784383373,0.0,1000.0
C3STKR1_c,0.0012666476784383373,0.0,1000.0
C3STKR2_c,0.0012666476784383375,0.0,1000.0
C4STMO1_c,0.0012666476784383373,0.0,1000.0
C4STMO2_c,0.0012666476784383375,0.0,1000.0
C4STMO3_c,0.0012666476784383375,0.0,1000.0
C4STMO4_c,0.0012666476784383375,0.0,1000.0
C24STR_r,0.0012666476784383373,0.0,1000.0
CBPS_c,0.0076228725051307915,0.0,1000.0
CAT_x,-1.9748010072657278e-16,0.0,1000.0
CERH124A_r,4.376936299732894e-05,0.0,1000.0
CERH124B_r,1.4589787665776318e-05,0.0,1000.0
CERH126A_r,4.376936299732894e-05,0.0,1000.0
CERH126B_r,1.4589787665776318e-05,0.0,1000.0
CERS124_r,7.294893832888159e-05,0.0,1000.0
CERS126_r,7.294893832888159e-05,0.0,1000.0
CERH2A24_r,2.9179575331552635e-05,0.0,1000.0
CERH2A26_r,2.9179575331552635e-05,0.0,1000.0
CERH324_r,1.4589787665776318e-05,0.0,1000.0
CERH326_r,1.4589787665776318e-05,0.0,1000.0
CHTNS_c,0.0007025133139614759,0.0,1000.0
CHLPCTD_c,1.4270742051085502e-19,0.0,1000.0
CHORM_c,0.006655355370189141,0.0,1000.0
CHORS_c,0.007411636685813301,0.0,1000.0
CS_m,0.03505685984206548,0.0,1000.0
CS_x,-4.607869016953364e-16,0.0,1000.0
ACONTa_c,0.035056859842064914,-1000.0,1000.0
CTPS2_c,0.0014528101773457825,0.0,1000.0
CYSTS_c,0.00016873086366576352,0.0,1000.0
CYSTGL_c,0.0001687308636657635,0.0,1000.0
CYSTRS_c,0.00016289985891868044,0.0,1000.0
LNS14DMy_c,0.0012666476784383373,0.0,1000.0
DCMPDA_c,0.00011938214981041199,0.0,1000.0
DPCOAK_m,2.4899901996230838e-17,0.0,1000.0
DHFRi_c,0.00012131558822636031,0.0,1000.0
DHORTS_c,-0.0031316792018646926,-1000.0,1000.0
DHAD1_m,0.017848398634123238,0.0,1000.0
DHAD2_m,0.006853149189090969,0.0,1000.0
DHAK_c,4.826211046694136e-19,0.0,1000.0
DMATT_c,0.002533295356876674,0.0,1000.0
DOLPMT_c,0.019148098902624765,0.0,1000.0
DOLPMMT_r,0.019148098902624765,0.0,1000.0
DTMPK_c,0.00011938214981041199,0.0,1000.0
ENO_c,3.4885841251973435,-1000.0,1000.0
FCLT_m,3.068949866591569e-08,0.0,1000.0
FECOOR_m,2.0081934684307026,0.0,1000.0
FECRq6_m,4.016386936861406,0.0,1000.0
AFAT_c,3.068949866883061e-07,0.0,1000.0
FDH_c,0.06895261319160277,0.0,1000.0
FTHFL_c,-0.03358318080562637,-1000.0,1000.0
FTHFL_m,-0.034102784707538115,-1000.0,1000.0
FBA_c,1.5655288018265805,-1000.0,1000.0
FUM_m,6.886148023732252e-16,-1000.0,1000.0
FUM_c,0.011308865431894459,-1000.0,1000.0
DHORDfum_c,0.003131679201864692,0.0,1000.0
FRD_c,4.01325525765954,0.0,1000.0
GRTT_c,0.0025332953568766737,0.0,1000.0
G6PDH2i_c,1.6613854538098864,0.0,1000.0
PGI_c,0.48645353444392625,-1000.0,1000.0
