rxn,flux,lb,ub
13GS_c,0.09682060000000002,0.0,1000.0
16GS_c,0.0254791,0.0,1000.0
PRMICI_c,0.0073171000964636496,0.0,1000.0
ACHBS_m,0.0223306,0.0,1000.0
AATA_c,0.02490860032837231,-1000.0,1000.0
IPPMIb_c,-0.030367999999999996,-1000.0,1000.0
IPPS_m,0.030367999999999992,0.0,1000.0
HCITR_m,0.02490860032837231,-1000.0,1000.0
OMCDC_c,0.030368,0.0,1000.0
BPNT_c,0.004871800064226293,0.0,1000.0
DHQTi_c,2.579452336214216,0.0,1000.0
DHQS_c,2.579452336214216,0.0,1000.0
3DSPHR_r,0.00047540000000000017,0.0,1000.0
DDPA_c,2.5794523362142163,0.0,1000.0
HACD140i_x,3.945667127170162e-18,0.0,1000.0
IPPMIa_c,-0.030368,-1000.0,1000.0
IPMD_c,0.030367999999999996,0.0,1000.0
PSCIT_c,2.5794523362142154,0.0,1000.0
NTD11_c,1.2472415796580424e-12,0.0,1000.0
PRFGS_c,0.009687100128962388,0.0,1000.0
MTHFR3_c,0.018010600237436076,0.0,1000.0
PGL_c,3.0838511171300125,0.0,1000.0
KARA1i_m,0.05815799999999999,0.0,1000.0
ACLS_m,0.058157999999999994,0.0,1000.0
ACACT160i_x,3.945667127170162e-18,0.0,1000.0
ACACT40ir_m,0.024764100326467316,-1000.0,1000.0
ACACT140i_x,3.9456671271701615e-18,0.0,1000.0
ACACT100i_x,-2.9958240675625277e-18,0.0,1000.0
ACACT120i_x,-8.922133476384626e-18,0.0,1000.0
ACCOAC_c,0.11644549059751133,0.0,1000.0
ACS_c,0.1393909909000048,0.0,1000.0
ACGK_m,0.03063340000000001,0.0,1000.0
ACOTAi_m,0.030633400000000005,0.0,1000.0
ACOAO100_x,-8.922133476384626e-18,0.0,1000.0
ACOAO120_x,3.945667127170161e-18,0.0,1000.0
ACOAO160_x,3.9456671271701615e-18,0.0,1000.0
ACOAO140_x,3.9456671271701615e-18,0.0,1000.0
STATg181_rm,0.0002258,-1000.0,1000.0
STATe161_rm,3.037502357105828e-16,-1000.0,1000.0
