product,name,precursor,MW (g/mol),rateFBA,yieldFBA,vCarbonSourcesFBA,rateRBA,yieldRBA,vCarbonSourcesRBA,yRBA/yFBA,yieldExp_LB_(g/g_substrate),yieldExp_UB_(g/g_substrate),SimulationSettings,yieldEXP_conditions,yieldExp_ref,fluxExp_LB_(mmol product/(gDW*h)),fluxExp_UB_(mmol product/(gDW*h)),,vprod,RBA: vprod,vCarbonSources,RBA: vCarbonSources,yield,RBA: yield,yield on minimal media at 1.0% exp. growth,FBA: yield on minimal media at 1.0% exp. growth,carbonSlack,RBA: carbonSlack
13ppd,"1,3-Propanediol",Glycerol,76.09,17.81382212023962,0.5695516930700739,-13.21,,,,,,,,,,,,,,,,,,,,,,
2phetoh,2-Phenylethanol,L-Phenylalanine,122.16,2.5553019381097966,0.3122195099690078,-5.549610203628807,6.889484287350874,0.3536422864266975,-13.209999999987517,1.132671966789652,0.08,,,,,,,,,6.889484287350874,,-13.209999999987517,,0.3536422864266975,,UNDF,,0.0
3hppa,3-Hydroxypropionic acid,Malonyl-CoA,90.08,7.379942407025644,0.6654236144584985,-5.545419566859192,,,,,0.13,,,,,,,,,,,,,,,,,
3hppb,3-Hydroxypropionic acid,L-Alanine,90.08,8.294245459149213,0.7479521117530147,-5.544759808667549,,,,,0.14,,,,,,,,,,,,,,,,,
3hppa,3-Hydroxypropionic acid,Malonyl-CoA,90.08,7.379942407025644,0.6654236144584985,-5.545419566859192,,,,,0.13,,,,,,,,,,,,,,,,,
3hppb,3-Hydroxypropionic acid,L-Alanine,90.08,8.294245459149213,0.7479521117530147,-5.544759808667549,,,,,0.14,,,,,,,,,,,,,,,,,
4hbz,p-Hydroxybenzoate,Chorismate,137.11,3.354728528907237,0.4600748684385321,-5.549441423005487,,,,,0.07,,,,,,,,,,,,,,,,,
arte,Artermisinic acid,Farnesyl diphosphate,234.33,2.844697655376507,0.2800995809453898,-13.21,,,,,,,,,,,,,,,,,,,,,,
btd,"(2R,3R)-Butanediol",Pyruvate,90.12,5.008732116108107,0.4516357717891071,-5.547686668594033,,,,,0.11,,,,,,,,,,,,,,,,,
btoh,n-Butanol,Threonine or (acetyl-CoA and pyruvate),74.12,4.161856555785741,0.30852816991430354,-5.549820853803191,,,,,0.04,,,,,,,,,,,,,,,,,
citm,Citramalate,Acetyl-CoA and pyruvate,146.1,12.489371088802066,0.7667243171293693,-13.21,,,,,,,,,,,,,,,,,,,,,,
cou,p-Coumaric acid,L-Tyrosine,163.15,2.6118239322819092,0.4262860821805087,-5.548570274707247,,,,,0.15,,,,,,,,,,,,,,,,,
hdca,Hexadecanoic acid,Fatty acyl-CoA,256.4,1.0169945364214308,0.2607839207207108,-5.550180402242266,,,,,0.1,,,,,,,,,,,,,,,,,
hxdcol,Hexadecanol,Fatty acyl-CoA,242.44,0.9874314721362993,0.23939406803090904,-5.550717505065838,,,,,0.005,,,,,,,,,,,,,,,,,
ibutoh,Isobutanol,Isobutanol,74.12,4.68640372837228,0.3474539429141642,-5.549184128068436,,,,,0.06,,,,,,,,,,,,,,,,,
lac__L,L-Lactate,Pyruvate,89.07,8.860211568548015,0.7940334041382516,-5.516810175723827,24.419778191363292,0.9139482780096377,-13.210000000000125,1.1510199359956743,0.69,,,,,,,,,24.419778191363292,,-13.210000000000125,,0.9139482780096377,,UNDF,,0.0
muco,"cis,cis-Muconate",3-Dehydroshikimate,140.09,3.8364607695426103,0.5375941613289166,-5.5492542449106885,,,,,0.07,,,,,,,,,,,,,,,,,
nrgn,(2S)-Naringenin,Tyrosine and malonyl-CoA,272.25,3.9690930361825236,0.45405411831770026,-13.21,,,,,,,,,,,,,,,,,,,,,,
