Rxn,Flux
EX_o2_e,-0.059033729746126
CS_m,0.10186940091796
DHNPA2i_m,6.408089736e-06
5AOPt_c_m,-1.2076763182e-05
ACLS_m,12.710252138075164
INOSTtps_e,0.000367614383317
MALt2_m,0.126877256467266
ALAS_m,1.2076763182e-05
NADPHt_c_rm,0.000920088651134
ASPTRS_c,0.018437618026411
Ktps_e,0.061407124837608
NDPK2_c,0.086261306215763
CA2tps_c_e,0.000130801002256
ILETRS_c,0.021872163984164
TYRTRS_c,0.012072143291048
CITMALta_m,0.10186940091796
DHQTi_c,0.029293184729321
VALt_c_m,-4.72230702169475
ALDD2y_c,0.205283869966072
MTHFR3_c,0.011072612079277
DAGt_c_rm,-0.00025968268575
ANPRT_c,0.003827060519169
G3PD1r_c,0.174678775582359
ADK1_c,0.92711042817099
CDPDAGS_rm,0.001689063935605
NDPK1_c,0.839028623147157
TKT2_c,-0.077957145029434
HSDx_c,0.256113647407741
KARA2i_m,0.021872163984164
MDH_c,-12.475697645453893
IMPD_c,0.038209177536478
C14STR_c,0.001141190090179
ASPTA_c,7.048593254060915
CERS124_r,6.5720617938e-05
PPPGO_m,5.0836835e-08
INOSTt_c_rm,0.000367614383317
CERH326_r,1.3144123588e-05
PPIt_c_rm,-0.001689063935605
PNTK_c,1.9325483267e-05
STATg181_rm,6.2445094572e-05
TYRTA_c,0.012072143291048
AFAT_c,1.857491951e-06
PNTOtps_e,1.9325483267e-05
PAt_l_rm,0.001817305385479
VALTA_m,-4.72230702169475
NACt_c_e,0.00061785324259
NDPK7_c,0.000159770800291
CERH2A24_r,2.6288247175e-05
ACS_c,0.216002477622997
NADPt_c_r,-0.002597839146462
DAGt_c_l,0.00025968268575
ODECOAt_c_l,0.000787237751932
FTHFL_c,0.134102551425008
FE2t_c_e,6.9196466253e-05
METS_c,0.011072612079277
PAP_rm,0.000128241449874
IMPC_c,0.084578845652137
OCBT_c,0.016887438374037
DHFRi_c,0.000243091463879
4ABZt_c_e,-6.408089736e-06
ATPS_m,0.618634691542404
SO4t_c_e,0.013894348576946
PSt_mm_rm,-0.00111805221222
PSP_L_c,0.070085937120799
SERPT_r,0.000131441235876
ASNTRS_c,0.016470301017169
GARFT_c,0.07710203524468
UMPt_c_n,0.086261306215763
OCDCAt_c_l,-2.666625748e-06
BPNT_c,0.010718607656924
GTPGDPtp_m,6.408089736e-06
G5SDy_c,0.016444595158749
EX_gcald_e,6.408089736e-06
NH4t_c_e,1.102852362945792
PYK_c,25.962163412692934
FORt_c_m,0.132954953245093
CUtps_c_e,1.1646283712e-05
MTHFC_c,0.02757832947181
AMETt_c_rm,0.002643682797085
PPCDC_c,1.9325483267e-05
ASPCT_c,0.086261306215763
MALt_c_e,1000.0000000000001
PRAIi_c,0.003827060519169
DICAT7_c,2.8799930447e-05
PRAGSi_c,0.07710203524468
CPPPGO_c,1.01673671e-07
ECOAR220_rm,0.000131441235876
CERS126_r,6.5720617938e-05
PPND2_c,0.012072143291048
ATPASEP2e_c,0.800487615060996
CO2t_c_r,-0.000131441235876
HISTRS_c,0.007476810407457
O2t_c_r,0.001325207820406
PPBNGS_1_c,6.038381591e-06
EX_h2o_e,15.399385966783614
DHAK_c,0.172886790024092
C4STMO4_c,0.001141190090179
EX_ca2_e,-0.000130801002256
EX_thm_e,-1.2435427e-07
PSD_mm,0.00111805221222
DPMVD_c,0.00684744556209
PRAIS_c,0.07710203524468
GLNS_c,1.257922201930784
AKGDH_m,1.2076763182e-05
CTPt_c_rm,0.001689063935605
P5CR_c,0.016444595158749
EX_co2_e,25.15270526665123
NH4t_c_m,-0.132954953245093
GLUTRS_c,0.02526737165132
THMtps_e,1.2435427e-07
EX_inost_e,-0.000367614383317
Ht_c_r,0.002597839146462
DAGt_gm_rm,0.000131441235876
DHQS_c,0.029293184729321
ADNK1_c,0.003787688730718
HXCCOAt_c_r,6.5720617938e-05
METTRS_c,0.007284923348559
PMEMT_rm,0.000881227599028
IGPDH_c,0.007476810407457
DHAD2_m,0.021872163984164
FTHFL_m,-0.132954953245093
METAT_c,0.003787688730718
EX_pnto__R_e,-1.9325483267e-05
DGAT_l,0.000234362858539
GLYCt_c_l,2.5319827212e-05
ARGSS_c,0.016887438374037
ADSS_c,0.04636966811566
O2t_c_m,0.04313100896573
IPPMIb_c,-0.030752152682303
PHETA1_c,-0.013393980919104
DMATT_c,0.00228248185403
PSERT_c,0.070085937120799
PGM_c,26.020749782151576
ALATA_L_m,-0.033961503432007
NDPK8_c,0.038445860068258
NADHK1_m,0.0
CBPS_c,0.1031487445898
HCITR_m,0.026058810618889
MG2tps_c_e,0.006863998638081
GLUSx_c,0.879689707353293
ME2_m,12.616056787188272
FCLT_m,1.01673671e-07
AIRC1_c,0.07710203524468
PRATPP_c,0.007476810407457
COBALT2t_c_e,2.9085791061e-05
AICART_c,0.084578845652137
ERGSTt_c_rm,-999.9997673801539
HEX1_c,13.21
IG3PS_c,0.007476810407457
NNATi_c,0.00061785324259
ALCD23xi_c,12.482344676211515
AATA_c,0.026058810618889
PYDXK_c,2.917836887e-05
ZN2tps_c_e,0.000411923769184
ERGTETROLt_c_r,0.001141190090179
TALA_c,-0.048663960300113
TRPTRS_c,0.003827060519169
ADPt_c_n,-0.086261306215763
UPP3S_c,1.509595398e-06
EX_mg2_e,-0.006863998638081
EX_fe2_e,-6.9196466253e-05
FE2t_c_m,1.01673671e-07
FRDPt_c_m,1.01673671e-07
PAILt_c_rm,-0.00023617314744
EX_4abz_e,-6.408089736e-06
HSERTA_c,0.007284923348559
NADHK1_c,0.000332598121654
3HACD200_rm,0.000131441235876
H2Ot_c_rm,-0.006662823644741
compCER_r,0.000131441235876
IBUTOHt_c_m,-0.169525881214102
THRTRS_c,0.021672690108946
SQLS_c,0.001141190090179
ACONTa_c,0.10186940091796
FOLD3_m,6.408089736e-06
CO2t_c_rm,-0.000460044325567
ATPPRT_c,0.007476810407457
ILEt_c_m,0.021872163984164
ALCD23xi_m,0.169525881214102
AKGMALta_m,12.387310129803048
PRFGS_c,0.07710203524468
HACNH_m,0.026058810618889
EX_pydxn_e,-2.917836887e-05
PYDXR_c,2.917836887e-05
4ABZt_c_m,6.408089736e-06
HCO3E_c,13.230554800870264
DCMPDA_c,0.000236683374143
ACOTAi_m,0.016887438374037
LNSTLS_c,0.001141190090179
STATg161_rm,0.000170174751596
HMGCOAR_c,0.00684744556209
PMTCOAt_c_l,0.000731119946766
MN2tps_c_e,1.0175989704e-05
OMPDC_c,0.086261306215763
3OACE200_rm,0.000131441235876
Ht_c_l,-5.0639654423e-05
CMPt_c_rm,-0.001689063935605
FECOOR_m,0.043130653107882
3HACD220_rm,0.000131441235876
GLYCDy_c,0.172886790024092
ACGK_m,0.016887438374037
RNDR1_c,0.00023668253178
UMPK_n,0.086261306215763
PSCIT_c,0.029293184729321
SQLt_c_r,0.001141190090179
ORPT_c,-0.086261306215763
PEt_mm_rm,0.00111805221222
HSTPT_c,0.007476810407457
SUCDq6_m,0.086261306215763
C3STKR1_c,0.001141190090179
LACPYRt_c_m,-12.8707814003125
CYTK2_c,-0.000236683374143
EX_nac_e,-0.00061785324259
RNDR2_c,0.000159770964077
compFALPD_l,-5.0639654423e-05
ERGSTt_r_rm,1000.0000000000001
NADPt_c_rm,-0.000920088651134
CHORS_c,0.029293184729321
CHORM_c,0.025466124210152
CERH324_r,1.3144123588e-05
Ht_m_mm,0.00223610442444
AHCYSt_c_rm,-0.002643682797085
G3PAT_l,0.001817305385479
LYSTRS_c,0.026058810618889
PMTCOAt_c_rm,0.00231582753802
Ht_c_rm,0.000580511011851
LEUTA_c,-0.030752152682303
HDCOAt_c_rm,-0.002145652786424
ACOADS180_rm,0.000849682846504
VALTA_c,4.694677593727506
ECOAR240_rm,0.000131441235876
PEMT_rm,0.000881227599028
H2Ot_c_m,-13.39004141412484
NDPK3_c,0.001311935244437
THRS_c,0.248828724059182
PGK_c,26.090835719272377
AASADy_c,0.026058810618889
HXCCOAt_c_rm,-6.5720617938e-05
CERt_g_r,0.000131441235876
HISTD_c,0.007476810407457
3OACE260_rm,6.5720617938e-05
STCOAt_c_rm,0.000981124082381
3OACR240_rm,0.000131441235876
MTHFD_m,0.132954953245093
SQLEy_r,0.001141190090179
HDCOAt_c_l,0.002145652786424
AKGMALt_c_e,-1000.0000000000001
ACHBS_m,0.021872163984164
CO2t_c_m,-25.517719250572224
CERH126B_r,1.3144123588e-05
FACOAL180_l,1.5503548e-08
NADHt_c_rm,0.003165510384524
DHORDfum_c,0.086261306215763
ATPt_c_n,0.086261306215763
ANS_c,0.003827060519169
LACtps_m,12.8707814003125
RNDR3_c,0.000396454174435
SSQ23EPXt_c_r,0.001141190090179
GAPD_c,26.090835719272377
ILETA_m,-0.021872163984164
NDPK5_c,0.000159770964077
MEVK1_c,0.00684744556209
TTCCOAt_c_r,6.5720617938e-05
PAILS_rm,0.000367614383317
GK2_c,0.038209177536478
AMPt_c_l,-5.8459637e-08
SHCHD2_c,1.407921727e-06
C4STMO3_c,0.001141190090179
COAt_c_l,-0.00386891516986
NADS2_c,0.00061785324259
IPDDI_c,0.00228248185403
FACOAL181_l,1.7133224e-08
DNTPPA_c,6.408089736e-06
COAt_c_r,-0.000262882471752
GLYTRS_c,0.034102429638344
3MOBDC_c,12.651870557425617
DPCOAK_c,1.932502564e-05
ENO_c,26.020749782151576
MTHFD_c,0.02757832947181
RPI_c,0.126621105329546
CTPS2_c,0.037085776513426
SERt_c_rm,0.001321449552289
FECRq6_m,0.086261306215763
SO3R_c,0.010718607656924
PCt_c_rm,-0.000881227599028
ASNS1_c,0.016470301017169
OCDCEAt_c_l,-1.0286973018e-05
EX_glc__D_e,-13.21
CERH124B_r,1.3144123588e-05
DAGL_l,2.5319827212e-05
GLU5K_c,0.016444595158749
lumpFACS180_c,0.001186028767118
3OACR200_rm,0.000131441235876
IPMD_c,0.030752152682303
OAAtps_m,7.668104669380339
EX_nh4_e,-1.102852362945792
AHCi_c,0.003787688730718
ODECOAt_c_rm,-0.000787237751932
HEMEAt_c_m,1.01673671e-07
COAt_c_rm,-0.000692664171735
ACOADS160_rm,0.00231582753802
C3STDH1_c,0.001141190090179
SACCD1_c,0.026058810618889
KARA1i_m,12.710252138075164
CERH2A26_r,2.6288247175e-05
ICDHy_c,0.10186940091796
SLFAT_c,0.010718607656924
PYDXNtps_e,2.917836887e-05
C4STMO2_c,0.001141190090179
IGPS_c,0.003827060519169
LEUTRS_c,0.030752152682303
3OACE220_rm,0.000131441235876
3OACR260_rm,6.5720617938e-05
EX_ibutoh_e,12.651870557425617
ECOAR260_rm,6.5720617938e-05
PEt_c_rm,-0.000236824613192
3OACR220_rm,0.000131441235876
PPNDH_c,0.013393980919104
2OBUTt_c_m,0.021872163984164
PPIt_c_l,-5.8459637e-08
G3PT_c,0.17286147019688
ADSK_c,0.010718607656924
SACCD2_c,0.026058810618889
H2Ot_c_l,5.0639654423e-05
C24STR_r,0.001141190090179
O2t_c_e,0.059033729746126
PRPPS_c,0.175285065629659
ASPGLUt_c_m,7.566235268462379
NADPHt_c_r,0.002597839146462
SUCFUMt_c_m,0.086261306215763
3HACD240_rm,0.000131441235876
SHCHF_c,1.407921727e-06
GLUt_c_m,4.811915565858995
PRAMPC_c,0.007476810407457
C3STDH2_c,0.001141190090179
PPBNGD_c,1.509595398e-06
PSt_c_rm,-0.000203397340068
HSK_c,0.248828724059182
GLYt_c_m,0.132967030008275
SERt_c_r,0.000131441235876
TTCCOAt_c_rm,-6.5720617938e-05
lumpFACS160_c,0.003178388720662
TRPS1_c,0.003827060519169
MTHFC_m,0.132954953245093
TAGt_l_rm,0.000234362858539
IBUTOH1,7.987945116380414
ADSL2i_c,0.07710203524468
EX_zn2_e,-0.000411923769184
EX_ribflv_e,-0.000103804896366
HICITD_m,0.026058810618889
SHK3Di_c,0.029293184729321
LNS14DMy_c,0.001141190090179
CHLSTI_c,0.001141190090179
ERGSTt_c_r,-999.9988588099098
NAMNPP_c,0.00061785324259
TAGt_c_rm,-0.000234362858539
C4STMO1_c,0.001141190090179
GLYC3Pt_c_l,0.001817305385479
PSSA_rm,0.001321449552289
2OXOADPt_c_m,0.026058810618889
ORNtpa_m,0.016887438374037
UPP3MT_2_c,1.407921727e-06
DDPA_c,0.029293184729321
compACYLCOA_l,0.003868973629497
PIt_c_rm,-0.000128241449874
GMPS2_c,0.038209177536478
PPPG9t_c_m,1.01673671e-07
UDPt_c_n,-0.086261306215763
EX_so4_e,-0.013894348576946
ASPTAi_m,7.566235268462379
ACACT40ir_c,0.00684744556209
TKT1_c,-0.048663960300113
PAILt_gm_rm,-0.000131441235876
H2Ot_c_e,-15.399385966783598
3HACD260_rm,6.5720617938e-05
VALTRS_c,0.027629427967244
PMTCOAt_c_r,0.000131441235876
PPA_m,1.049424422982767
EX_cobalt2_e,-2.9085791061e-05
FACOAL161_l,2.5822864e-08
AGPAT_l,0.001817305385479
TMDPK_c,1.2435427e-07
CRNOAT_c,0.091369156983683
CRNACRNt_c_m,0.091369156983683
PRMICI_c,0.007476810407457
PDH_m,0.010500243934278
AKGt_c_e,-1000.0000000000001
CYTK1_c,0.001708389418872
TRDR_c,0.011511515327216
EX_cu2_e,-1.1646283712e-05
CERH126A_r,3.9432370763e-05
HDCAt_c_l,-9.569375496e-06
AHSERL2_c,0.007284923348559
PGI_c,13.21
ECOAR200_rm,0.000131441235876
3DSPHR_r,0.000131441235876
PPIt_c_m,1.049417913219361
ADPATPt_c_m,1.971965181408533
GTPCI_c,6.408089736e-06
ATPt_c_l,5.8459637e-08
ADK3_m,6.408089736e-06
G5SADr_c,0.016444595158749
EX_k_e,-0.061407124837608
CERH124A_r,3.9432370763e-05
PC_c,13.095209060773318
GLCt_c_e,13.21
PROTRS_c,0.016444595158749
ASAD_c,0.256113647407741
3OACE240_rm,0.000131441235876
HEMEOS_m,1.01673671e-07
THRA_c,0.205283869966072
HISTP_c,0.007476810407457
CO2t_c_mm,-0.00111805221222
HPPK2_m,6.408089736e-06
GLNTRS_c,0.017192700262039
IPPS_c,0.030752152682303
ALATRS_c,0.033961503432007
NADt_c_rm,-0.003165510384524
HEME4_c,1.193137966e-06
RIBFLVt_c_e,0.000103804896366
IPPMIa_c,-0.030752152682303
MALCOAt_c_rm,0.000460044325567
PHETRS_c,0.013393980919104
DNMPPA_c,6.408089736e-06
FMNH_c,-3.110403441e-06
ACCOAC_c,0.032196995507148
NDPK4_c,0.000236683374143
ARGSL_c,0.016887438374037
MAGL_l,2.5319827212e-05
HOMOX_m,1.01673671e-07
PFK_c,13.083378894670453
EX_mn2_e,-1.0175989704e-05
Ht_c_x,-0.0
RPE_c,-0.126621105329546
ARGTRS_c,0.016887438374037
H2Ot_c_r,-0.001325207820406
STCOAt_c_l,0.000204904684738
SERAT_c,0.003433684308366
O2t_c_rm,0.003165510384524
AGPRi_m,0.016887438374037
HMGCOAS_c,0.00684744556209
DHNPTt_c_m,6.408089736e-06
IBTALDt_c_m,0.169525881214102
CYSS_c,0.003433684308366
DHFS_1_c,6.408089736e-06
HCITt_c_m,0.026058810618889
PTPAT_c,1.932502564e-05
CRNOAT_m,0.091369156983683
ACONTb_c,0.10186940091796
PAPSR_c,0.010718607656924
FUM_c,0.14035914173438
GCALDt_c_e,-6.408089736e-06
EX_h_e,0.554421649928826
ASPK_c,0.256113647407741
ALAt_c_m,0.033961503432007
OMCDC_c,0.030752152682303
TMDS_c,0.000236683374143
PPNCL2_c,1.9325483267e-05
THRD_L_c,0.021872163984164
GLUPRT_c,0.07710203524468
HDCEAt_c_l,-2.8058220523e-05
GHMT2r_c,0.03888762492523
CO2t_c_e,25.15270526665123
GLYCL_m,0.132954953245093
PMEVK_c,0.00684744556209
FMNRx_c,1.98799939e-07
GCALDt_c_m,-6.408089736e-06
PDMEMT_rm,0.000881227599028
SHKK_c,0.029293184729321
EX_pi_e,-0.176814052021902
UPPDC1_c,1.01673671e-07
ADSL1r_c,0.04636966811566
PRASCSi_c,0.07710203524468
FBA_c,13.083378894670453
CYSTRS_c,0.003414358825099
PGCD_c,0.070085937120799
DHPTt_c_m,-6.408089736e-06
DTMPK_c,0.000236683374143
ORNTACi_m,0.016887438374037
DHORTS_c,-0.086261306215763
HCITS_c,0.026058810618889
IPCS_g,0.000131441235876
C3STKR2_c,0.001141190090179
GRTT_c,0.00228248185403
PItps_e,0.176814052021902
DHAD1_m,12.710252138075164
IBUTOHt_c_e,12.651870557425617
SERTRS_c,0.02248467657987
TPI_c,13.081586909112186
