Rxn,Flux
PPBNGS_1_c,7.474915709e-06
PAILt_c_rm,-0.00023617314744
LEUTA_c,-0.044306537773116
GLUt_c_m,0.174534212134503
H2Ot_c_e,-55.1717248538331
FORt_c_m,0.140782685936318
NDPK7_c,0.000159770800291
IPPS_c,0.044306537773116
CERH2A26_r,2.6288247175e-05
LACPYRt_c_m,-0.814460982496624
SHKK_c,3.89725341835172
O2t_c_e,15.790406028782195
NADPt_c_rm,-0.000920088651134
PSt_c_rm,-0.000203397340068
PMEMT_rm,0.000881227599028
ALATRS_c,0.044245433453343
CERH126B_r,1.3144123588e-05
ODECOAt_c_rm,-0.000739566965064
ASAD_c,0.072820671273187
EX_nh4_e,-1.112721068000313
ILETRS_c,0.034118558456361
HOMOX_m,1.01673671e-07
PItps_e,0.125207552729352
HMGCOAR_c,0.00684744556209
4ABZt_c_e,-6.408089736e-06
AICART_c,0.063969497324122
HSDx_c,0.072820671273187
RPI_c,1.384388858309351
CERt_g_r,0.000131441235876
IPMD_c,0.044306537773116
EX_ca2_e,-0.000130801002256
GLUTRS_c,0.037947404595233
AFAT_c,2.406876834e-06
ACOTAi_m,0.023624651201202
HCITR_m,0.034626490575023
ERGTETROLt_c_r,0.001141190090179
2OXOADPt_c_m,0.034626490575023
3OACR220_rm,0.000131441235876
SERPT_r,0.000131441235876
IPPMIb_c,-0.044306537773116
ADK1_c,16.338435610680865
ILETA_c,-0.034118558456361
NRGN4,3.857840565265874
DHQTi_c,3.89725341835172
SQLS_c,0.001141190090179
FMNH_c,-2.9599006022e-05
LNSTLS_c,0.001141190090179
PYDXNtps_e,4.009293433e-06
TMDS_c,0.000236683374143
DHPTS_m,6.408089736e-06
EX_gcald_e,6.408089736e-06
compACYLCOA_l,0.003634610770958
HSERTA_c,0.012739278810194
ALAt_c_m,0.044245433453343
EX_o2_e,-15.790406028782195
PItps_m,29.365883206500428
ALATA_L_m,-0.044245433453343
ECOAR220_rm,0.000131441235876
GLNS_c,0.304407045699951
EX_inost_e,-0.000367614383317
NDPK2_c,0.058691172430006
DMATT_c,0.00228248185403
ATPASEP2e_c,12.24617009729125
SUCDq6_m,0.580479880423097
HMGCOAS_m,0.00684744556209
GCALDt_c_e,-6.408089736e-06
SACCD1_c,0.034626490575023
CS_m,0.665743821870002
HEMEOS_m,1.01673671e-07
SHCHF_c,1.767055256e-06
ANPRT_c,0.004678055203882
5AOPt_c_m,-1.4949831418e-05
GTPCI_c,6.408089736e-06
HICITD_m,0.034626490575023
MEVK1_c,0.00684744556209
PMTCOAt_c_l,0.000686832397388
DHFS_1_c,6.408089736e-06
MTHFC_m,0.140782685936318
NRGN2,3.857840565265874
IGPS_c,0.004678055203882
CYSTGL_c,0.003167963745559
EX_fe2_e,-6.9752901973e-05
UPP3S_c,1.868728927e-06
MTHFR3_c,0.013359722062412
NACt_c_e,0.000617853330158
DHPTt_c_m,-6.408089736e-06
MDH_c,-0.55127931208942
SUCFUMt_c_m,0.058691172430006
LEUTRS_c,0.044306537773116
OMPDC_c,0.058691172430006
CERS2A24_r,3.9432370763e-05
PMEVK_c,0.00684744556209
ADNK1_c,0.003788406997777
NADS2_c,0.000617853330158
ACHBS_m,0.034118558456361
ORNTACi_m,0.023624651201202
ERGSTt_c_rm,-999.9997673801539
PEt_mm_rm,0.00111805221222
SQLEy_r,0.001141190090179
CO2t_c_rm,-0.000460044325567
3OACE220_rm,0.000131441235876
H2Ot_c_r,-0.001325207820406
PYDXK_c,4.009293433e-06
C3STKR1_c,0.001141190090179
DDPA_c,3.89725341835172
FACOAL181_rm,1.7133224e-08
TAGt_c_rm,-0.000234362858539
DPCOAK_c,1.932502564e-05
FMNRx_c,2.6448941872e-05
EX_pnto__R_e,-1.9325633726e-05
CO2t_c_m,-1.686193079135559
FTHFL_c,-0.10435957017127
STATg181_rm,6.2445094572e-05
PGI_c,13.21
GK1_c,0.026191859788147
3HACD240_rm,0.000131441235876
COAt_c_l,-0.003634610770958
PSt_mm_rm,-0.00111805221222
HEMEAt_c_m,1.01673671e-07
OCDCEAt_c_l,-1.0304106242e-05
ECOAR240_rm,0.000131441235876
HDCEAt_c_l,-2.8084043388e-05
ARGSS_c,0.023624651201202
PYRDC_c,11.654389646565669
SQLt_c_r,0.001141190090179
GRTT_c,0.00228248185403
H2Ot_c_l,5.0639654423e-05
PNTOtps_e,1.9325633726e-05
C4STMO4_c,0.001141190090179
Ktps_e,0.061403675714881
OCDCEAt_c_rm,1.7133224e-08
IPDDI_c,0.00228248185403
RIBFLVt_c_e,0.000130293498946
3OACR240_rm,0.000131441235876
C24STR_r,0.001141190090179
COAt_c_m,0.00684744556209
PPIt_c_rm,-0.001689122395242
EX_nac_e,-0.000617853330158
G5SDy_c,0.02301076774605
PPCDC_c,1.9325633726e-05
LYSTRS_c,0.034626490575023
IPPMIa_c,-0.044306537773116
MTHFC_c,0.221391288538796
EX_zn2_e,-0.000209417995364
HISTRS_c,0.010907276280717
3OACR260_rm,6.5720617938e-05
CERS124_r,2.6288247175e-05
TRPS1_c,0.004678055203882
3MOPt_c_m,-0.034118558456361
EX_cu2_e,-1.1653752529e-05
GCALDt_c_m,-6.408089736e-06
EX_h_e,12.05216158840562
PC_c,0.477102038396858
3OACE260_rm,6.5720617938e-05
DNMPPA_c,6.408089736e-06
COAt_c_rm,-0.000926968570637
OCDCAt_c_rm,1.5503548e-08
THMtps_e,1.188816623e-06
IGPDH_c,0.010907276280717
DPMVD_c,0.00684744556209
CO2t_c_e,17.6507867022084
MG2tps_c_e,0.006490590094839
AKGt_c_e,-1000.0000000000001
CDPDAGS_rm,0.001689063935605
PFK_c,11.82561114169065
PSPHS_r,7.8864741526e-05
O2t_c_m,15.7745033080018
NH4t_c_m,-0.140782685936318
ALDD2x_c,7.327134776555154
ACOADS180_rm,0.000849682846504
HSTPT_c,0.010907276280717
HXCCOAt_c_r,6.5720617938e-05
ZN2tps_c_e,0.000209417995364
Ht_m_mm,0.00223610442444
HDCOAt_c_rm,-0.002015704249023
PRMICI_c,0.010907276280717
PROTRS_c,0.02301076774605
ERGSTt_c_r,-999.9988588099098
FE2t_c_m,1.01673671e-07
VALTA_c,0.044306537773116
O2t_c_rm,0.003165510384524
HDCEAt_c_rm,2.5822864e-08
STCOAt_c_l,0.000192507159484
TMDPK_c,1.188816623e-06
ACS_c,11.667128925375863
PRATPP_c,0.010907276280717
AMPt_c_rm,-5.8459637e-08
ACONTb_c,0.665743821870002
SLFAT_c,0.012739278810194
COBALT2t_c_e,6.64016101e-07
CTPt_c_rm,0.001689063935605
PPPG9t_c_m,1.01673671e-07
SO4t_c_e,0.015915019730215
CERS126_r,2.6288247175e-05
IG3PS_c,0.010907276280717
ASNS1_c,0.023546555019275
NDPK8_c,0.00023668253178
3OACE240_rm,0.000131441235876
PDMEMT_rm,0.000881227599028
HISTP_c,0.010907276280717
PAILS_rm,0.000367614383317
HEME4_c,1.511780476e-06
THRD_L_c,0.030950594710802
PYDXR_c,4.009293433e-06
3OACE200_rm,0.000131441235876
3HACD200_rm,0.000131441235876
HDCAt_c_l,-9.569375496e-06
EX_4abz_e,-6.408089736e-06
ADSS_c,0.037777637535975
PDH_m,0.720912649131293
PRAIi_c,0.004678055203882
