rxn,flux,lb,ub
13GS_c,0.012909413333333302,0.0,1000.0
16GS_c,0.003397213333333324,0.0,1000.0
PRMICI_c,0.0007706133333333308,0.0,1000.0
P5CD_m,1.4338769758338264e-16,-1000.0,1000.0
ACHBS_m,0.0027244133333333264,0.0,1000.0
AATA_c,0.003105146666666659,-1000.0,1000.0
IPPMIb_c,-0.003340066666666656,-1000.0,1000.0
IPPS_m,0.0033400666666666555,0.0,1000.0
HCITR_m,0.0031051466666666585,-1000.0,1000.0
OMCDC_c,0.003340066666666656,0.0,1000.0
BPNT_c,0.000517573333333312,0.0,1000.0
DHQTi_c,0.002874053333333325,0.0,1000.0
DHQS_c,0.002874053333333325,0.0,1000.0
3DSPHR_r,6.338666666666653e-05,0.0,1000.0
DDPA_c,0.0028740533333333255,0.0,1000.0
IPPMIa_c,-0.003340066666666656,-1000.0,1000.0
IPMD_c,0.003340066666666656,0.0,1000.0
PSCIT_c,0.002874053333333325,0.0,1000.0
PRFGS_c,0.0012916133333333028,0.0,1000.0
MTHFR3_c,0.0009945733333331186,0.0,1000.0
PGL_c,0.7217800615452382,0.0,1000.0
KARA1i_m,0.006582399999999979,0.0,1000.0
ACLS_m,0.00658239999999998,0.0,1000.0
ACACT40ir_m,0.0033018800000005713,-1000.0,1000.0
ACCOAC_c,0.8152351050591274,0.0,1000.0
ACS_c,0.918126135040478,0.0,1000.0
ACGK_m,0.003087453333333468,0.0,1000.0
ACOTAi_m,0.003087453333333171,0.0,1000.0
STATg181_rm,3.010666666666659e-05,-1000.0,1000.0
STATg161_rm,8.206666666666646e-05,-1000.0,1000.0
STATf161_rm,-5.800285759639859e-09,-1000.0,1000.0
ADNK1_c,0.0005503066666664536,0.0,1000.0
AHCi_c,0.0005503066666664536,0.0,1000.0
ADK1_c,0.9827514622863533,0.0,1000.0
ADK1_m,8.639781525648012e-19,0.0,1000.0
ADSL2i_c,0.0012916133333333026,0.0,1000.0
ADSL1r_c,0.0014662266666666348,-1000.0,1000.0
ADSS_c,0.0014662266666666348,0.0,1000.0
ADSK_c,0.000517573333333312,0.0,1000.0
ALATRS_c,0.004938759999999987,0.0,1000.0
ALDD2y_c,0.9176085617071442,0.0,1000.0
TRE6PS_c,0.0003119733333333325,0.0,1000.0
ANPRT_c,0.00030557333333333257,0.0,1000.0
ANS_c,0.00030557333333333257,0.0,1000.0
ARGSL_c,0.001715239999999995,-1000.0,1000.0
ARGSS_c,0.0017152399999999948,-1000.0,1000.0
ARGTRS_c,0.001951239999999995,0.0,1000.0
ASNS1_c,0.002345533333333327,0.0,1000.0
ASNTRS_c,0.002345533333333327,0.0,1000.0
ASPCT_c,0.0013605866666666674,0.0,1000.0
ASPK_c,0.005708333333333119,0.0,1000.0
ASPTA_c,0.9307289884692597,-1000.0,1000.0
ASPTAi_m,0.9465020551359263,0.0,1000.0
ASAD_c,0.005708333333333119,0.0,1000.0
ASPTRS_c,0.002345533333333327,0.0,1000.0
ATPPRT_c,0.0007706133333333308,0.0,1000.0
ATPS_m,1.17670699153045,0.0,1000.0
ATPASEP2e_c,0.3712225599999997,0.0,1000.0
C14STR_c,0.0005503066666666651,0.0,1000.0
C3STDH2_c,0.000550306666666665,0.0,1000.0
C3STDH1_c,0.000550306666666665,0.0,1000.0
C3STKR1_c,0.0005503066666666651,0.0,1000.0
C3STKR2_c,0.0005503066666666651,0.0,1000.0
C4STMO1_c,0.0005503066666666651,0.0,1000.0
C4STMO2_c,0.0005503066666666651,0.0,1000.0
C4STMO3_c,0.0005503066666666651,0.0,1000.0
C4STMO4_c,0.0005503066666666651,0.0,1000.0
C24STR_r,0.000550306666666665,0.0,1000.0
CBPS_c,0.003075826666666662,0.0,1000.0
CERH124A_r,1.9015999999999955e-05,0.0,1000.0
CERH124B_r,6.338666666666652e-06,0.0,1000.0
CERH126A_r,1.9015999999999955e-05,0.0,1000.0
CERH126B_r,6.338666666666652e-06,0.0,1000.0
CERS124_r,3.169333333333326e-05,0.0,1000.0
CERS126_r,3.169333333333326e-05,0.0,1000.0
CERH2A24_r,1.2677333333333304e-05,0.0,1000.0
CERH2A26_r,1.2677333333333304e-05,0.0,1000.0
CERH324_r,6.338666666666652e-06,0.0,1000.0
CERH326_r,6.338666666666652e-06,0.0,1000.0
CHTNS_c,0.0003052133333333326,0.0,1000.0
CHOLK_c,0.00042494666666673613,0.0,1000.0
CHLPCTD_c,0.00042494666666673613,0.0,1000.0
CHORM_c,0.002568479999999992,0.0,1000.0
CHORS_c,0.002874053333333325,0.0,1000.0
CS_m,0.013005613333333041,0.0,1000.0
ACONTa_c,0.013005613333333048,-1000.0,1000.0
CPPPGO_c,1.3333333333333304e-08,0.0,1000.0
CTPS2_c,0.000631186666666665,0.0,1000.0
CYSTS_c,7.330666666664682e-05,0.0,1000.0
CYSTGL_c,7.330666666664682e-05,0.0,1000.0
CYSTRS_c,7.077333333333315e-05,0.0,1000.0
LNS14DMy_c,0.000550306666666665,0.0,1000.0
DCMPDA_c,5.186666666666652e-05,0.0,1000.0
DPCOAK_m,8.639781525648013e-19,0.0,1000.0
DHFRi_c,5.270666666666638e-05,0.0,1000.0
