rxn,flux,lb,ub
13GS_c,0.00012411047009194495,0.0,1000.0
16GS_c,3.26606432775636e-05,0.0,1000.0
PRMICI_c,9.379498998247998e-06,0.0,1000.0
P5CD_m,0.010514414996478727,-1000.0,1000.0
ACHBS_m,2.862470655454713e-05,0.0,1000.0
AATA_c,3.192934205460636e-05,-1000.0,1000.0
IPPMIb_c,-3.892752942816078e-05,-1000.0,1000.0
IPPS_m,3.892752942816077e-05,0.0,1000.0
HCITR_m,3.192934205460636e-05,-1000.0,1000.0
OMCDC_c,3.8927529428160785e-05,0.0,1000.0
BPNT_c,0.021323080993360014,0.0,1000.0
DHQTi_c,3.095743567906527e-05,0.0,1000.0
DHQS_c,3.095743567906527e-05,0.0,1000.0
3DSPHR_r,6.093963214616583e-07,0.0,1000.0
DDPA_c,3.0957435679065276e-05,0.0,1000.0
IPPMIa_c,-3.892752942816078e-05,-1000.0,1000.0
IPMD_c,3.892752942816078e-05,0.0,1000.0
PSCIT_c,3.0957435679065276e-05,0.0,1000.0
PRFGS_c,0.02132925353460245,0.0,1000.0
MTHFR3_c,2.308707065064276e-05,0.0,1000.0
PGL_c,0.07795824884022555,0.0,1000.0
KARA1i_m,7.455042335626233e-05,0.0,1000.0
ACLS_m,7.455042335626234e-05,0.0,1000.0
ACACT40ir_m,3.174372870301261e-05,-1000.0,1000.0
ACCOAC_c,0.014360490851595874,0.0,1000.0
ACS_c,0.04281235180998897,0.0,1000.0
ACGK_m,0.010553682731594138,0.0,1000.0
ACOTAi_m,0.010553682731594134,0.0,1000.0
STATg181_rm,2.894440247918436e-07,-1000.0,1000.0
STATg161_rm,7.889849302895467e-07,-1000.0,1000.0
ADNK1_c,1.7546871026416244e-05,0.0,1000.0
AHCi_c,1.7546871026416244e-05,0.0,1000.0
ADK1_c,0.1074061983286264,0.0,1000.0
ADSL2i_c,0.021329253534602445,0.0,1000.0
ADSL1r_c,0.02133290311867235,-1000.0,1000.0
ADSS_c,0.02133290311867235,0.0,1000.0
ADSK_c,0.021323080993360014,0.0,1000.0
ALATRS_c,4.7480997737410275e-05,0.0,1000.0
ALDD2y_c,0.021489270816628953,0.0,1000.0
TRE6PS_c,2.9992964092469243e-06,0.0,1000.0
ANPRT_c,3.1588879995329503e-06,0.0,1000.0
ANS_c,3.158887999532951e-06,0.0,1000.0
ARGSL_c,1.8759126182512292e-05,-1000.0,1000.0
ARGSS_c,1.8759126182512292e-05,-1000.0,1000.0
ARGTRS_c,1.8759126182512292e-05,0.0,1000.0
ASNS1_c,2.2549843056358347e-05,0.0,1000.0
ASNTRS_c,2.254984305635835e-05,0.0,1000.0
ASPCT_c,1.3080613846704512e-05,0.0,1000.0
ASPK_c,6.123445998364203e-05,0.0,1000.0
ASPTA_c,-0.01090263737082106,-1000.0,1000.0
ASPTAi_m,0.031897693168579315,0.0,1000.0
ASAD_c,6.123445998364203e-05,0.0,1000.0
ASPTRS_c,2.2549843056358347e-05,0.0,1000.0
ATPPRT_c,9.379498998247998e-06,0.0,1000.0
ATPS_m,0.2065013991481917,0.0,1000.0
ATPASEP2e_c,0.1211839181506331,0.0,1000.0
C14STR_c,5.2906214505021045e-06,0.0,1000.0
C3STDH2_c,5.2906214505021045e-06,0.0,1000.0
C3STDH1_c,5.2906214505021045e-06,0.0,1000.0
C3STKR1_c,5.290621450502105e-06,0.0,1000.0
C3STKR2_c,5.290621450502105e-06,0.0,1000.0
C4STMO1_c,5.2906214505021045e-06,0.0,1000.0
C4STMO2_c,5.2906214505021045e-06,0.0,1000.0
C4STMO3_c,5.2906214505021045e-06,0.0,1000.0
C4STMO4_c,5.2906214505021045e-06,0.0,1000.0
C24STR_r,5.2906214505021045e-06,0.0,1000.0
CBPS_c,3.1839740029216805e-05,0.0,1000.0
CERH124A_r,1.8281889643849743e-07,0.0,1000.0
CERH124B_r,6.093963214616581e-08,0.0,1000.0
CERH126A_r,1.8281889643849743e-07,0.0,1000.0
CERH126B_r,6.093963214616581e-08,0.0,1000.0
CERS124_r,3.0469816073082904e-07,0.0,1000.0
