Rxn,Flux
PRATPP_c,0.0057443657785
P5CR_c,0.010893623149518
DHAK_c,12.868692235362532
HDCOAt_c_rm,-0.002015678426158
INOSTtps_e,0.000367614383317
IPMD_c,0.021390358198028
FBA_c,12.977112462840726
NAMNPP_c,0.000617852928938
PROTRS_c,0.010893623149518
CERS126_r,2.6288247175e-05
TPI_c,12.975320477282459
ENO_c,25.727164165161195
TRDR_c,0.00685790026456
PGCD_c,0.227819252802158
RNDR3_c,0.000396454174435
TYRTA_c,0.0070485147714
EX_h_e,0.647034942167002
SACCD1_c,0.018565804837715
MTHFR3_c,0.007870751770045
GRTT_c,0.00228248185403
O2t_c_r,0.001325207820406
PAt_l_rm,0.001817305385479
PSSA_rm,0.001321449552289
FUM_m,0.107919425888116
STATg181_rm,6.2445094572e-05
AGPRi_m,0.010838691635673
NADPt_c_r,-0.002597839146462
ZN2tps_c_e,0.000232335874177
AATA_c,0.018565804837715
HEMEAt_c_m,1.01673671e-07
SUCDq6_m,0.107919425888116
ILETA_c,-0.016495575963946
PSt_mm_rm,-0.00111805221222
G6PDH2i_c,0.252902718733537
CTPS2_c,0.046337389195598
EX_k_e,-0.06140756546832
HISTRS_c,0.0057443657785
PPA_m,0.698573266033092
ADSL1r_c,0.054146198107221
NADPHt_c_r,0.002597839146462
PAP_rm,0.000128241449874
GLYTRS_c,0.020673366026484
EX_nac_e,-0.000617852928938
3HACD220_rm,0.000131441235876
HCITR_m,0.018565804837715
ECOAR240_rm,0.000131441235876
3HACD200_rm,0.000131441235876
PYDXNK_c,2.929914607e-06
CERH324_r,1.3144123588e-05
C14STR_c,0.001141190090179
3MOPt_c_m,-0.016495575963946
H2Ot_c_m,-0.872698418841734
TALA_c,0.020015181574262
EX_thm_e,-3.76277583e-07
H2Ot_c_rm,-0.006662823644741
OMPDC_c,0.107919425888116
CO2t_c_m,-0.415076006012655
lumpFACS160_c,0.003178388720662
CERt_g_r,0.000131441235876
CYSTRS_c,0.00196003142532
ODECOAt_c_l,0.00073954983184
PYK_c,25.687133802012667
PMEVK_c,0.00684744556209
EX_ribflv_e,-0.000232868691097
DHORTS_c,-0.107919425888116
PGM_c,25.727164165161195
MDH_c,-0.091223211912655
C4STMO3_c,0.001141190090179
FECOOR_m,0.273622614028573
2OBUTt_c_m,0.016495575963946
PAPSR_c,0.006064992594269
DAGL_l,2.5319827212e-05
NH4t_c_e,1.111714273179291
C4STMO2_c,0.001141190090179
AHCYSt_c_rm,-0.002643682797085
3OACE240_rm,0.000131441235876
PRASCSi_c,0.096040233149293
DHFRi_c,0.000243091463879
PEt_c_rm,-0.000236824613192
PMPK_c,3.76277583e-07
NDPK1_c,0.618683110461434
3OACR220_rm,0.000131441235876
THRD_L_c,0.014516219186947
IPPS_c,0.021390358198028
GLYCDy_c,12.868692235362532
NADHq6_m,0.428221210294953
TRPTRS_c,0.002550477840165
MN2tps_c_e,1.0124088682e-05
DHFS_1_c,6.408089736e-06
compCER_r,0.000131441235876
ECOAR200_rm,0.000131441235876
FTHFL_m,-0.068180246628644
EX_pnto__R_e,-1.932535168e-05
RNDR2_c,0.000159770964077
CERS2A24_r,3.9432370763e-05
PC_c,0.42037942396604
IPPMIa_c,-0.021390358198028
FUM_c,0.053105697004072
PSt_c_rm,-0.000203397340068
FRDPt_c_m,1.01673671e-07
Ht_c_l,-5.0639654423e-05
HXCCOAt_c_rm,-6.5720617938e-05
GLYtps_e,-0.02095129146147
NDPK5_c,0.000159770964077
CERH126B_r,1.3144123588e-05
4ABZt_c_m,6.408089736e-06
AKGMALt_c_e,-1000.0000000000001
MALCOAt_c_rm,0.000460044325567
compFALPD_l,-5.0639654423e-05
ARGSL_c,0.010838691635673
EX_o2_e,-7.033084224512269
SHKK_c,0.020015181574262
PYDXR_c,-6.743528933835854
SERt_c_r,0.000131441235876
CO2t_c_r,-0.000131441235876
UPPDC1_c,1.0769711668e-05
AHSERL2_c,0.006064992594269
EX_gcald_e,6.408089736e-06
IGPDH_c,0.0057443657785
CYTK1_c,0.001708389287285
CTPt_c_rm,0.001689063935605
BTDDH_c,-12.581500135520502
GTPCI_c,6.408089736e-06
CUtps_c_e,1.3938528803e-05
ADNK1_c,0.003785115952775
NADPHt_c_rm,0.000920088651134
PPIt_c_rm,-0.001689063935605
GND_c,0.252902718733537
LACPYRt_c_m,-0.027810464840274
NADt_c_rm,-0.003165510384524
TMPPP_c,3.76277583e-07
PAILS_rm,0.000367614383317
PYRDC_c,12.659994243399728
Ht_c_rm,0.000580511011851
PMTCOAt_c_l,0.000686832397388
CMPt_c_rm,-0.001689063935605
PSERT_c,0.227819252802158
HSERTA_c,0.006064992594269
CITMALta_m,0.070574092577994
GLYt_c_m,0.068267376584027
MTHFC_m,0.068180246628644
GLCt_c_e,13.21
ADSS_c,0.054146198107221
OCBT_c,0.010838691635673
RNDR1_c,0.00023668253178
3OACR260_rm,6.5720617938e-05
3HACD240_rm,0.000131441235876
HSK_c,0.028889644618342
CERS2A26_r,3.9432370763e-05
EX_gly_e,0.02095129146147
MDH_m,0.070574092577994
HETZK_c,3.76277583e-07
PYDXNO_c,6.743528933835854
AKP1_c,6.408089736e-06
PRAIi_c,0.002550477840165
3OACE200_rm,0.000131441235876
NADHK1_c,0.000332598121655
PMEMT_rm,0.000881227599028
EX_so4_e,-0.00924073351429
HISTD_c,0.0057443657785
COBALT2t_c_e,9.600195e-09
CERH2A26_r,2.6288247175e-05
PPA_c,0.168276273571984
AMPt_c_l,-5.8459637e-08
FECRq6_m,0.547245228057147
PPNCL2_c,1.932535168e-05
VALt_c_m,-0.040845979029025
AMETt_c_rm,0.002643682797085
SERTRS_c,0.015904260175554
