rxn,flux,lb,ub
13GS_c,0.09682060000000002,0.0,1000.0
16GS_c,0.0254791,0.0,1000.0
PRMICI_c,0.007317100000000001,0.0,1000.0
ACHBS_m,0.02233060000000001,0.0,1000.0
AATA_c,0.024908600000000006,-1000.0,1000.0
IPPMIb_c,-0.030367999999999996,-1000.0,1000.0
IPPS_m,0.03036799999999999,0.0,1000.0
HCITR_m,0.024908600000000003,-1000.0,1000.0
OMCDC_c,0.030368,0.0,1000.0
BPNT_c,0.004871799999995922,0.0,1000.0
DHQTi_c,0.024150399999999995,0.0,1000.0
DHQS_c,0.0241504,0.0,1000.0
3DSPHR_r,0.00047540000000000017,0.0,1000.0
DDPA_c,0.0241504,0.0,1000.0
HACD140i_x,-5.0228923873561e-16,0.0,1000.0
IPPMIa_c,-0.030367999999999996,-1000.0,1000.0
IPMD_c,0.030367999999999992,0.0,1000.0
PSCIT_c,0.0241504,0.0,1000.0
PRFGS_c,0.009687100000021116,0.0,1000.0
MTHFR3_c,0.018010599999999998,0.0,1000.0
PGL_c,9.125510168779997e-15,0.0,1000.0
KARA1i_m,0.05815799999999999,0.0,1000.0
ACLS_m,0.058157999999999994,0.0,1000.0
ACACT160i_x,-5.0228923873561e-16,0.0,1000.0
ACACT40ir_m,0.024764099999999983,-1000.0,1000.0
ACACT140i_x,-5.022892387356099e-16,0.0,1000.0
ACACT100i_x,-7.173199835210662e-18,0.0,1000.0
ACACT120i_x,-4.3168292180540015e-16,0.0,1000.0
ACCOAC_c,0.11644548906239671,0.0,1000.0
ACS_c,12.628762077864502,0.0,1000.0
ACGK_m,0.030633400000000012,0.0,1000.0
ACOTAi_m,0.03063340000000001,0.0,1000.0
ACOAO100_x,-4.3168292180540015e-16,0.0,1000.0
ACOAO120_x,-5.022892387356098e-16,0.0,1000.0
ACOAO160_x,-5.0228923873561e-16,0.0,1000.0
ACOAO140_x,-5.0228923873561e-16,0.0,1000.0
STATg181_rm,0.0002258,-1000.0,1000.0
STATe161_rm,-4.3502143203905246e-08,-1000.0,1000.0
STATg161_rm,0.0006155,-1000.0,1000.0
