product,name,precursor,MW (g/mol),rateFBA,yieldFBA,vCarbonSourcesFBA,rateRBA,yieldRBA,vCarbonSourcesRBA,yRBA/yFBA,yieldExp_LB_(g/g_substrate),yieldExp_UB_(g/g_substrate),SimulationSettings,yieldEXP_conditions,yieldExp_ref,fluxExp_LB_(mmol product/(gDW*h)),fluxExp_UB_(mmol product/(gDW*h)),,yield on minimal media at 1.0% exp. growth,FBA: yield on minimal media at 1.0% exp. growth,vCarbonSources,RBA: vCarbonSources,carbonSlack,RBA: carbonSlack,vprod,RBA: vprod,yield,RBA: yield
13ppd,"1,3-Propanediol",Glycerol,76.09,17.813822118686193,0.5695516930204071,-13.21,13.118302414095808,0.41942438291580975,-13.21,0.7364114408852819,,,,,,,,,,UNDF,,-13.21,,0.0,,13.118302414095808,,0.41942438291580975
2phetoh,2-Phenylethanol,L-Phenylalanine,122.16,2.5553019361983718,0.3122195097354127,-5.549610203629656,6.043377625746376,0.31021101031187104,-13.21,0.9935670278092368,0.08,,,,,,,,,UNDF,,-13.21,,0.0,,6.043377625746376,,0.31021101031187104
3hppa,3-Hydroxypropionic acid,Malonyl-CoA,90.08,7.379942361103544,0.6654236103138855,-5.545419566892341,9.432028570805167,0.35701127895319784,-13.21,0.5365173002875459,0.13,,,,,,,,,UNDF,,-13.21,,0.0,,9.432028570805167,,0.35701127895319784
3hppb,3-Hydroxypropionic acid,L-Alanine,90.08,8.294245459149213,0.7479521117530147,-5.544759808667549,14.610877815113364,0.5530356631391375,-13.21,0.7393998284769312,0.14,,,,,,,,,UNDF,,-13.21,,0.0,,14.610877815113364,,0.5530356631391375
3hppa,3-Hydroxypropionic acid,Malonyl-CoA,90.08,7.379942361103544,0.6654236103138855,-5.545419566892341,9.432028570805167,0.35701127895319784,-13.21,0.5365173002875459,0.13,,,,,,,,,UNDF,,-13.21,,0.0,,9.432028570805167,,0.35701127895319784
3hppb,3-Hydroxypropionic acid,L-Alanine,90.08,8.294245459149213,0.7479521117530147,-5.544759808667549,14.610877815113364,0.5530356631391375,-13.21,0.7393998284769312,0.14,,,,,,,,,UNDF,,-13.21,,0.0,,14.610877815113364,,0.5530356631391375
4hbz,p-Hydroxybenzoate,Chorismate,137.11,3.3547285289072803,0.46007486843853757,-5.549441423005494,5.383403028843428,0.31015192220099563,-13.21,0.67413358885181,0.07,,,,,,,,,UNDF,,-13.21,,0.0,,5.383403028843428,,0.31015192220099563
arte,Artermisinic acid,Farnesyl diphosphate,234.33,2.844697655376507,0.2800995809453898,-13.21,1.41250860871164,0.13908088567307553,-13.21,0.49654085594719877,,,,,,,,,,UNDF,,-13.21,,0.0,,1.41250860871164,,0.13908088567307553
btd,"(2R,3R)-Butanediol",Pyruvate,90.12,5.008732131157894,0.45163577314688896,-5.547686668584852,12.58150013552137,0.4764332482263315,-13.21,1.0549059143536388,0.11,,,,,,,,,UNDF,,-13.21,,0.0,,12.58150013552137,,0.4764332482263315
btoh,n-Butanol,Threonine or (acetyl-CoA and pyruvate),74.12,4.161856556537492,0.3085281699700435,-5.549820853802994,9.577723638304636,0.29829513053996476,-13.21,0.9668327224996268,0.04,,,,,,,,,UNDF,,-13.21,,0.0,,9.577723638304636,,0.29829513053996476
citm,Citramalate,Acetyl-CoA and pyruvate,146.1,12.489371088802157,0.7667243171293748,-13.21,8.326290885559594,0.5111522147960692,-13.21,0.6666701490697847,,,,,,,,,,UNDF,,-13.21,,0.0,,8.326290885559594,,0.5111522147960692
cou,p-Coumaric acid,L-Tyrosine,163.15,2.6118239322819092,0.4262860821805087,-5.548570274707247,5.315702138168096,0.36441493486456106,-13.21,0.8548600343706539,0.15,,,,,,,,,UNDF,,-13.21,,0.0,,5.315702138168096,,0.36441493486456106
hdca,Hexadecanoic acid,Fatty acyl-CoA,256.4,1.0169945364213868,0.26078392072070106,-5.550180402242233,1.322280786773353,0.1424590881227386,-13.21,0.5462725145363235,0.1,,,,,,,,,UNDF,,-13.21,,0.0,,1.322280786773353,,0.1424590881227386
hxdcol,Hexadecanol,Fatty acyl-CoA,242.44,0.9874314721362913,0.23939406803090765,-5.550717505065825,1.344943131600855,0.13701138247487693,-13.21,0.57232572052365,0.005,,,,,,,,,UNDF,,-13.21,,0.0,,1.344943131600855,,0.13701138247487693
ibutoh,Isobutanol,Isobutanol,74.12,4.686403727429695,0.34745394284426023,-5.549184128068754,,,,,0.06,,,,,,,,,,,,,,,,,
lac__L,L-Lactate,Pyruvate,89.07,8.860211568548337,0.7940334041382806,-5.516810175723826,24.17540233686866,0.9048021305855269,-13.21,1.1395013432305878,0.69,,,,,,,,,UNDF,,-13.21,,0.0,,24.17540233686866,,0.9048021305855269
