Rxn,13ppd,2phetoh,3hppa,3hppb,4hbz,arte,btd,btoh,citm,cou,hdca,hxdcol,lac__L,muco,nrgn,odealc,pmtalc,polyhb,retcln,rsvtol,sesqt,skm,stalc,styr,tag
13GS_c,,,,,,,0.073083120566447,,,,,,0.14045431013082,,,0.02248150471585,0.020901644725986,,,,,,0.022622424352533,,0.03279382998154
13PPD1,13.126015477710842,,,,,,,,,,,,,,,,,,,,,,,,
13PPD2,13.126015477710842,,,,,,,,,,,,,,,,,,,,,,,,
13PPD3,13.126015477710842,,,,,,,,,,,,,,,,,,,,,,,,
16GS_c,,,,,,,0.019232450066918,,,,,,0.036961756495036,,,0.005916200807047,0.005500447099046,,,,,,0.005953285018216,,0.00862997765742
2OBUTt_c_m,0.047384446231897,0.054106040195072,0.080089662499608,0.062996313712661,0.061860901654255,0.07355001332195,0.009600392632452,8.285524840503138,0.064033377145881,0.062650573387438,0.122222009108453,0.123829409038478,0.019521749013214,0.053241781014217,0.077184488925767,0.000225797839582,0.000387298181767,0.069453581806419,0.147222914600657,0.077184488925767,0.074371844388299,0.05277537695884,0.000216978606466,0.060781979613457,0.008645550874577
2OXOADPt_c_m,0.06817968646934,0.053065271246754,0.075721378053129,0.060862210872887,0.059528126860833,0.073587289662687,0.010185030189373,0.049689970295853,0.06027367975795,0.060497797704327,0.124775527314578,0.126573007045347,0.019095225828099,0.055290882888542,0.074156728229462,0.000240784890995,0.000422475285252,0.067189552867739,0.158917912584771,0.074156728229463,0.074751058577692,0.056269982363887,0.000231102593877,0.059075464708967,0.008753911966107
2PHETOH2,,6.193963627530744,,,,,,,,,,,,,,,,,,,,,,,
2PHETOH3,,6.193963627530744,,,,,,,,,,,,,,,,,,,,,,,
2PHETOHt_c_e,,-6.193963627530744,,,,,,,,,,,,,,,,,,,,,,,
