Rxn,Flux
PROD2_m,0.014937619516074
PROTRS_c,0.000817678948372
EX_h2o_e,1.638019413723393
ADK1_c,0.926503196948847
SHKK_c,0.001272058717812
OCDCEAt_c_l,-1.371596402e-06
ERGTETROLt_c_r,0.00015215867877
PDH_m,0.183368407560853
DOLPMT_c,0.011921268644417
DGAT_rm,3.8000335062e-05
GLYt_c_m,0.020020658021981
PSERT_c,0.027084070654952
FTHFL_m,-0.019984953206175
EX_ca2_e,-1.7440133634e-05
GLYCL_m,0.019984953206175
TRE6PP_c,0.00044705568738
HMPK1_c,3.1682521e-08
ACONTa_c,0.182382174400688
FORt_c_m,0.019984953206175
METTRS_c,0.000351311320631
TPI_c,0.513868984320732
SO4t_c_e,0.000742304858261
CO2t_c_m,-0.410509791208963
PPIt_c_m,0.978632587603461
GF6PTA_c,0.000437356392153
ILETRS_c,0.001203773311181
HOMOX_m,1.3556489e-08
PFK_c,0.514107915728501
16GS_c,0.004868224310545
CERS2A26_r,5.257649435e-06
ENO_c,1.097176010593838
EX_trp__L_e,-2.3e-05
KARA2i_m,0.000950773311181
PYDXNK_c,6.6281085e-08
CYSTS_c,9.9561414961e-05
PRAGSi_c,0.00389331566874
IMPD_c,0.001899109701063
AGPRi_m,0.016540588978356
DHORDfum_c,0.004317352095166
EX_h_e,0.026874229974374
PRAIi_c,0.000148440175928
4ABZt_c_m,8.54411965e-07
OMCDC_c,0.00109677997339
GTHO_c,6.6281085e-08
SHCHD2_c,8.5196e-10
NNATi_c,8.23270659e-05
THRS_c,0.001904348816983
ACCOAC_c,0.787861515902442
HISTD_c,0.000354933896256
H2Ot_c_m,-3.70144505304788
PAt_l_rm,0.000238931407769
HXCCOAt_c_rm,-8.762749058e-06
RBFK_c,1.66271052e-07
TMN_c,3.1682521e-08
PYK_c,1.094631893158214
GCALDt_c_e,-8.54411965e-07
GND_c,0.299744709408501
STCOAt_c_l,2.5307936885e-05
GARFT_c,0.00389331566874
PItps_m,1.606361193030208
3DSPHR_r,1.7525498117e-05
EX_odealc_e,0.097946072896019
UPP3MT_2_c,8.5196e-10
C4STMO3_c,0.00015215867877
ECOAR240_rm,1.7525498117e-05
P5CR_c,0.015755298464445
AICART_c,0.004248249564996
AKP1_c,8.54411965e-07
ADSS_c,0.002349139863933
DHPTt_c_m,-8.54411965e-07
METtps_e,0.000132
ARGSL_c,0.000785290513911
PMEVK_c,0.000912992742089
EX_fe2_e,-1.4649640036e-05
PPNCL2_c,2.576672395e-06
METS_c,0.000723962742932
DPCOAK_c,2.576670085e-06
COAt_c_r,-3.5050996234e-05
AKGMALt_c_e,1000.0000000000001
PRATPP_c,0.000354933896256
GLUt_c_m,0.022388919884778
ERGSTt_c_r,-999.9998478413213
EX_zn2_e,-2.1540608344e-05
PRASCSi_c,0.00389331566874
NDPK3_c,0.000174924640551
PAP_rm,1.3722883022e-05
GLYTRS_c,0.001487959579559
ASNS1_c,0.00083432007168
ECOAR200_rm,1.7525498117e-05
PPIt_c_l,-7.794618e-09
TKT1_c,0.097406799741441
