Rxn,Flux
3OACR200_rm,1.7525498117e-05
EX_ile__L_e,-0.000253
PDX5POi_c,4.7845286e-08
ACOADS180_rm,0.000113291046201
PGL_c,0.187879648491582
HXCCOAt_c_r,8.762749058e-06
RBFK_c,1.61098234e-07
PAILt_gm_rm,-1.7525498117e-05
BPNT_c,9.648357839e-05
PRAIi_c,6.2146687228e-05
MTHFD_c,0.055240642728998
TPI_c,0.212718599896636
OMCDC_c,0.000236832371538
3HACD200_rm,1.7525498117e-05
compACYLCOA_rm,3.8000335062e-05
G6PDH2i_c,0.187879648491582
EX_4abz_e,-8.54411965e-07
MTHFR3_c,0.000550301924702
ODECOAt_c_l,9.7232763413e-05
AKGMALt_c_e,1000.0000000000001
EX_pydxn_e,-4.7845286e-08
PRAMPC_c,0.000179606830574
ENO_c,0.428389549265224
SACCD1_c,0.000401913644529
HSDx_c,0.000952648413144
AKGDH_m,0.05168937900863
METtps_e,0.000132
AIRC1_c,0.003892384516922
DHNPTt_c_m,8.54411965e-07
TMDS_c,3.1557783219e-05
TAGL_l,6.751953923e-06
3HACD260_rm,8.762749058e-06
MG2tps_c_e,0.000862720274503
Ht_m_mm,0.000298147256592
EX_nh4_e,-0.041904801832798
CA2tps_c_e,1.7440133634e-05
IGPS_c,6.2146687228e-05
OCDCAt_c_l,-3.555501e-07
ADSS_c,0.002173221104242
SQLEy_r,0.00015215867877
PPND2_c,0.000271828196108
C4STMO4_c,0.00015215867877
3OACR260_rm,8.762749058e-06
PEt_mm_rm,0.000149073628296
EX_leu__L_e,-0.000709
ATPt_c_l,7.794618e-09
DHORTS_c,-0.004318326042178
FMNRx_c,4.79316e-10
ALAS_m,2.1113612931e-05
PCt_c_rm,-0.000117497013204
ECOAR200_rm,1.7525498117e-05
HDCOAt_c_rm,-0.000265012584369
EX_sucr_e,-0.332925
G3PD1r_c,0.000238931407769
PRASCSi_c,0.003892384516922
GCALDt_c_e,-8.54411965e-07
CERH2A24_r,3.505099623e-06
3HACD220_rm,1.7525498117e-05
PDH_m,0.054445039909711
AHCi_c,0.000504650233949
compACYLCOA_l,0.000477862815538
SHCHF_c,2.57784e-10
CS_m,0.054043126265182
INOSTtps_e,4.9015251109e-05
PMEMT_rm,0.000117497013204
PPPGO_m,1.319471916e-06
TAGt_c_rm,-3.1248381138e-05
NDPK8_c,3.1557670904e-05
PAPSR_c,9.648357839e-05
Ht_c_rm,0.078491242266359
PRFGS_c,0.003892384516922
TKT1_c,0.059958187178862
ORNTA_c,0.049406469232229
EX_fru_e,0.332925
EX_phe__L_e,-0.000229
16GS_c,0.005502752139687
TTCCOAt_c_rm,-8.762749058e-06
SO4t_c_e,0.00051991570106
GLYCL_m,0.051138753924807
PROTRS_c,0.000423472859435
PGI_c,0.107540318173713
H2Ot_c_l,6.751953923e-06
TRPS1_c,6.2146687228e-05
ASPTRS_c,0.000457302060363
MTHFC_m,0.051138753924807
PIt_c_rm,-1.3722883022e-05
GMPS2_c,0.001898770243254
CERH124B_r,1.752549812e-06
NADPt_c_rm,-0.07853651928493
CITMALta_m,0.054043126265182
ALATRS_c,0.000915377742226
AHCYSt_c_rm,-0.000352491039611
DICAT6_c,6.970001e-09
SHKK_c,0.000529704187786
GTHO_c,4.7845286e-08
3OACE200_rm,1.7525498117e-05
EX_h_e,0.02388165096109
DOLPMMT_r,0.013475095302974
ORNtpa_m,0.049810129898313
HICITD_m,0.000401913644529
TMPK_c,2.2096733e-08
ALAt_c_m,0.000915377742226
PPBNGS_1_c,1.0556806466e-05
LNSTLS_c,0.00015215867877
CO2t_c_r,-1.7525498117e-05
EX_mg2_e,-0.000862720274503
DOLPt_c_r,-0.013475095302974
GLCt_c_e,0.332925
PYDXNtps_e,4.7845286e-08
COAt_c_rm,-0.039337275957016
HISTD_c,0.000179606830574
LYSTRS_c,0.000617913644529
SUCCt2_m,0.004318326042178
DHPTS_m,8.54411965e-07
GLUPRT_c,0.003892384516922
GND_c,0.187879648491582
DGAT_rm,3.8000335062e-05
HDCAt_c_l,-1.275916733e-06
PSCIT_c,0.000529704187786
DHFS_1_c,8.54411965e-07
CBPS_c,0.004721986708263
LEUTRS_c,0.000945832371538
HISTRS_c,0.000179606830574
NADt_c_rm,-0.00042206805127
MN2tps_c_e,1.829480896e-06
MANNANt_c_r,-0.013475095302974
GLNS_c,0.017996254983581
ERGSTt_c_rm,-999.9999689840206
NDPK1_c,0.037194425624239
EX_o2_e,-0.507960042268768
COBALT2t_c_e,7.635106e-09
4ABZt_c_m,8.54411965e-07
ADSL2i_c,0.003892384516922
SHK3Di_c,0.000529704187786
THRD_L_c,0.000313920770766
ORPT_c,-0.004318326042178
VALTA_m,-0.000963871368092
ILETA_c,-0.000364752658402
DAGt_c_rm,6.751953923e-06
CHLSTI_c,0.00015215867877
DHNPA2i_m,8.54411965e-07
UMPK_c,0.004318326042178
AMPt_c_l,-7.794618e-09
COAt_c_l,-0.00047785502092
STATg161_rm,2.2689966879e-05
NI2t_c_e,6.970001e-09
TRE6PS_c,0.000505325244558
PYK_c,0.427330140889652
NDPK3_c,0.000174924639182
SERt_c_rm,0.000176193273638
TAGt_l_rm,-6.751953923e-06
H2Ot_c_m,-2.264684355862796
OMPDC_c,0.004318326042178
EX_ni2_e,-6.970001e-09
AKGt_c_e,1000.0000000000001
EX_trp__L_e,-2.3e-05
RNDR3_c,5.2860556591e-05
DHQS_c,0.000529704187786
SUCDq6_m,0.055986591437877
PAILS_rm,4.9015251109e-05
SERt_c_r,1.7525498117e-05
PEMT_rm,0.000117497013204
PItps_m,1.124665372452362
DDPA_c,0.000529704187786
ACONTb_c,0.054043126265182
PHETA1_c,-0.00019572930445
GALUi_c,0.036999708090147
TPS_stalc_rm,0.039206920399056
LEUTA_c,-0.000236832371538
2OBUTt_c_m,0.000364752658402
CERH326_r,1.752549812e-06
P5CD_m,0.048982996372794
ASAD_c,0.000952648413144
CERS2A24_r,5.257649435e-06
PHEtps_e,0.000229
NADHK1_c,4.4346416221e-05
HSERTA_c,9.648357839e-05
C3STDH2_c,0.00015215867877
ADSK_c,9.648357839e-05
3DSPHR_r,1.7525498117e-05
HSTPT_c,0.000179606830574
GTHP_c,4.7845286e-08
UAGDP_c,0.000494361736272
SERTRS_c,0.000648011830581
4ABZt_c_e,-8.54411965e-07
MALCOAt_c_rm,6.1339243409e-05
13GS_c,0.020910403857687
SQLS_c,0.00015215867877
VALTRS_c,0.000727038996554
ADPATPt_c_m,2.008081272486621
GHMT2r_c,0.055822502436919
PMPK_c,2.2096733e-08
CO2t_c_m,-0.215011415564979
KARA1i_m,0.000963871368092
ICDHy_c,0.054043126265182
UPP3MT_2_c,2.57784e-10
TYRTRS_c,0.000271828196108
AGPAT_l,0.000238931407769
DAGt_gm_rm,1.7525498117e-05
lumpFACS180_c,0.039365057568005
IPPS_c,0.000236832371538
LACtps_m,0.001666321608645
O2t_c_e,0.507960042268768
ERGTETROLt_c_r,0.00015215867877
PGCD_c,0.05677721161412
TKT2_c,0.059428482991076
ACACT40ir_c,0.000912992742089
TALA_c,0.059958187178862
PSSA_rm,0.000176193273638
TRPtps_e,2.3e-05
IPPMIa_c,-0.000236832371538
PC_c,0.064518654761086
2OXOADPt_c_m,0.000401913644529
FACOAL180_l,2.06714e-09
IGPDH_c,0.000179606830574
HCO3E_c,0.387188937396082
NDPK2_c,0.041812395868598
UPPDC1_c,2.638943833e-06
ACS_c,0.361303794569961
EX_nac_e,-8.232706588e-05
CERH126B_r,1.752549812e-06
CHORS_c,0.000529704187786
HXCCOAt_c_rm,-8.762749058e-06
HDCOAt_c_l,0.000265012584369
O2t_c_m,0.505837006264545
IPDDI_c,0.00030433091403
ECOAR240_rm,1.7525498117e-05
NACt_c_e,8.232706588e-05
ANS_c,6.2146687228e-05
ACCOAC_c,0.317948295926734
ADNK1_c,0.000504650233949
GCALDt_c_m,-8.54411965e-07
PYDXNK_c,4.7845286e-08
ASNS1_c,0.00042892593804
PROD2_m,0.048982996372794
DOLPMT_c,0.013475095302974
CERS124_r,3.505099623e-06
CTPS2_c,0.001875498029995
AGPRi_m,0.049810129898313
ACOADS160_rm,0.000308777005069
