Rxn,Flux
3OACE240_rm,0.000131441235876
ATPt_c_l,5.8459637e-08
IPCS_g,0.000131441235876
DHNPA2i_m,6.408089736e-06
NDPK2_c,0.381670589222236
LNS14DMy_c,0.001141190090179
GLYt_c_m,0.007817576208525
NADHK1_c,0.000332598121653
CHORS_c,0.014698411211693
CHTNS_c,0.005011801971738
RIBFLVt_c_e,0.000102778977313
lumpFACS180_c,0.001186028767118
ARGTRS_c,0.007814915836887
4ABZt_c_m,6.408089736e-06
3OACR240_rm,0.000131441235876
METAT_c,0.003785089286262
SQLS_c,0.001141190090179
PPA_c,3.621848879764119
CO2t_c_rm,-0.000460044325567
SACCD1_c,0.012395675677797
UMPK_c,0.00155853908367
ACACT40ir_m,0.0
TYRTRS_c,0.005632896300202
3HACD200_rm,0.000131441235876
KARA1i_m,0.029143743620949
PRPPS_c,0.017717754582622
O2t_c_e,0.023203660873014
GLNTRS_c,0.00599919376127
SERTRS_c,0.01114565542592
CHLSTI_c,0.001141190090179
TKT1_c,-0.00100644779031
PGCD_c,0.023623778714971
HXCCOAt_c_r,6.5720617938e-05
DHNPTt_c_m,6.408089736e-06
SSQ23EPXt_c_r,0.001141190090179
ICDHy_c,0.046780582337678
DHPTS_m,6.408089736e-06
O2t_c_r,0.001325207820406
HOMOX_m,1.01673671e-07
HISTP_c,0.003997022849385
TTCCOAt_c_r,6.5720617938e-05
HEMEOS_m,1.01673671e-07
ALATA_L_m,-0.007936215891039
PYDXK_c,2.030464915e-06
GLYCL_m,0.007814915836887
ECOAR260_rm,6.5720617938e-05
MTHFC_m,0.007814915836887
ASAD_c,0.078580198187567
OCBT_c,0.007814915836887
DPCOAK_c,1.932502564e-05
DDPA_c,0.014698411211693
DICAT6_c,3.11600027e-07
NDPK3_c,0.001311935004431
DHAPt_c_m,-0.101761164907919
MAN6PI_c,-0.136609499185838
PRFGS_c,0.002324938211073
CERS124_r,2.6288247175e-05
AMETt_c_rm,0.002643682797085
IMPD_c,0.000813484228564
ACACT40ir_c,0.006847445562089
NACt_c_e,0.000619247517046
3DSPHR_r,0.000131441235876
O2t_c_rm,0.003165510384524
ADK1_c,3.094213239863188
GLYCt_e,0.011028243411872
EX_inost_e,-0.000367614383317
AHCi_c,0.003785089286262
DHQTi_c,0.014698411211693
EX_pi_e,-0.017334694312548
COAt_c_rm,-0.004561637801232
PSt_c_rm,-0.000203397340068
Ht_c_r,-0.134011660039376
PYK_c,25.270477495073596
CERS2A24_r,3.9432370763e-05
GAPD_c,25.32349809621195
COAt_c_r,-0.000262882471752
PPIt_c_l,-5.8459637e-08
ARGSL_c,0.007814915836887
3OACE260_rm,6.5720617938e-05
PPPGO_m,1.12173478e-07
ALAS_m,2.660371638e-06
GLNS_c,0.312731569389897
HEMEAt_c_m,1.01673671e-07
PDMEMT_rm,0.000881227599028
PNTOtps_e,1.9325243261e-05
SQLEy_r,0.001141190090179
HXCCOAt_c_rm,-6.5720617938e-05
NADPt_c_rm,-0.000920088651134
2OXOADPt_c_m,0.012395675677797
CO2t_c_vm,-0.00111805221222
MDH_c,-0.062414263449538
IPMD_c,0.015168742069193
ADNK1_c,0.003785089286262
13GS_c,0.211988096154081
OAAtps_m,0.039577466053407
STCOAt_c_l,-1.5503548e-08
ORNTACi_m,0.007814915836887
EX_k_e,-0.061407625926126
PCt_c_rm,-0.000881227599028
3MOPt_c_m,-0.040157195340502
ME2_m,0.069300938961451
SHCHD2_c,1.08199499e-07
PYRDC_c,24.9446454802746
SERt_c_rm,0.001321449552289
AIRC1_c,0.002324938211073
FCLT_m,2.24346956e-07
PPBNGS_1_c,1.330185819e-06
PRAMPC_c,0.003997022849385
ADSL1r_c,0.005508476831894
CERH324_r,1.3144123588e-05
PAILS_rm,0.000367614383317
HISTD_c,0.003997022849385
PRASCSi_c,0.002324938211073
EX_nh4_e,-0.264521444652546
G3PAT_rm,0.001791985558267
NADPHt_c_r,0.002597839146462
DHPTt_c_m,-6.408089736e-06
NADPHt_c_rm,0.000920088651134
G3PD1r_c,2.844762716512147
FORt_c_m,0.007814915836887
HMGCOAS_c,0.006847445562089
TAGt_c_rm,-0.000234362858539
PRAGSi_c,0.002324938211073
EX_4abz_e,-6.408089736e-06
ENO_c,25.29987431749698
3C3HMPt_c_m,-0.015168742069193
SUCCt_c_e,-0.00155853908367
ERGSTt_c_rm,-999.9997673801539
HSK_c,0.073180883436621
EX_cu2_e,-1.163933646e-05
C3STDH2_c,0.001141190090179
MALCOAt_c_rm,0.000460044325567
CBPS_c,0.009373454920557
SHK3Di_c,0.014698411211693
EX_mn2_e,-5.0132140563e-05
C3STKR1_c,0.001141190090179
ACS_c,2.849884591169259
AHCYSt_c_rm,-0.002643682797085
PRATPP_c,0.003997022849385
C3STKR2_c,0.001141190090179
HCITS_m,0.012395675677797
DPMVD_c,0.00684744556209
ORPT_c,-0.00155853908367
DHAD1_m,0.029143743620949
AFAT_c,1.702844731e-06
PSP_L_c,0.023623778714971
C4STMO3_c,0.001141190090179
PPND2_c,0.005632896300202
ADSK_c,0.005399314750946
PRAIi_c,0.009218006921448
PMEVK_c,0.00684744556209
ACHBS_m,0.040157195340502
