Rxn,Flux
3OACE240_rm,0.000131441235876
ATPt_c_l,5.8459637e-08
IPCS_g,0.000131441235876
ERGSTt_c_r,1000.0000000000001
DHNPA2i_m,6.408089736e-06
NDPK2_c,0.36398787460495
LNS14DMy_c,0.001141190090179
GLYt_c_m,0.015170155529692
NADHK1_c,0.000332598121654
CHORS_c,0.439667008768053
CHTNS_c,0.004759633514887
RIBFLVt_c_e,0.000108559319382
lumpFACS180_c,0.001186028767118
ARGTRS_c,0.015162490013101
4ABZt_c_m,6.408089736e-06
3OACR240_rm,0.000131441235876
METAT_c,0.003786329266102
SQLS_c,0.001141190090179
PPA_c,2.781936725646084
CO2t_c_rm,-0.000460044325567
SACCD1_c,0.026773121193906
UMPK_c,0.00300113501422
TYRTRS_c,0.013016631091898
3HACD200_rm,0.000131441235876
KARA1i_m,0.066146465596696
HCITt_c_m,0.002910514253253
PRPPS_c,0.05795996009969
O2t_c_e,0.052106297062319
GLNTRS_c,0.01207244962035
SERTRS_c,0.028975813715143
CHLSTI_c,0.001141190090179
PGCD_c,0.076545383548763
HXCCOAt_c_r,6.5720617938e-05
DHNPTt_c_m,6.408089736e-06
SSQ23EPXt_c_r,0.001141190090179
ICDHy_c,0.095753546355625
DHPTS_m,6.408089736e-06
O2t_c_r,0.001325207820406
HOMOX_m,1.01673671e-07
HISTP_c,0.007975056755412
TTCCOAt_c_r,6.5720617938e-05
HEMEOS_m,1.01673671e-07
PYDXK_c,1.1159662123e-05
GLYCL_m,0.015162490013101
ECOAR260_rm,6.5720617938e-05
MTHFC_m,0.015162490013101
ASAD_c,0.930905784303353
OCBT_c,0.015162490013101
DPCOAK_c,1.932502564e-05
DDPA_c,0.439667008768053
DICAT6_c,1.547476161e-06
NDPK3_c,0.001311935256844
DHAPt_c_m,-0.196626736133315
MAN6PI_c,-0.129736002029509
PRFGS_c,0.003918190391564
CERS124_r,2.6288247175e-05
AMETt_c_rm,0.002643682797085
IMPD_c,0.001617039806551
ACACT40ir_c,0.00684744556209
NACt_c_e,0.000619248125074
3DSPHR_r,0.000131441235876
O2t_c_rm,0.003165510384524
ADK1_c,2.278052564816706
GLYCt_e,0.3508747001844
EX_inost_e,-0.000367614383317
AHCi_c,0.003786329266102
DHQTi_c,0.439667008768053
EX_pi_e,-0.020383099079941
COAt_c_rm,-0.004561637801232
PSt_c_rm,-0.000203397340068
Ht_c_r,-0.127138162883047
PYK_c,23.479901771148395
CERS2A24_r,3.9432370763e-05
COAt_c_r,-0.000262882471752
PPIt_c_l,-5.8459637e-08
ARGSL_c,0.015162490013101
3OACE260_rm,6.5720617938e-05
PPPGO_m,1.15000077e-07
ALAS_m,7.665516592e-06
GLNS_c,1.876340133301869
HEMEAt_c_m,1.01673671e-07
PDMEMT_rm,0.000881227599028
PNTOtps_e,1.9325495674e-05
SQLEy_r,0.001141190090179
HXCCOAt_c_rm,-6.5720617938e-05
NADPt_c_rm,-0.000920088651134
2OXOADPt_c_m,0.026773121193906
CO2t_c_vm,-0.00111805221222
MDH_c,-0.118542088510433
IPMD_c,0.035067509460781
ADNK1_c,0.003786329266102
13GS_c,0.201321930296109
OAAtps_m,0.095753546355625
STCOAt_c_l,-1.5503548e-08
ORNTACi_m,0.015162490013101
EX_k_e,-0.061407213032954
PCt_c_rm,-0.000881227599028
3MOPt_c_m,-0.078751375644606
ME2_m,0.144897841241303
SHCHD2_c,7.28189419e-07
PYRDC_c,22.052339355919546
SERt_c_rm,0.001321449552289
AIRC1_c,0.003918190391564
FCLT_m,2.30000155e-07
PPBNGS_1_c,3.832758296e-06
PRAMPC_c,0.007975056755412
ADSL1r_c,0.010276207340425
CERH324_r,1.3144123588e-05
PAILS_rm,0.000367614383317
HISTD_c,0.007975056755412
PRASCSi_c,0.003918190391564
EX_nh4_e,-1.382091178625361
G3PAT_rm,0.001791985558267
NADPHt_c_r,0.002597839146462
DHPTt_c_m,-6.408089736e-06
NADPHt_c_rm,0.000920088651134
G3PD1r_c,0.156039949609353
FORt_c_m,0.015162490013101
HMGCOAS_c,0.00684744556209
TAGt_c_rm,-0.000234362858539
PRAGSi_c,0.003918190391564
EX_4abz_e,-6.408089736e-06
3C3HMPt_c_m,-0.035067509460781
SUCCt_c_e,-0.00300113501422
HSK_c,0.894568057111347
EX_cu2_e,-1.1640022401e-05
C3STDH2_c,0.001141190090179
MALCOAt_c_rm,0.000460044325567
CBPS_c,0.018163625027321
SHK3Di_c,0.439667008768053
EX_mn2_e,-2.7499717328e-05
C3STKR1_c,0.001141190090179
ACS_c,1.30139534330043
AHCYSt_c_rm,-0.002643682797085
PRATPP_c,0.007975056755412
C3STKR2_c,0.001141190090179
HCITS_m,0.023862606940653
DPMVD_c,0.00684744556209
ORPT_c,-0.00300113501422
DHAD1_m,0.066146465596696
ERGSTt_c_rm,999.999091429756
AFAT_c,3.744312777e-06
PSP_L_c,0.076545383548763
C4STMO3_c,0.001141190090179
PPND2_c,0.41311120397826
ADSK_c,0.036337727192006
PRAIi_c,0.04244632981342
PMEVK_c,0.00684744556209
ACHBS_m,0.078751375644606
3OACR220_rm,0.000131441235876
EX_fe2_e,-6.8652474921e-05
