Rxn,Flux
ACONTb_c,0.013066739723479
FMNRx2_c,4.218382e-09
EX_so4_e,-0.001914786506764
ARGSS_c,0.002170761607638
EX_asp__L_e,-0.00046
CERH324_r,1.752549812e-06
FADt_c_m,1.498248610130039
EX_lys__L_e,-0.000216
DHORDfum_c,0.002837278448042
NDPK7_c,2.1302773372e-05
DCMPDA_c,3.1557783219e-05
CERt_g_r,1.7525498117e-05
TALA_c,0.225407778795136
3OACE240_rm,1.7525498117e-05
ILETRS_c,0.003650465293228
3HACD240_rm,1.7525498117e-05
IPPMIa_c,-0.004777857373351
PGCD_c,0.027270799260433
IPMD_c,0.004777857373351
CYTK1_c,0.000227785204107
ERGSTt_r_rm,-999.9998478413213
GLUDy_c,0.089517489474603
H2Ot_c_e,-1.830859917398259
TPI_c,0.408789370983726
SHCHF_c,3.984797e-09
FACOAL181_l,2.28443e-09
CERH126A_r,5.257649435e-06
DHNPA2i_m,8.54411965e-07
GALUi_c,0.017771768967108
ENO_c,1.011781195119996
ACGK_m,0.003662686984503
GK2_c,0.001252018224087
FADH2t_c_m,1.498248610130039
MAN6PI_c,-0.006472382969907
HCITR_m,0.003961965384738
HCITS_m,0.003961965384738
ACS_c,0.926831205945011
CERH124A_r,5.257649435e-06
HEMEAt_c_m,1.3556489e-08
PYRDC_c,0.925339851560917
16GS_c,0.002643092196066
EX_inost_e,-4.9015251109e-05
G3PD1i_m,0.415347361142407
CO2t_c_r,-1.7525498117e-05
FECRq6_m,1.50108588857808
G3PD1r_c,1.083140180395401
ADK1_c,1.006490322451022
COAt_c_l,-0.000515855355981
PIt_c_gm,-0.000131219896225
3HACD200_rm,1.7525498117e-05
LNS14DMy_c,0.00015215867877
FTHFL_c,-0.015516530828501
lumpFACS160_c,0.000423785162755
ADNK1_c,0.000152166648364
HISTRS_c,0.000886049054995
CITICITt_c_m,-0.34640241612324
EX_chol_e,-0.000117497013204
GARFT_c,0.002601434899445
13GS_c,0.010043724276481
SHKK_c,0.00466096193259
EX_gly_e,-0.000747
ATPASEP2e_c,0.379429317648307
O2t_c_e,0.752680510287755
NDPK3_c,0.000174924647516
ADSL2i_c,0.002601434899445
METS_c,0.001254343265503
EX_h2o_e,1.497934917398259
ECOAR220_rm,1.7525498117e-05
TMDPK_c,4.18157467e-07
HSTPT_c,0.000681049054995
SUCDq6_m,1.50108588857808
EX_nh4_e,-0.09
FORt_c_m,0.01560970240304
ADK1_m,8.54411965e-07
DTMPK_c,3.1557783219e-05
ASPTRS_c,0.002768198268479
HCO3E_c,0.867225170128629
MTHFD_c,0.021400449682385
FRD_c,1.498248610130039
3OACE260_rm,8.762749058e-06
H2Ot_c_rm,-0.000905475345949
PFK_c,0.409028302391495
HXCCOAt_c_rm,-8.762749058e-06
CBPS_c,0.00500804005568
MTHFR3_c,0.001254343265503
PRMICI_c,0.000681049054995
IPPS_m,0.004777857373351
DOLPMT_c,0.006472382969907
GRTT_c,0.00030433091403
ALAtps_e,0.001179
GCALDt_c_e,-8.54411965e-07
3C3HMPt_c_m,-0.004777857373351
lumpFACS180_c,0.102405642029112
PRATPP_c,0.000681049054995
AIRC1_c,0.002601434899445
PROTRS_c,0.002252925376865
DDPA_c,0.00466096193259
COAt_c_r,-3.5050996234e-05
HDCOAt_c_l,0.00028608703819
ASPtps_e,0.00046
IPCS_g,1.7525498117e-05
MDH_c,-0.0179700625747
CO2t_c_e,1.681850802510942
NDPK5_c,2.130279521e-05
EX_met__L_e,-0.000132
GLYGS_c,0.004842233728303
CO2t_c_rm,-6.1339243409e-05
