"rxn"	"flux"	"slack"
"RXN-EX_nh4_e_REV-SPONT"	0.027968665501335	0.000000000000000
"RXN-EX_arg__L_e_REV-SPONT"	0.000236000000000	0.000000000000000
"RXN-EX_cl_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_fol_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_glu__L_e_REV-SPONT"	0.001013000000000	0.000000000000000
"RXN-EX_chol_e_REV-SPONT"	0.000000509995525	0.000000000000000
"RXN-EX_val__L_e_REV-SPONT"	0.000463000000000	0.000000000000000
"RXN-EX_cu2_e_REV-SPONT"	0.000000006699023	0.000000000000000
"RXN-EX_ser__L_e_REV-SPONT"	0.000334000000000	0.000000000000000
"RXN-EX_ni2_e_REV-SPONT"	0.000000042006470	0.000000000000000
"RXN-EX_o2_e_REV-SPONT"	0.001965372365031	0.000000000000000
"RXN-EX_na1_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_pi_e_REV-SPONT"	0.000060047973499	0.000000000000000
"RXN-EX_gly_e_REV-SPONT"	0.000747000000000	0.000000000000000
"RXN-EX_leu__L_e_REV-SPONT"	0.000709000000000	0.000000000000000
"RXN-EX_sucr_e_REV-SPONT"	0.332924999760347	0.000000000000000
"RXN-EX_his__L_e_REV-SPONT"	0.000205000000000	0.000000000000000
"RXN-EX_pro__L_e_REV-SPONT"	0.000761000000000	0.000000000000000
"RXN-EX_thr__L_e_REV-SPONT"	0.000276000000000	0.000000000000000
"RXN-EX_ala__L_e_REV-SPONT"	0.001179000000000	0.000000000000000
"RXN-EX_met__L_e_REV-SPONT"	0.000132000000000	0.000000000000000
"RXN-EX_h2o_e_REV-SPONT"	0.071033919359234	0.000000000000000
"RXN-EX_nac_e_REV-SPONT"	0.000000357348362	0.000000000000000
"RXN-EX_zn2_e_REV-SPONT"	0.000000336969088	0.000000000000000
"RXN-EX_thm_e_REV-SPONT"	0.000000095189045	0.000000000000000
"RXN-EX_ribflv_e_REV-SPONT"	0.000000234063937	0.000000000000000
"RXN-EX_phe__L_e_REV-SPONT"	0.000229000000000	0.000000000000000
"RXN-EX_ca2_e_REV-SPONT"	0.000000075698861	0.000000000000000
"RXN-EX_ile__L_e_REV-SPONT"	0.000253000000000	0.000000000000000
"RXN-EX_h_e_REV-SPONT"	0.001765881455885	0.000000000000000
"RXN-EX_fe2_e_REV-SPONT"	0.000000041854344	0.000000000000000
"RXN-EX_lys__L_e_REV-SPONT"	0.000216000000000	0.000000000000000
"RXN-EX_mg2_e_REV-SPONT"	0.000004233718093	0.000000000000000
"RXN-EX_trp__L_e_REV-SPONT"	0.000023000000000	0.000000000000000
"RXN-EX_k_e_REV-SPONT"	0.000035578407525	0.000000000000000
"RXN-EX_asp__L_e_REV-SPONT"	0.000460000000000	0.000000000000000
"RXN-EX_4abz_e_REV-SPONT"	0.000000003708573	0.000000000000000
"RXN-EX_pnto__R_e_REV-SPONT"	0.000000011186888	0.000000000000000
"RXN-EX_pydxn_e_REV-SPONT"	0.000000238247547	0.000000000000000
"RXN-EX_inost_e_REV-SPONT"	0.000000212750589	0.000000000000000
"RXN-EX_so4_e_REV-SPONT"	0.000976936366398	0.000000000000000
"RXN-EX_cobalt2_e_REV-SPONT"	0.000000000157245	0.000000000000000
"RXN-EX_mn2_e_REV-SPONT"	0.000000342006055	0.000000000000000
"RXN-EX_tyr__L_e_REV-SPONT"	0.000094000000000	0.000000000000000
