rxn,flux,lb,ub
13GS_c,0.0001241114672847538,0.0,1000.0
16GS_c,3.2660905696669615e-05,0.0,1000.0
PRMICI_c,9.379574359891102e-06,0.0,1000.0
P5CD_m,0.010514415325037321,-1000.0,1000.0
ACHBS_m,2.862493654603383e-05,0.0,1000.0
AATA_c,3.192959859791222e-05,-1000.0,1000.0
IPPMIb_c,-3.892784219993888e-05,-1000.0,1000.0
IPPS_m,3.892784219993887e-05,0.0,1000.0
HCITR_m,3.192959859791222e-05,-1000.0,1000.0
OMCDC_c,3.892784219993888e-05,0.0,1000.0
BPNT_c,0.021323084014701864,0.0,1000.0
DHQTi_c,3.095768441337605e-05,0.0,1000.0
DHQS_c,3.095768441337605e-05,0.0,1000.0
3DSPHR_r,6.094012177901392e-07,0.0,1000.0
DDPA_c,3.095768441337605e-05,0.0,1000.0
HACD140i_x,3.27926868765871e-21,0.0,1000.0
IPPMIa_c,-3.892784219993888e-05,-1000.0,1000.0
IPMD_c,3.892784219993888e-05,0.0,1000.0
PSCIT_c,3.095768441337606e-05,0.0,1000.0
NTD4pp_c,-2.4298084450502215e-20,0.0,1000.0
NTD2pp_c,2.6505977904653903e-20,0.0,1000.0
PRFGS_c,0.02132924852975508,0.0,1000.0
MTHFR3_c,2.3087256148782236e-05,0.0,1000.0
PGL_c,0.07795825611480392,0.0,1000.0
KARA1i_m,7.45510223479994e-05,0.0,1000.0
ACLS_m,7.45510223479994e-05,0.0,1000.0
ACACT160i_x,1.0920728103974711e-20,0.0,1000.0
ACACT40ir_m,3.174436831610595e-05,-1000.0,1000.0
ACACT140i_x,3.2792686876587097e-21,0.0,1000.0
ACACT100i_x,6.606789514775087e-22,0.0,1000.0
ACACT120i_x,-6.354499178424764e-21,0.0,1000.0
ACCOAC_c,0.01436049403168928,0.0,1000.0
ACS_c,0.04281235918796059,0.0,1000.0
ACGK_m,0.01055368337565796,0.0,1000.0
ACOTAi_m,0.01055368337565796,0.0,1000.0
ACOAO100_x,-6.354499178424764e-21,0.0,1000.0
ACOAO120_x,3.2792686876587093e-21,0.0,1000.0
ACOAO260_x,-5.59495365636564e-22,0.0,1000.0
