"index"	"prosynSlack(% higher/lower than measured value)"
"YOL040C"	 4.910476178133233E+01
"YGL123W"	 2.827796015011793E+01
"YGR027C"	 2.876414087735901E+00
"YKL156W"	 6.747347735353853E+03
"YLR287C-A"	 2.546790538124191E+01
"YLR167W"	 1.224959737924391E+02
"YBR084C-A"	 2.015488628726720E+01
"YBL092W"	 1.885881768961059E+02
"YJL189W"	 3.642281278830581E+02
"YIL148W"	 6.200142630061828E+00
"YPR043W"	 7.746493532805390E+01
"YDL081C"	 4.100292472378750E+01
"YDL130W"	 2.134940274899785E+02
"YDR116C"	 7.828394392340181E+02
"YEL050C"	 2.666480315167749E+03
"YGR220C"	 6.248914833249413E+03
"YML025C"	 8.518207488192865E+02
"YDR237W"	 2.865050877160921E+03
"YHR147C"	 1.326491429220494E+03
"YNR022C"	 4.880889116564866E+03
"YDL202W"	 1.375772630006491E+03
"YNL185C"	 4.403025882122520E+02
"YGL068W"	 6.062395366708074E+02
"YOR150W"	 2.006022672642747E+03
"YKL170W"	 1.336718479137158E+03
"YNL284C"	 3.552450622906429E+03
"YBL038W"	 8.100733665754509E+03
"YCR046C"	 1.011874271175846E+03
"YJL096W"	 1.701306549086924E+03
"YNL177C"	 1.889264133433198E+03
"YDR405W"	 2.555487775443988E+03
"YPL173W"	 3.091263319368374E+03
"YNL005C"	 3.094809942847146E+03
"YMR193W"	 1.783109405317845E+03
"YLR439W"	 1.333639368018917E+03
"YMR286W"	 1.242472594218937E+03
"YBR122C"	 3.231866455964299E+03
"YCR003W"	 6.808076462276655E+04
"YML009C"	 6.059246534389440E+03
"YPL183W-A"	 3.334475977113518E+04
"YDR322W"	 1.529347721602513E+03
"YDR462W"	 1.924975191454220E+03
"YBR282W"	 1.508697443469648E+03
"YPR100W"	 4.811128190389652E+03
"YMR024W"	 6.324657919043096E+02
"YNL252C"	 1.461030635762235E+03
"YCR071C"	 9.844379775987918E+02
"YKR006C"	 7.448496260965452E+02
"YMR225C"	 1.919536749991634E+03
"YBR268W"	 1.588025962426968E+04
"YLR312W-A"	 8.413888815135930E+02
"YKR085C"	 1.339522310411176E+03
"YGR076C"	 1.705928402002851E+03
"YKL138C"	 4.421355270916843E+03
"YKL167C"	 1.172908468034099E+03
"YDR296W"	 3.377158998171210E+03
"YPL118W"	 2.427156312589336E+03
"YHL004W"	 9.971702372234549E+02
"Q0140"	 1.772098885600625E+03
"YNL137C"	 1.672912820752205E+03
"YBR251W"	 2.429037415120727E+03
"YKL003C"	 1.350868096839822E+04
"YJR113C"	 9.125691496409622E+02
"YMR158W"	 7.982793028230855E+02
"YBR146W"	 2.375140140910161E+03
"YDR041W"	 1.172360811538031E+03
"YNL306W"	 2.635898283101119E+02
"YPR166C"	 7.244026641125427E+03
"YDR337W"	 2.819180565638072E+03
"YPL013C"	 1.178424984866636E+03
"YMR188C"	 1.223732284554944E+03
"YER050C"	 5.204706689714507E+03
"YBL090W"	 2.825869134217734E+03
"YOR158W"	 1.710131861324065E+03
"YGL129C"	 1.173199592320065E+03
"YGR215W"	 2.225878391190036E+03
"YDR175C"	 2.110625279885088E+03
"YDL045W-A"	 1.223860206680616E+04
"YHR059W"	 2.709068158751413E+03
"YJR101W"	 7.903469740934478E+02
"YDR347W"	 8.009078816372427E+02
"YGR084C"	 1.374391549813236E+03
"YGR165W"	 1.420911299707756E+03
"YDR494W"	 2.286483127722554E+03
"YDR036C"	 2.639999305537416E+03
"YGR148C"	 1.970298300028008E+01
"YKL054C"	 9.614201761438094E-06
"YHL001W"	 4.403971960993667E+01
"YDR500C"	 2.509958204799917E+03
