"index"	"prosynSlack(% higher/lower than measured value)"
"YER091C"	-7.873608634148577E+01
"YHR174W"	-9.900000000000000E+01
"YLR044C"	-9.900000000000000E+01
"YGL123W"	 1.021146677490110E+02
"YGR027C"	 6.517189646356113E+01
"YKL156W"	 1.034686190753177E+04
"YLR287C-A"	 3.034328108209638E+01
"YLR167W"	 2.671447021078396E-01
"YLR075W"	 1.622513297655409E+01
"YOL120C"	 1.675268178748307E+01
"YLR061W"	 6.658610632118783E+01
"YOR063W"	 1.619005057644218E+01
"YLR185W"	 6.875633807737940E+02
"YJL189W"	 1.524191706685500E+02
"YIL148W"	 1.066826904140201E+01
"YPR043W"	 1.564249717205559E+01
"YPL131W"	 7.879320176029468E+00
"YDL081C"	 7.623388523030631E+01
"YHL001W"	 3.948964399768531E+01
