"index"	"prosynSlack(% higher/lower than measured value)"
"YGR214W"	 4.054285624731478E+04
"YOR369C"	 8.553233102314750E+00
"YOL040C"	 1.427936273951581E+02
"YOL121C"	 2.127283231849220E+01
"YGL123W"	 1.088804602053828E+02
"YGR027C"	 6.751804202201490E+01
"YKL156W"	 1.104982764360464E+04
"YLR287C-A"	 1.043047284690951E+02
"YLR167W"	 2.622996604032510E+02
"YPL090C"	 1.506992666484160E+01
"YLR075W"	 4.114992451548533E+01
"YKL006W"	 1.173231361578317E+03
"YLR029C"	 6.476863093207787E+01
"YOL120C"	 3.914821405042513E+01
"YBR084C-A"	 9.565331343154152E+01
"YLR061W"	 3.505386157982007E+08
"YGL031C"	 2.032293071403635E+03
"YLR344W"	 6.754254061465432E+02
"YGL103W"	 7.508187152475532E-01
"YOR063W"	 5.676381738007989E+01
"YBL092W"	 3.699204066649295E+02
"YJL189W"	 6.559224116053840E+02
"YIL148W"	 7.293021061829084E+01
"YPR043W"	 1.889737045885534E+02
"YBR031W"	 4.005472066265030E+01
"YPL131W"	 5.212918169893101E+01
"YDL081C"	 1.296010614149341E+02
"YDL130W"	 4.104756628271460E+02
"YCR003W"	 2.378775770401944E+01
"YIL052C"	 6.062158445398811E+02
"YDL061C"	 2.420143168936324E+01
"YGR085C"	 3.460664826507809E+01
"YOR312C"	 4.662673266664229E+10
"YPL079W"	 2.652816371335566E+02
"YLR406C"	 5.140300075062547E+01
"YDR500C"	 4.195972994953918E+03
