id	object_type	command
# Enzyme requirement as cofactors
acc1btn_c	met	create
acc1btn_c	met	name:representation of ACC1 enzyme attached with biotin for enzyme requirement purpose in RBA)
BACCL_c	rxn	create
BACCL_c	rxn	name:Biotin-ACC1 ligase (pseudoreaction for enzyme requirement purpose in RBA)
BACCL_c	rxn	reaction:--> acc1btn_c
BACCL_c	rxn	gpr:YDL141W
BACCL_c	rxn	subsystem:Pseudoreaction
BACCL_c	rxn	lower_bound:0
BACCL_c	rxn	upper_bound:1000
atp12asm_c	met	create
atp12asm_c	met	name:ATP12 requirement for F1 subunit assembly for ATP synthase (for enzyme requirement purpose in RBA)
ATP12ASM_c	rxn	create
ATP12ASM_c	rxn	name:ATP12 requirement for F1 subunit assembly for ATP synthase (for enzyme requirement purpose in RBA)
ATP12ASM_c	rxn	reaction:--> atp12asm_c
ATP12ASM_c	rxn	gpr:YJL180C
ATP12ASM_c	rxn	subsystem:Pseudoreaction
atp10asm_c	met	create
atp10asm_c	met	name:ATP10 requirement for F0 subunit assembly for ATP synthase (for enzyme requirement purpose in RBA)
ATP10ASM_c	rxn	create
ATP10ASM_c	rxn	name:ATP10 requirement for F0 subunit assembly for ATP synthase (for enzyme requirement purpose in RBA)
ATP10ASM_c	rxn	reaction:--> atp10asm_c
ATP10ASM_c	rxn	gpr:YLR393W
ATP10ASM_c	rxn	subsystem:Pseudoreaction
atp11asm_c	met	create
atp11asm_c	met	name:ATP11 requirement for molecular chaperone of F1 subunit for ATP synthase (for enzyme requirement purpose in RBA)
ATP11ASM_c	rxn	create
ATP11ASM_c	rxn	name:ATP11 requirement for molecular chaperone of F1 subunit for ATP synthase (for enzyme requirement purpose in RBA)
ATP11ASM_c	rxn	reaction:--> atp11asm_c
ATP11ASM_c	rxn	gpr:YNL315C
ATP11ASM_c	rxn	subsystem:Pseudoreaction
pmpreq_c	met	create
pmpreq_c	met	name:PMP1 or 2 requirement for ATPase activity (for enzyme requirement purpose in RBA)
PMPREQ_c	rxn	create
PMPREQ_c	rxn	name:PMP1 or 2 requirement for ATPase activity (for enzyme requirement purpose in RBA)
PMPREQ_c	rxn	reaction:--> pmpreq_c
PMPREQ_c	rxn	gpr:YCR024C-A or YEL017C-A
PMPREQ_c	rxn	subsystem:Pseudoreaction
cycreq_c	met	create
cycreq_c	met	name:Cytochrome C requirement (for enzyme requirement purpose in RBA)
CYCREQ_c	rxn	create
CYCREQ_c	rxn	name:Cytochrome C requirement (for enzyme requirement purpose in RBA)
CYCREQ_c	rxn	reaction:--> cycreq_c
CYCREQ_c	rxn	gpr:YJR048W or YEL039C
CYCREQ_c	rxn	subsystem:Pseudoreaction
cox11req_c	met	create
cox11req_c	met	name:COX11 requirement for cytochrome c oxidase assembly (for enzyme requirement purpose in RBA)
COX11REQ_c	rxn	create
COX11REQ_c	rxn	name:COX11 requirement for cytochrome c oxidase assembly (for enzyme requirement purpose in RBA)
COX11REQ_c	rxn	reaction:--> cox11req_c
COX11REQ_c	rxn	gpr:YPL132W
COX11REQ_c	rxn	subsystem:Pseudoreaction
cox16req_c	met	create
cox16req_c	met	name:COX16 requirement for cytochrome c oxidase assembly (for enzyme requirement purpose in RBA)
COX16REQ_c	rxn	create
COX16REQ_c	rxn	name:COX16 requirement for cytochrome c oxidase assembly (for enzyme requirement purpose in RBA)
COX16REQ_c	rxn	reaction:--> cox16req_c
COX16REQ_c	rxn	gpr:YJL003W
COX16REQ_c	rxn	subsystem:Pseudoreaction
cox18req_c	met	create
cox18req_c	met	name:COX18 requirement for cytochrome c oxidase assembly (for enzyme requirement purpose in RBA)
COX18REQ_c	rxn	create
COX18REQ_c	rxn	name:COX18 requirement for cytochrome c oxidase assembly (for enzyme requirement purpose in RBA)
COX18REQ_c	rxn	reaction:--> cox18req_c
COX18REQ_c	rxn	gpr:YGR062C
COX18REQ_c	rxn	subsystem:Pseudoreaction
cox19req_c	met	create
cox19req_c	met	name:COX19 requirement for cytochrome c oxidase assembly (for enzyme requirement purpose in RBA)
COX19REQ_c	rxn	create
COX19REQ_c	rxn	name:COX19 requirement for cytochrome c oxidase assembly (for enzyme requirement purpose in RBA)
COX19REQ_c	rxn	reaction:--> cox19req_c
COX19REQ_c	rxn	gpr:YLL018C-A
COX19REQ_c	rxn	subsystem:Pseudoreaction
cox20req_c	met	create
cox20req_c	met	name:COX20 requirement for cytochrome c oxidase assembly (for enzyme requirement purpose in RBA)
COX20REQ_c	rxn	create
COX20REQ_c	rxn	name:COX20 requirement for cytochrome c oxidase assembly (for enzyme requirement purpose in RBA)
COX20REQ_c	rxn	reaction:--> cox20req_c
COX20REQ_c	rxn	gpr:YDR231C
COX20REQ_c	rxn	subsystem:Pseudoreaction
cox23req_c	met	create
cox23req_c	met	name:COX23 requirement for cytochrome c oxidase assembly (for enzyme requirement purpose in RBA)
COX23REQ_c	rxn	create
COX23REQ_c	rxn	name:COX23 requirement for cytochrome c oxidase assembly (for enzyme requirement purpose in RBA)
COX23REQ_c	rxn	reaction:--> cox23req_c
COX23REQ_c	rxn	gpr:YHR116W
COX23REQ_c	rxn	subsystem:Pseudoreaction
sdh5req_c	met	create
sdh5req_c	met	name:SDH5 requirement for SDH1 flavinylation (for enzyme requirement purpose in RBA)
SDH5REQ_c	rxn	create
SDH5REQ_c	rxn	name:SDH5 requirement for SDH1 flavinylation (for enzyme requirement purpose in RBA)
SDH5REQ_c	rxn	reaction:--> sdh5req_c
SDH5REQ_c	rxn	gpr:YOL071W
SDH5REQ_c	rxn	subsystem:Pseudoreaction
prefmn_c	met	compartment:c
dicat_c	met	compartment:c
hemegen_c	met	compartment:c
lipoate_m	met	compartment:m
moncat_c	met	compartment:c
acc1btn_c	met	compartment:c
atp12asm_c	met	compartment:c
atp10asm_c	met	compartment:c
atp11asm_c	met	compartment:c
pmpreq_c	met	compartment:c
cycreq_c	met	compartment:c
cox11req_c	met	compartment:c
cox16req_c	met	compartment:c
cox18req_c	met	compartment:c
cox19req_c	met	compartment:c
cox20req_c	met	compartment:c
cox23req_c	met	compartment:c
sdh5req_c	met	compartment:c
