# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035689_Candida_mycetangii@Seq_119;yHMPu5000035689_Candida_mycetangii@Seq_1422	chebi:16004;chebi:15991	10.0209,29.9452;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035689_Candida_mycetangii@Seq_1422;yHMPu5000035689_Candida_mycetangii@Seq_688	chebi:16004;chebi:15991	29.9452,11.5397;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035689_Candida_mycetangii@Seq_1422;yHMPu5000035689_Candida_mycetangii@Seq_1437	chebi:16004;chebi:15991	29.9452,1.9407;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035689_Candida_mycetangii@Seq_1422;yHMPu5000035689_Candida_mycetangii@Seq_2383	chebi:16004;chebi:15991	29.9452,9.8056;
r_0001_5	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035689_Candida_mycetangii@Seq_1422;yHMPu5000035689_Candida_mycetangii@Seq_633	chebi:16004;chebi:15991	29.9452,4.6248;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000035689_Candida_mycetangii@Seq_1422;yHMPu5000035689_Candida_mycetangii@Seq_688	chebi:15991;chebi:16004	;29.9452,11.5397
r_0003_1_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000035689_Candida_mycetangii@Seq_2167	chebi:16982;chebi:57540	8.3879;7.2132
r_0003_1_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000035689_Candida_mycetangii@Seq_2167	chebi:15686;chebi:57945	7.4360;16.9463
r_0003_2_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000035689_Candida_mycetangii@Seq_2269	chebi:16982;chebi:57540	1.8621;2.0909
r_0003_2_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000035689_Candida_mycetangii@Seq_2269	chebi:15686;chebi:57945	1.4882;2.4512
