# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034761_Lipomyces_lipofer@Seq_3332;yHMPu5000034761_Lipomyces_lipofer@Seq_5367	chebi:16004;chebi:15991	1.8136,0.0743;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034761_Lipomyces_lipofer@Seq_3332;yHMPu5000034761_Lipomyces_lipofer@Seq_6863	chebi:16004;chebi:15991	1.8136,0.0743;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034761_Lipomyces_lipofer@Seq_5367;yHMPu5000034761_Lipomyces_lipofer@Seq_1469	chebi:16004;chebi:15991	0.0743,1.2252;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034761_Lipomyces_lipofer@Seq_6863;yHMPu5000034761_Lipomyces_lipofer@Seq_1469	chebi:16004;chebi:15991	0.0743,1.2252;
r_0002_1	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000034761_Lipomyces_lipofer@Seq_5367;yHMPu5000034761_Lipomyces_lipofer@Seq_1469	chebi:15991;chebi:16004	;0.0743,1.2252
r_0002_2	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000034761_Lipomyces_lipofer@Seq_6863;yHMPu5000034761_Lipomyces_lipofer@Seq_1469	chebi:15991;chebi:16004	;0.0743,1.2252
r_0003_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000034761_Lipomyces_lipofer@Seq_4414	chebi:16982;chebi:57540	5.9680;7.1395
r_0003_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000034761_Lipomyces_lipofer@Seq_4414	chebi:15686;chebi:57945	3.4968;8.7624
r_0004_1	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000034761_Lipomyces_lipofer@Seq_5367;yHMPu5000034761_Lipomyces_lipofer@Seq_2795	chebi:15991;chebi:16651	;0.0743,0.2520
r_0004_2	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000034761_Lipomyces_lipofer@Seq_6863;yHMPu5000034761_Lipomyces_lipofer@Seq_2795	chebi:15991;chebi:16651	;0.0743,0.2520
r_0005_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034761_Lipomyces_lipofer@Seq_2803	chebi:18066	2.5108
r_0005_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034761_Lipomyces_lipofer@Seq_2803;yHMPu5000034761_Lipomyces_lipofer@Seq_1732	chebi:18066	2.5108,2.5940
r_0006_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034761_Lipomyces_lipofer@Seq_2083	chebi:18066	48.0905
