id	rxn_src	dir	enz	protein_stoich	status	comments	MW (g/mmol)
RXN-BTDDH_c_FWD-YAL060W	BTDDH_c	FWD	YAL060W	YAL060W:2	protStoichAsgnAuto		83.87528
RXN-BTDDH_c_REV-YAL060W	BTDDH_c	REV	YAL060W	YAL060W:2	protStoichAsgnAuto		83.87528
RXN-13GS_c_FWD-GSC2RHO1	13GS_c	FWD	GSC2RHO1	YLR342W:1,YPR165W:1	protStoichAsgnManual	Component of the 1,3-beta-glucan synthase (GS), composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with RHO1, which is a GTP-binding protein.	240.04398
RXN-13GS_c_FWD-GSC1RHO1	13GS_c	FWD	GSC1RHO1	YGR032W:1,YPR165W:1	protStoichAsgnManual	Component of the 1,3-beta-glucan synthase (GS), composed of two alternate catalytic subunits FKS1 or GSC2, and a regulatory subunit RHO1. Interacts with SMK1.	242.19774999999998
RXN-16GS_c_FWD-YPR159W	16GS_c	FWD	YPR159W	YPR159W:1	protStoichAsgnManual	The cytoplasmic domain interacts with the actin patch assembly proteins LAS17 and SLA1. Interacts with KEG1.	80.77768
RXN-16GS_c_FWD-YGR143W	16GS_c	FWD	YGR143W	YGR143W:1	protStoichAsgnManual	The cytoplasmic domain interacts with the actin patch assembly proteins LAS17 and SLA1. Interacts with KEG1.	86.95194
RXN-PRMICI_c_FWD-YIL020C	PRMICI_c	FWD	YIL020C	YIL020C:1	protStoichAsgnAuto		29.79324
RXN-P5CD_m_FWD-YHR037W	P5CD_m	FWD	YHR037W	YHR037W:1	protStoichAsgnAuto		64.98952
RXN-P5CD_m_REV-YHR037W	P5CD_m	REV	YHR037W	YHR037W:1	protStoichAsgnAuto		64.98952
RXN-DHPPDA2_c_FWD-YOL066C	DHPPDA2_c	FWD	YOL066C	YOL066C:1	protStoichAsgnAuto		67.59907
RXN-DRAPPRy_c_FWD-YBR153W	DRAPPRy_c	FWD	YBR153W	YBR153W:2	protStoichAsgnAuto		54.67984
RXN-HPPK2_m_FWD-YNL256W	HPPK2_m	FWD	YNL256W	YNL256W:2	protStoichAsgnAuto		187.82624
RXN-AATA_c_FWD-YJL060W	AATA_c	FWD	YJL060W	YJL060W:2	protStoichAsgnAuto		101.00968
RXN-AATA_c_REV-YJL060W	AATA_c	REV	YJL060W	YJL060W:2	protStoichAsgnAuto		101.00968
RXN-AATA_c_FWD-YER152C	AATA_c	FWD	YER152C	YER152C:2	protStoichAsgnAuto		99.82146
RXN-AATA_c_REV-YER152C	AATA_c	REV	YER152C	YER152C:2	protStoichAsgnAuto		99.82146
RXN-AATA_c_FWD-YGL202W	AATA_c	FWD	YGL202W	YGL202W:2	protStoichAsgnAuto		113.30066
RXN-AATA_c_REV-YGL202W	AATA_c	REV	YGL202W	YGL202W:2	protStoichAsgnAuto		113.30066
RXN-DPR_c_FWD-YHR063C	DPR_c	FWD	YHR063C	YHR063C:1	protStoichAsgnAuto		43.17886
RXN-IPPMIb_c_FWD-YGL009C	IPPMIb_c	FWD	YGL009C	YGL009C:1	protStoichAsgnAuto		86.53761
RXN-IPPMIb_c_REV-YGL009C	IPPMIb_c	REV	YGL009C	YGL009C:1	protStoichAsgnAuto		86.53761
RXN-IPPS_c_FWD-YOR108W	IPPS_c	FWD	YOR108W	YOR108W:2	protStoichAsgnAuto		135.56116
RXN-UNK3_c_FWD-YHR208W	UNK3_c	FWD	YHR208W	YHR208W:2	protStoichAsgnAuto		87.95532
RXN-UNK3_c_FWD-YJR148W	UNK3_c	FWD	YJR148W	YJR148W:2	protStoichAsgnAuto		83.96464
RXN-UNK3_c_FWD-YHR137W	UNK3_c	FWD	YHR137W	YHR137W:2	protStoichAsgnAuto		118.02406
RXN-UNK3_c_FWD-YGL202W	UNK3_c	FWD	YGL202W	YGL202W:2	protStoichAsgnAuto		113.30066
RXN-HCITR_m_FWD-YDR234W	HCITR_m	FWD	YDR234W	YDR234W:1	protStoichAsgnAuto		75.82409
RXN-HCITR_m_REV-YDR234W	HCITR_m	REV	YDR234W	YDR234W:1	protStoichAsgnAuto		75.82409
RXN-MCITS_m_FWD-YPR001W	MCITS_m	FWD	YPR001W	YPR001W:2	protStoichAsgnManual	Monomer and homodimer (PubMed:28076776). Exists as an inactive monomer when phosphorylated (PubMed:28076776). Homodimerization is dependent on dephosphorylation of Ser-462 by PTC7 and is required for activity (PubMed:28076776).	108.5697
RXN-OMCDC_c_FWD-YJR148W	OMCDC_c	FWD	YJR148W	YJR148W:2	protStoichAsgnAuto		83.96464
RXN-OMCDC_m_FWD-YHR208W	OMCDC_m	FWD	YHR208W	YHR208W:2	protStoichAsgnAuto		87.95532
RXN-BPNT_c_FWD-YOL064C	BPNT_c	FWD	YOL064C	YOL064C:1	protStoichAsgnAuto		39.47983
RXN-PDE1_c_FWD-YOR360C	PDE1_c	FWD	YOR360C	YOR360C:1	protStoichAsgnAuto		61.49613
RXN-PDE1_c_FWD-YGL248W	PDE1_c	FWD	YGL248W	YGL248W:1	protStoichAsgnAuto		42.35666
RXN-PDE2_c_FWD-YOR360C	PDE2_c	FWD	YOR360C	YOR360C:1	protStoichAsgnAuto		61.49613
RXN-PDE3_c_FWD-YOR360C	PDE3_c	FWD	YOR360C	YOR360C:1	protStoichAsgnAuto		61.49613
RXN-PDE4_c_FWD-YOR360C	PDE4_c	FWD	YOR360C	YOR360C:1	protStoichAsgnAuto		61.49613
RXN-PDE5_c_FWD-YOR360C	PDE5_c	FWD	YOR360C	YOR360C:1	protStoichAsgnAuto		61.49613
RXN-DB4PS_c_FWD-YDR487C	DB4PS_c	FWD	YDR487C	YDR487C:2	protStoichAsgnAuto		45.50088
RXN-DHQTi_c_FWD-YDR127W	DHQTi_c	FWD	YDR127W	YDR127W:2	protStoichAsgnAuto		352.59472
RXN-DHQS_c_FWD-YDR127W	DHQS_c	FWD	YDR127W	YDR127W:2	protStoichAsgnAuto		352.59472
RXN-3DSPHR_r_FWD-YBR265W	3DSPHR_r	FWD	YBR265W	YBR265W:1	protStoichAsgnAuto		36.27016
RXN-DDPA_c_FWD-YDR035W	DDPA_c	FWD	YDR035W	YDR035W:1	protStoichAsgnAuto		41.42157
RXN-DDPA_c_FWD-YBR249C	DDPA_c	FWD	YBR249C	YBR249C:1	protStoichAsgnAuto		40.09877
RXN-3HXPHBH_c_FWD-YDR376W	3HXPHBH_c	FWD	YDR376W	YDR376W:1	protStoichAsgnAuto		56.72069
RXN-3HXPHBH_c_FWD-YPL252C	3HXPHBH_c	FWD	YPL252C	YPL252C:1	protStoichAsgnAuto		19.08025
RXN-HKYNH_c_FWD-YLR231C	HKYNH_c	FWD	YLR231C	YLR231C:2	protStoichAsgnAuto		102.89704
RXN-HACD140i_x_FWD-YKR009C	HACD140i_x	FWD	YKR009C	YKR009C:1	protStoichAsgnAuto		99.59924
RXN-3HAO_c_FWD-YJR025C	3HAO_c	FWD	YJR025C	YJR025C:2	protStoichAsgnAuto		40.77544
RXN-3IPM3MT_c_FWD-YER175C	3IPM3MT_c	FWD	YER175C	YER175C:1	protStoichAsgnAuto		35.04391
RXN-IPPMIa_c_FWD-YGL009C	IPPMIa_c	FWD	YGL009C	YGL009C:1	protStoichAsgnAuto		86.53761
RXN-IPPMIa_c_REV-YGL009C	IPPMIa_c	REV	YGL009C	YGL009C:1	protStoichAsgnAuto		86.53761
RXN-IPMD_c_FWD-YCL018W	IPMD_c	FWD	YCL018W	YCL018W:2	protStoichAsgnAuto		78.58324
RXN-3MOBDC_c_FWD-YGR087C	3MOBDC_c	FWD	YGR087C	YGR087C:4	protStoichAsgnAuto		248.463
RXN-3MOBDC_c_FWD-YLR044C	3MOBDC_c	FWD	YLR044C	YLR044C:4	protStoichAsgnAuto		248.12296
RXN-3MOBDC_c_FWD-YLR134W	3MOBDC_c	FWD	YLR134W	YLR134W:4	protStoichAsgnAuto		249.79372
RXN-MTMOHT_m_FWD-YBR176W	MTMOHT_m	FWD	YBR176W	YBR176W:1	protStoichAsgnAuto		34.76165
RXN-PSCIT_c_FWD-YDR127W	PSCIT_c	FWD	YDR127W	YDR127W:2	protStoichAsgnAuto		352.59472
RXN-ADCS_c_FWD-YNR033W	ADCS_c	FWD	YNR033W	YNR033W:1	protStoichAsgnAuto		89.29424
RXN-ADCL_c_FWD-YMR289W	ADCL_c	FWD	YMR289W	YMR289W:2	protStoichAsgnAuto		85.97872
RXN-ABTA_c_FWD-YGR019W	ABTA_c	FWD	YGR019W	YGR019W:4	protStoichAsgnManual	Homodimer and homotetramer.	213.579
RXN-4HTHRS_c_FWD-YCR053W	4HTHRS_c	FWD	YCR053W	YCR053W:1	protStoichAsgnAuto		57.9606
