# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Arthrobotrys_oligospora@Seq_2636;Arthrobotrys_oligospora@Seq_945	chebi:16004;chebi:15991	0.4593,0.0181;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Arthrobotrys_oligospora@Seq_945;Arthrobotrys_oligospora@Seq_2791	chebi:16004;chebi:15991	0.0181,1.1415;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Arthrobotrys_oligospora@Seq_945;Arthrobotrys_oligospora@Seq_8024	chebi:16004;chebi:15991	0.0181,0.3353;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Arthrobotrys_oligospora@Seq_945;Arthrobotrys_oligospora@Seq_10898	chebi:16004;chebi:15991	0.0181,0.7293;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	Arthrobotrys_oligospora@Seq_945;Arthrobotrys_oligospora@Seq_10898	chebi:15991;chebi:16004	;0.0181,0.7293
r_0003_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	Arthrobotrys_oligospora@Seq_2942	chebi:16982;chebi:57540	8.8479;9.9942
r_0003_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	Arthrobotrys_oligospora@Seq_2942	chebi:15686;chebi:57945	8.7283;14.1051
r_0004	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	Arthrobotrys_oligospora@Seq_945;Arthrobotrys_oligospora@Seq_1049	chebi:15991;chebi:16651	;0.0181,2.2283
r_0005	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	Arthrobotrys_oligospora@Seq_2362	chebi:18066	2.7682
r_0006_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	Arthrobotrys_oligospora@Seq_3180	chebi:18066	2.4145
r_0006_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	Arthrobotrys_oligospora@Seq_6742	chebi:18066	9.7268
