# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034891_Ogataea_pini@Seq_1531;yHMPu5000034891_Ogataea_pini@Seq_2111	chebi:16004;chebi:15991	2.3068,65.9737;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034891_Ogataea_pini@Seq_2111;yHMPu5000034891_Ogataea_pini@Seq_3019	chebi:16004;chebi:15991	65.9737,8.9064;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034891_Ogataea_pini@Seq_2111;yHMPu5000034891_Ogataea_pini@Seq_3048	chebi:16004;chebi:15991	65.9737,0.5615;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000034891_Ogataea_pini@Seq_1531;yHMPu5000034891_Ogataea_pini@Seq_2111	chebi:15991;chebi:16004	;2.3068,65.9737
r_0004	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000034891_Ogataea_pini@Seq_2111;yHMPu5000034891_Ogataea_pini@Seq_2887	chebi:15991;chebi:16651	;65.9737,1.4731
r_0005_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034891_Ogataea_pini@Seq_2420;yHMPu5000034891_Ogataea_pini@Seq_3137	chebi:18066	1.5725,4.5024
r_0005_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034891_Ogataea_pini@Seq_3137;yHMPu5000034891_Ogataea_pini@Seq_3308	chebi:18066	4.5024,2.3353
r_0005_3	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034891_Ogataea_pini@Seq_3137;yHMPu5000034891_Ogataea_pini@Seq_431	chebi:18066	4.5024,1.0113
r_0005_4	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034891_Ogataea_pini@Seq_2420	chebi:18066	1.5725
r_0005_5	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034891_Ogataea_pini@Seq_3308	chebi:18066	2.3353
