# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034748_Lipomyces_oligophaga@Seq_1586;yHMPu5000034748_Lipomyces_oligophaga@Seq_2910	chebi:16004;chebi:15991	0.8066,2.6582;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034748_Lipomyces_oligophaga@Seq_1586;yHMPu5000034748_Lipomyces_oligophaga@Seq_2524	chebi:16004;chebi:15991	0.8066,15.3567;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034748_Lipomyces_oligophaga@Seq_1586;yHMPu5000034748_Lipomyces_oligophaga@Seq_462	chebi:16004;chebi:15991	0.8066,2.9494;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000034748_Lipomyces_oligophaga@Seq_1586;yHMPu5000034748_Lipomyces_oligophaga@Seq_2910	chebi:15991;chebi:16004	;0.8066,2.6582
r_0004	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000034748_Lipomyces_oligophaga@Seq_1586;yHMPu5000034748_Lipomyces_oligophaga@Seq_3094	chebi:15991;chebi:16651	;0.8066,4.1838
r_0005_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034748_Lipomyces_oligophaga@Seq_291	chebi:18066	2.0947
r_0005_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034748_Lipomyces_oligophaga@Seq_291;yHMPu5000034748_Lipomyces_oligophaga@Seq_5085	chebi:18066	2.0947,7.5536
r_0006	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034748_Lipomyces_oligophaga@Seq_5118	chebi:18066	6.6967
r_0007	MNXM1397	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide	1-(5-phospho-beta-D-ribosyl)-5-[(5-phospho-beta-D-ribosylamino)methylideneamino]imidazole-4-carboxamide	NC(=O)c1ncn([C@@H]2O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]2O)c1\N=C\N[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O	yHMPu5000034748_Lipomyces_oligophaga@Seq_2440	chebi:58435	1.4317
r_0012_fwd	MNXM1617;MNXM8	1-pyrroline-5-carboxylate;NAD	(S)-1-pyrroline-5-carboxylate;NAD(+)	[O-]C(=O)[C@@H]1CCC=N1;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000034748_Lipomyces_oligophaga@Seq_3478	chebi:17388;chebi:57540	5.3863;3.6593
