# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035252_Yamadazyma_nakazawae@Seq_2499;yHMPu5000035252_Yamadazyma_nakazawae@Seq_3694	chebi:16004;chebi:15991	1.7263,155.3657;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035252_Yamadazyma_nakazawae@Seq_3694;yHMPu5000035252_Yamadazyma_nakazawae@Seq_2572	chebi:16004;chebi:15991	155.3657,3.9947;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035252_Yamadazyma_nakazawae@Seq_3694;yHMPu5000035252_Yamadazyma_nakazawae@Seq_3313	chebi:16004;chebi:15991	155.3657,1.6906;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035252_Yamadazyma_nakazawae@Seq_3694;yHMPu5000035252_Yamadazyma_nakazawae@Seq_387	chebi:16004;chebi:15991	155.3657,3.3866;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000035252_Yamadazyma_nakazawae@Seq_3694;yHMPu5000035252_Yamadazyma_nakazawae@Seq_3313	chebi:15991;chebi:16004	;155.3657,1.6906
r_0003_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000035252_Yamadazyma_nakazawae@Seq_2060	chebi:16982;chebi:57540	15.7075;10.7997
r_0003_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000035252_Yamadazyma_nakazawae@Seq_2060	chebi:15686;chebi:57945	12.4855;31.7418
r_0004_1	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000035252_Yamadazyma_nakazawae@Seq_3694;yHMPu5000035252_Yamadazyma_nakazawae@Seq_2230	chebi:15991;chebi:16651	;155.3657,1.0754
r_0004_2	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000035252_Yamadazyma_nakazawae@Seq_3694;yHMPu5000035252_Yamadazyma_nakazawae@Seq_4847	chebi:15991;chebi:16651	;155.3657,1.9890
r_0005_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000035252_Yamadazyma_nakazawae@Seq_1961;yHMPu5000035252_Yamadazyma_nakazawae@Seq_3734	chebi:18066	2.8971,2.1592
r_0005_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000035252_Yamadazyma_nakazawae@Seq_3734;yHMPu5000035252_Yamadazyma_nakazawae@Seq_4266	chebi:18066	2.1592,4.7208
r_0005_3	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000035252_Yamadazyma_nakazawae@Seq_3734;yHMPu5000035252_Yamadazyma_nakazawae@Seq_670	chebi:18066	2.1592,2.5755
r_0005_4	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000035252_Yamadazyma_nakazawae@Seq_1961	chebi:18066	2.8971
