# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034675_Blastobotrys_mokoenaii@Seq_1433;yHMPu5000034675_Blastobotrys_mokoenaii@Seq_2858	chebi:16004;chebi:15991	1.2535,0.3624;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034675_Blastobotrys_mokoenaii@Seq_2858;yHMPu5000034675_Blastobotrys_mokoenaii@Seq_4977	chebi:16004;chebi:15991	0.3624,0.9580;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034675_Blastobotrys_mokoenaii@Seq_2858;yHMPu5000034675_Blastobotrys_mokoenaii@Seq_5629	chebi:16004;chebi:15991	0.3624,0.8592;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034675_Blastobotrys_mokoenaii@Seq_2858;yHMPu5000034675_Blastobotrys_mokoenaii@Seq_5819	chebi:16004;chebi:15991	0.3624,2.4306;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000034675_Blastobotrys_mokoenaii@Seq_1433;yHMPu5000034675_Blastobotrys_mokoenaii@Seq_2858	chebi:15991;chebi:16004	;1.2535,0.3624
r_0004	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000034675_Blastobotrys_mokoenaii@Seq_2858;yHMPu5000034675_Blastobotrys_mokoenaii@Seq_5019	chebi:15991;chebi:16651	;0.3624,1.1784
r_0005_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034675_Blastobotrys_mokoenaii@Seq_1599	chebi:18066	5.7223
r_0005_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034675_Blastobotrys_mokoenaii@Seq_4487	chebi:18066	2.1515
r_0006	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000034675_Blastobotrys_mokoenaii@Seq_5524	chebi:18066	99.9083
r_0007	MNXM1397	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide	1-(5-phospho-beta-D-ribosyl)-5-[(5-phospho-beta-D-ribosylamino)methylideneamino]imidazole-4-carboxamide	NC(=O)c1ncn([C@@H]2O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]2O)c1\N=C\N[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O	yHMPu5000034675_Blastobotrys_mokoenaii@Seq_6099	chebi:58435	11.4732
