# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034947_Ambrosiozyma_philentoma@Seq_1340;yHMPu5000034947_Ambrosiozyma_philentoma@Seq_2351	chebi:16004;chebi:15991	1.1021,1.9749;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034947_Ambrosiozyma_philentoma@Seq_2351;yHMPu5000034947_Ambrosiozyma_philentoma@Seq_5855	chebi:16004;chebi:15991	1.9749,2.3506;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034947_Ambrosiozyma_philentoma@Seq_2351;yHMPu5000034947_Ambrosiozyma_philentoma@Seq_6158	chebi:16004;chebi:15991	1.9749,0.2755;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000034947_Ambrosiozyma_philentoma@Seq_1340;yHMPu5000034947_Ambrosiozyma_philentoma@Seq_2351	chebi:15991;chebi:16004	;1.1021,1.9749
r_0003_1_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000034947_Ambrosiozyma_philentoma@Seq_1295	chebi:16982;chebi:57540	14.8847;13.6578
r_0003_1_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000034947_Ambrosiozyma_philentoma@Seq_1295	chebi:15686;chebi:57945	13.4082;29.8182
r_0003_2_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000034947_Ambrosiozyma_philentoma@Seq_2055	chebi:16982;chebi:57540	0.6498;1.3338
r_0003_2_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000034947_Ambrosiozyma_philentoma@Seq_2055	chebi:15686;chebi:57945	0.2264;1.5758
r_0003_3_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000034947_Ambrosiozyma_philentoma@Seq_2220	chebi:16982;chebi:57540	9.0747;10.4333
r_0003_3_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000034947_Ambrosiozyma_philentoma@Seq_2220	chebi:15686;chebi:57945	2.8327;17.0295
