# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Lodderomyces_elongisporus@Seq_1329;Lodderomyces_elongisporus@Seq_3719	chebi:16004;chebi:15991	1.2352,0.4432;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Lodderomyces_elongisporus@Seq_3719;Lodderomyces_elongisporus@Seq_5358	chebi:16004;chebi:15991	0.4432,15.8949;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Lodderomyces_elongisporus@Seq_3719;Lodderomyces_elongisporus@Seq_5703	chebi:16004;chebi:15991	0.4432,21.5369;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	Lodderomyces_elongisporus@Seq_3719;Lodderomyces_elongisporus@Seq_708	chebi:16004;chebi:15991	0.4432,1.9211;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	Lodderomyces_elongisporus@Seq_1329;Lodderomyces_elongisporus@Seq_3719	chebi:15991;chebi:16004	;1.2352,0.4432
r_0004	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	Lodderomyces_elongisporus@Seq_3719;Lodderomyces_elongisporus@Seq_2294	chebi:15991;chebi:16651	;0.4432,4.7283
r_0005_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	Lodderomyces_elongisporus@Seq_3742;Lodderomyces_elongisporus@Seq_539	chebi:18066	3.7841,2.2595
r_0005_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	Lodderomyces_elongisporus@Seq_539;Lodderomyces_elongisporus@Seq_5668	chebi:18066	2.2595,3.5632
r_0005_3	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	Lodderomyces_elongisporus@Seq_3742	chebi:18066	3.7841
r_0005_4	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	Lodderomyces_elongisporus@Seq_5668	chebi:18066	3.5632
