# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHAB160_Kazachstania_kunashirensis@Seq_1688;yHAB160_Kazachstania_kunashirensis@Seq_3363	chebi:16004;chebi:15991	0.2447,0.8470;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHAB160_Kazachstania_kunashirensis@Seq_3363;yHAB160_Kazachstania_kunashirensis@Seq_3044	chebi:16004;chebi:15991	0.8470,22.3406;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHAB160_Kazachstania_kunashirensis@Seq_3363;yHAB160_Kazachstania_kunashirensis@Seq_4138	chebi:16004;chebi:15991	0.8470,0.9130;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHAB160_Kazachstania_kunashirensis@Seq_4138;yHAB160_Kazachstania_kunashirensis@Seq_4397	chebi:16004;chebi:15991	0.9130,68.9901;
r_0001_5	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHAB160_Kazachstania_kunashirensis@Seq_1688;yHAB160_Kazachstania_kunashirensis@Seq_4397	chebi:16004;chebi:15991	0.2447,68.9901;
r_0001_6	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHAB160_Kazachstania_kunashirensis@Seq_3044;yHAB160_Kazachstania_kunashirensis@Seq_4397	chebi:16004;chebi:15991	22.3406,68.9901;
r_0002_1	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHAB160_Kazachstania_kunashirensis@Seq_1688;yHAB160_Kazachstania_kunashirensis@Seq_3363	chebi:15991;chebi:16004	;0.2447,0.8470
r_0002_2	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHAB160_Kazachstania_kunashirensis@Seq_1688;yHAB160_Kazachstania_kunashirensis@Seq_4397	chebi:15991;chebi:16004	;0.2447,68.9901
r_0002_3	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHAB160_Kazachstania_kunashirensis@Seq_3363;yHAB160_Kazachstania_kunashirensis@Seq_3044	chebi:15991;chebi:16004	;0.8470,22.3406
r_0002_4	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHAB160_Kazachstania_kunashirensis@Seq_3044;yHAB160_Kazachstania_kunashirensis@Seq_4397	chebi:15991;chebi:16004	;22.3406,68.9901
r_0003_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHAB160_Kazachstania_kunashirensis@Seq_738	chebi:16982;chebi:57540	26.8659;21.4389
r_0003_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHAB160_Kazachstania_kunashirensis@Seq_738	chebi:15686;chebi:57945	22.7591;53.9807
r_0004_1	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHAB160_Kazachstania_kunashirensis@Seq_3363;yHAB160_Kazachstania_kunashirensis@Seq_332	chebi:15991;chebi:16651	;0.8470,10.3193
r_0004_2	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHAB160_Kazachstania_kunashirensis@Seq_4397;yHAB160_Kazachstania_kunashirensis@Seq_332	chebi:15991;chebi:16651	;68.9901,10.3193
r_0005_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHAB160_Kazachstania_kunashirensis@Seq_1301;yHAB160_Kazachstania_kunashirensis@Seq_4761	chebi:18066	14.2921,0.2026
