# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035641_Yamadazyma_scolyti@Seq_3189;yHMPu5000035641_Yamadazyma_scolyti@Seq_805	chebi:16004;chebi:15991	9.2472,6.1515;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035641_Yamadazyma_scolyti@Seq_805;yHMPu5000035641_Yamadazyma_scolyti@Seq_4235	chebi:16004;chebi:15991	6.1515,1.1565;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035641_Yamadazyma_scolyti@Seq_805;yHMPu5000035641_Yamadazyma_scolyti@Seq_466	chebi:16004;chebi:15991	6.1515,12.8818;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035641_Yamadazyma_scolyti@Seq_805;yHMPu5000035641_Yamadazyma_scolyti@Seq_363	chebi:16004;chebi:15991	6.1515,0.6698;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000035641_Yamadazyma_scolyti@Seq_805;yHMPu5000035641_Yamadazyma_scolyti@Seq_363	chebi:15991;chebi:16004	;6.1515,0.6698
r_0004_1	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000035641_Yamadazyma_scolyti@Seq_805;yHMPu5000035641_Yamadazyma_scolyti@Seq_1322	chebi:15991;chebi:16651	;6.1515,6.8501
r_0004_2	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000035641_Yamadazyma_scolyti@Seq_805;yHMPu5000035641_Yamadazyma_scolyti@Seq_2313	chebi:15991;chebi:16651	;6.1515,0.4458
r_0004_3	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000035641_Yamadazyma_scolyti@Seq_805;yHMPu5000035641_Yamadazyma_scolyti@Seq_4104	chebi:15991;chebi:16651	;6.1515,3.7525
r_0004_4	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000035641_Yamadazyma_scolyti@Seq_805;yHMPu5000035641_Yamadazyma_scolyti@Seq_5041	chebi:15991;chebi:16651	;6.1515,0.5965
r_0005_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000035641_Yamadazyma_scolyti@Seq_115;yHMPu5000035641_Yamadazyma_scolyti@Seq_2983	chebi:18066	1.4928,3.9666
