# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034881_Torulaspora_pretoriensis@Seq_2637;yHMPu5000034881_Torulaspora_pretoriensis@Seq_4722	chebi:16004;chebi:15991	34.8472,0.8113;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034881_Torulaspora_pretoriensis@Seq_4722;yHMPu5000034881_Torulaspora_pretoriensis@Seq_2113	chebi:16004;chebi:15991	0.8113,1.2204;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034881_Torulaspora_pretoriensis@Seq_4722;yHMPu5000034881_Torulaspora_pretoriensis@Seq_464	chebi:16004;chebi:15991	0.8113,1.2204;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034881_Torulaspora_pretoriensis@Seq_4722;yHMPu5000034881_Torulaspora_pretoriensis@Seq_910	chebi:16004;chebi:15991	0.8113,2.2574;
r_0001_5	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000034881_Torulaspora_pretoriensis@Seq_4722;yHMPu5000034881_Torulaspora_pretoriensis@Seq_912	chebi:16004;chebi:15991	0.8113,28.7192;
r_0002_1	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000034881_Torulaspora_pretoriensis@Seq_4722;yHMPu5000034881_Torulaspora_pretoriensis@Seq_2113	chebi:15991;chebi:16004	;0.8113,1.2204
r_0002_2	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000034881_Torulaspora_pretoriensis@Seq_4722;yHMPu5000034881_Torulaspora_pretoriensis@Seq_464	chebi:15991;chebi:16004	;0.8113,1.2204
r_0002_3	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000034881_Torulaspora_pretoriensis@Seq_4722;yHMPu5000034881_Torulaspora_pretoriensis@Seq_910	chebi:15991;chebi:16004	;0.8113,2.2574
r_0002_4	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000034881_Torulaspora_pretoriensis@Seq_4722;yHMPu5000034881_Torulaspora_pretoriensis@Seq_912	chebi:15991;chebi:16004	;0.8113,28.7192
r_0003_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000034881_Torulaspora_pretoriensis@Seq_4539	chebi:16982;chebi:57540	17.2112;16.5713
