# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035022_Candida_emberorum@Seq_2415;yHMPu5000035022_Candida_emberorum@Seq_3392	chebi:16004;chebi:15991	0.6740,2.6374;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035022_Candida_emberorum@Seq_3392;yHMPu5000035022_Candida_emberorum@Seq_432	chebi:16004;chebi:15991	2.6374,15.9355;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035022_Candida_emberorum@Seq_3392;yHMPu5000035022_Candida_emberorum@Seq_5404	chebi:16004;chebi:15991	2.6374,4.1944;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000035022_Candida_emberorum@Seq_2415;yHMPu5000035022_Candida_emberorum@Seq_3392	chebi:15991;chebi:16004	;0.6740,2.6374
r_0004_1	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000035022_Candida_emberorum@Seq_3392;yHMPu5000035022_Candida_emberorum@Seq_2280	chebi:15991;chebi:16651	;2.6374,12.1875
r_0004_2	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000035022_Candida_emberorum@Seq_3392;yHMPu5000035022_Candida_emberorum@Seq_2920	chebi:15991;chebi:16651	;2.6374,8.3021
r_0005_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000035022_Candida_emberorum@Seq_2827;yHMPu5000035022_Candida_emberorum@Seq_2957	chebi:18066	0.2560,2.8891
r_0005_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000035022_Candida_emberorum@Seq_2957;yHMPu5000035022_Candida_emberorum@Seq_4405	chebi:18066	2.8891,0.4877
r_0005_3	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000035022_Candida_emberorum@Seq_2827	chebi:18066	0.2560
r_0005_4	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000035022_Candida_emberorum@Seq_4405	chebi:18066	0.4877
r_0006_1	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000035022_Candida_emberorum@Seq_1520	chebi:18066	78.7981
r_0006_2	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000035022_Candida_emberorum@Seq_3327	chebi:18066	59.8639
r_0006_3	MNXM739638	UDP-D-glucose	UDP-D-glucose	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	yHMPu5000035022_Candida_emberorum@Seq_5335	chebi:18066	10.7128
