# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035047_Barnettozyma_pratensis@Seq_1421;yHMPu5000035047_Barnettozyma_pratensis@Seq_170	chebi:16004;chebi:15991	3.5504,15.9941;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035047_Barnettozyma_pratensis@Seq_170;yHMPu5000035047_Barnettozyma_pratensis@Seq_1478	chebi:16004;chebi:15991	15.9941,5.8150;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035047_Barnettozyma_pratensis@Seq_170;yHMPu5000035047_Barnettozyma_pratensis@Seq_1875	chebi:16004;chebi:15991	15.9941,2.6062;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035047_Barnettozyma_pratensis@Seq_170;yHMPu5000035047_Barnettozyma_pratensis@Seq_3411	chebi:16004;chebi:15991	15.9941,1.7894;
r_0001_5	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035047_Barnettozyma_pratensis@Seq_170;yHMPu5000035047_Barnettozyma_pratensis@Seq_4959	chebi:16004;chebi:15991	15.9941,9.3589;
r_0001_6	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035047_Barnettozyma_pratensis@Seq_170;yHMPu5000035047_Barnettozyma_pratensis@Seq_5397	chebi:16004;chebi:15991	15.9941,5.6882;
r_0002	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000035047_Barnettozyma_pratensis@Seq_170;yHMPu5000035047_Barnettozyma_pratensis@Seq_1478	chebi:15991;chebi:16004	;15.9941,5.8150
r_0003_1_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000035047_Barnettozyma_pratensis@Seq_3642	chebi:16982;chebi:57540	8.5786;6.8292
r_0003_1_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000035047_Barnettozyma_pratensis@Seq_3642	chebi:15686;chebi:57945	4.5257;14.8338
r_0003_2_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000035047_Barnettozyma_pratensis@Seq_4964	chebi:16982;chebi:57540	41.8401;32.0650
