# rxnID	MNXID	met_model	met_standard_name	Smiles	genes	refID	Kcat value (substrate first)
r_0001_1	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035651_Torulaspora_microellipsoides@Seq_2879;yHMPu5000035651_Torulaspora_microellipsoides@Seq_4178	chebi:16004;chebi:15991	2.6694,21.5799;
r_0001_2	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035651_Torulaspora_microellipsoides@Seq_2879;yHMPu5000035651_Torulaspora_microellipsoides@Seq_588	chebi:16004;chebi:15991	2.6694,1.3809;
r_0001_3	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035651_Torulaspora_microellipsoides@Seq_2879;yHMPu5000035651_Torulaspora_microellipsoides@Seq_3768	chebi:16004;chebi:15991	2.6694,1.6294;
r_0001_4	MNXM731834;MNXM731974	(R)-lactate;ferricytochrome c	(R)-lactate;ferricytochrome c	C[C@@H](O)C([O-])=O;	yHMPu5000035651_Torulaspora_microellipsoides@Seq_2879;yHMPu5000035651_Torulaspora_microellipsoides@Seq_4952	chebi:16004;chebi:15991	2.6694,37.9166;
r_0002_1	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000035651_Torulaspora_microellipsoides@Seq_2879;yHMPu5000035651_Torulaspora_microellipsoides@Seq_4178	chebi:15991;chebi:16004	;2.6694,21.5799
r_0002_2	MNXM731974;MNXM731834	ferricytochrome c;(R)-lactate	ferricytochrome c;(R)-lactate	;C[C@@H](O)C([O-])=O	yHMPu5000035651_Torulaspora_microellipsoides@Seq_2879;yHMPu5000035651_Torulaspora_microellipsoides@Seq_588	chebi:15991;chebi:16004	;2.6694,1.3809
r_0003_fwd	MNXM2757;MNXM8	(R,R)-2,3-butanediol;NAD	(R,R)-butane-2,3-diol;NAD(+)	C[C@@H](O)[C@@H](C)O;NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000035651_Torulaspora_microellipsoides@Seq_4920	chebi:16982;chebi:57540	4.8573;5.8191
r_0003_rvs	MNXM664;MNXM10	(R)-acetoin;NADH	(R)-acetoin;NADH	C[C@@H](O)C(C)=O;NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O	yHMPu5000035651_Torulaspora_microellipsoides@Seq_4920	chebi:15686;chebi:57945	4.8340;7.6103
r_0004_1	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000035651_Torulaspora_microellipsoides@Seq_2879;yHMPu5000035651_Torulaspora_microellipsoides@Seq_2369	chebi:15991;chebi:16651	;2.6694,12.9160
r_0004_2	MNXM731974;MNXM731835	ferricytochrome c;(S)-lactate	ferricytochrome c;(S)-lactate	;C[C@H](O)C([O-])=O	yHMPu5000035651_Torulaspora_microellipsoides@Seq_2879;yHMPu5000035651_Torulaspora_microellipsoides@Seq_903	chebi:15991;chebi:16651	;2.6694,13.5495
